sym,feature,horizon,tail,n_trades,fade_bps,hi_bps,lo_bps,hit_rate,null_best,beats_null,clears_taker1x,clears_taker2x,clears_mixed,clears_maker2x
BTCUSDT,flow_15m,15m,0.1,125641,0.9538090897700555,0.6097385813878216,1.2975894373340442,0.5393143957784481,0.09168033254726826,True,False,False,False,False
BTCUSDT,flow_15m,15m,0.05,62842,1.1359931510285464,1.0054664999544705,1.2663371486456603,0.5439355844817161,0.19320314376472025,True,False,False,False,False
BTCUSDT,flow_15m,15m,0.02,25185,1.2907192210246967,1.1975664475087777,1.3832159371818342,0.5491760968830653,0.3580277253030224,True,False,False,False,False
BTCUSDT,flow_15m,15m,0.01,12697,1.4635088751042777,0.8291106839288352,2.0968088006040944,0.5565094116720485,0.5601765529014981,True,False,False,False,False
BTCUSDT,flow_15m,30m,0.1,125639,1.2515056107255458,0.7627710174563836,1.7398124922084681,0.5331067582518167,0.06724137825204786,True,False,False,False,False
BTCUSDT,flow_15m,30m,0.05,62840,1.4321079202173825,0.9925582204406874,1.8710145742862978,0.538430935709739,0.23476475530725363,True,False,False,False,False
BTCUSDT,flow_15m,30m,0.02,25184,1.493037199203423,1.0630076011041947,1.9200041508019843,0.5397077509529861,0.22598262044303769,True,False,False,False,False
BTCUSDT,flow_15m,30m,0.01,12696,1.7400797765817595,0.5737866539171237,2.9041702682309753,0.5437145557655955,0.4627878015334574,True,False,False,False,False
BTCUSDT,flow_15m,1h,0.1,125637,1.3282657481778106,0.31525197163381014,2.3403607571551324,0.5273924082873676,0.19361259888285934,True,False,False,False,False
BTCUSDT,flow_15m,1h,0.05,62838,1.5242785883228451,0.44127098110783686,2.605632906565862,0.530507018046405,0.4129857849841008,True,False,False,False,False
BTCUSDT,flow_15m,1h,0.02,25184,1.8990247230508446,1.0635724150863148,2.7285269868817337,0.533989834815756,0.7139979815787622,True,False,False,False,False
BTCUSDT,flow_15m,1h,0.01,12696,1.9691564366122714,0.16852963515697186,3.7663826208787987,0.5344990548204159,1.1067821041153187,True,False,False,False,False
BTCUSDT,flow_15m,2h,0.1,125632,1.5472253592112946,0.09091467186624282,3.0023309901332222,0.5219609653591442,0.38720012565134543,True,False,False,False,False
BTCUSDT,flow_15m,2h,0.05,62835,1.9279779020327505,0.26923768429485473,3.584343968695639,0.5251690936579931,0.669102513550288,True,False,False,False,False
BTCUSDT,flow_15m,2h,0.02,25181,2.5050155555306404,1.090449610403233,3.909840544727536,0.5275406060124698,0.8947376739945874,True,False,False,False,False
BTCUSDT,flow_15m,2h,0.01,12695,2.72713261780525,0.5643173824131575,4.886203013343838,0.5346199291059472,0.8960173229955347,True,False,False,False,False
BTCUSDT,flow_15m,4h,0.1,125622,1.4743617855864375,-0.5806634435496911,3.5277517855313887,0.5137873939278151,0.37499119143269605,True,False,False,False,False
BTCUSDT,flow_15m,4h,0.05,62830,1.6325364182839557,-0.73699125281859,3.9987476400583684,0.5159796275664491,0.759457268990137,True,False,False,False,False
BTCUSDT,flow_15m,4h,0.02,25180,1.6925041651591954,-1.1888624021690435,4.5542556351399925,0.5158856235107228,1.7565932647442737,False,False,False,False,False
BTCUSDT,flow_15m,4h,0.01,12694,1.3103242396989498,-3.186325807904219,5.799895178285111,0.5160705845281235,1.8413728607477553,False,False,False,False,False
BTCUSDT,absorb_15m,15m,0.1,125842,0.48388336499922063,0.1332510431571348,0.8340145130496445,0.498315347817104,0.13758087854076012,True,False,False,False,False
BTCUSDT,absorb_15m,15m,0.05,63057,0.6726763880487361,0.22337624175699472,1.120425899000396,0.49410850500340964,0.07954419783299264,True,False,False,False,False
BTCUSDT,absorb_15m,15m,0.02,25482,0.6451843587108088,-0.29733942356162696,1.586968674654771,0.48332156031708656,0.07429375008440046,True,False,False,False,False
BTCUSDT,absorb_15m,15m,0.01,12852,0.6888769432696741,-0.6590041125625998,2.020910387678177,0.47315592903828196,0.31804565077806773,True,False,False,False,False
BTCUSDT,absorb_15m,30m,0.1,125840,0.45480383021051485,-0.2712785933275244,1.1798253703675945,0.49644787031150667,0.12353766324190003,True,False,False,False,False
BTCUSDT,absorb_15m,30m,0.05,63055,0.4995821058981693,-0.2679059565415633,1.264372793961471,0.4935215288240425,0.0939572750662352,True,False,False,False,False
