symbol,feature,horizon,ic,null_best,beats_null,spread_bps,monotone,clears_1x,clears_2x,years,same_sign_years,n
BNBUSDT,ret_1h,1h,-0.03502,0.00673,True,0.0,0.5,False,False,7,1.0,687143
BNBUSDT,ret_1h,4h,-0.01948,0.00469,True,-0.12,0.5,False,False,7,1.0,687107
BNBUSDT,ret_1h,8h,-0.01252,0.00431,True,1.4,0.75,False,False,7,0.86,687059
BNBUSDT,ret_1h,12h,-0.00647,0.00635,True,7.62,0.75,False,False,7,0.71,687011
BNBUSDT,ret_1h,24h,-0.01475,0.00491,True,-0.41,0.5,False,False,7,0.86,686867
BNBUSDT,ret_4h,1h,-0.03437,0.00617,True,0.66,0.75,False,False,7,1.0,687107
BNBUSDT,ret_4h,4h,-0.03169,0.00631,True,0.85,0.5,False,False,7,1.0,687071
BNBUSDT,ret_4h,8h,-0.01939,0.00698,True,5.97,0.5,False,False,7,0.71,687023
BNBUSDT,ret_4h,12h,-0.00616,0.0153,False,17.75,0.5,True,False,7,0.86,686975
BNBUSDT,ret_4h,24h,-0.02835,0.00743,True,1.07,0.5,False,False,7,0.86,686831
BNBUSDT,prem,1h,-0.01723,0.00655,True,-3.62,0.75,False,False,7,0.86,687155
BNBUSDT,prem,4h,-0.01622,0.01288,True,-5.92,0.5,False,False,7,0.86,687119
BNBUSDT,prem,8h,-0.01989,0.01021,True,-6.31,0.5,False,False,7,1.0,687071
BNBUSDT,prem,12h,-0.0231,0.03066,False,-8.04,0.75,False,False,7,0.86,687023
BNBUSDT,prem,24h,-0.0184,0.01103,True,-12.6,0.75,False,False,7,0.57,686879
BNBUSDT,prem_z,1h,-0.0289,0.00337,True,-4.15,1.0,False,False,7,1.0,687011
BNBUSDT,prem_z,4h,-0.02218,0.00873,True,-5.27,1.0,False,False,7,1.0,686975
BNBUSDT,prem_z,8h,-0.0184,0.00752,True,-6.91,0.75,False,False,7,1.0,686927
BNBUSDT,prem_z,12h,-0.02037,0.01221,True,-9.16,0.75,False,False,7,0.86,686879
BNBUSDT,prem_z,24h,-0.01981,0.01659,True,-22.46,1.0,True,False,7,0.71,686735
BNBUSDT,dprem_1h,1h,-0.01948,0.00496,True,-3.98,1.0,False,False,7,0.86,687143
BNBUSDT,dprem_1h,4h,-0.01342,0.00226,True,-5.74,0.5,False,False,7,0.86,687107
BNBUSDT,dprem_1h,8h,-0.00843,0.00323,True,-4.26,0.75,False,False,7,0.86,687059
BNBUSDT,dprem_1h,12h,-0.00557,0.00169,True,-4.05,0.5,False,False,7,0.86,687011
BNBUSDT,dprem_1h,24h,-0.00532,0.00293,True,-7.63,0.5,False,False,7,0.86,686867
BNBUSDT,dprem_4h,1h,-0.02336,0.00658,True,-5.1,1.0,False,False,7,0.86,687107
BNBUSDT,dprem_4h,4h,-0.01594,0.00334,True,-5.87,0.5,False,False,7,0.86,687071
BNBUSDT,dprem_4h,8h,-0.00826,0.00232,True,-3.59,0.75,False,False,7,0.71,687023
BNBUSDT,dprem_4h,12h,-0.00506,0.00452,True,-0.75,0.5,False,False,7,0.71,686975
BNBUSDT,dprem_4h,24h,-0.00899,0.00412,True,-13.3,0.5,False,False,7,1.0,686831
BNBUSDT,lev_1h,1h,0.00331,0.00451,False,1.04,0.75,False,False,7,0.57,687143
BNBUSDT,lev_1h,4h,0.00453,0.00531,False,1.89,0.5,False,False,7,0.86,687107
BNBUSDT,lev_1h,8h,0.0027,0.00389,False,1.16,0.75,False,False,7,0.71,687059
BNBUSDT,lev_1h,12h,0.00474,0.00409,True,1.03,0.75,False,False,7,0.86,687011
BNBUSDT,lev_1h,24h,0.00289,0.0057,False,1.55,0.5,False,False,7,0.71,686867
BNBUSDT,lev_4h,1h,0.00409,0.00416,False,0.78,0.75,False,False,7,0.86,687107
BNBUSDT,lev_4h,4h,0.00856,0.01072,False,2.99,0.75,False,False,7,0.71,687071
BNBUSDT,lev_4h,8h,0.00845,0.00949,False,3.22,0.75,False,False,7,0.71,687023
BNBUSDT,lev_4h,12h,0.00813,0.00331,True,3.39,0.75,False,False,7,0.86,686975
BNBUSDT,lev_4h,24h,0.00844,0.01012,False,9.3,0.5,False,False,7,0.86,686831
BNBUSDT,gap,1h,0.00169,0.00216,False,-0.16,0.5,False,False,7,0.43,687066
BNBUSDT,gap,4h,0.00155,0.00231,False,0.05,0.75,False,False,7,0.57,687030
BNBUSDT,gap,8h,0.0015,0.00321,False,0.35,0.75,False,False,7,0.71,686982
BNBUSDT,gap,12h,0.00359,0.00392,False,2.11,0.75,False,False,7,0.71,686934
BNBUSDT,gap,24h,0.00303,0.00444,False,2.58,0.75,False,False,7,0.57,686790
BNBUSDT,gap_z,1h,0.00093,0.00168,False,-0.44,0.75,False,False,7,0.43,686922
BNBUSDT,gap_z,4h,0.00078,0.00124,False,-0.85,0.5,False,False,7,0.57,686886
BNBUSDT,gap_z,8h,-0.00127,0.00328,False,-1.99,0.5,False,False,7,0.57,686838
BNBUSDT,gap_z,12h,0.00053,0.00239,False,-0.32,0.75,False,False,7,0.57,686790
BNBUSDT,gap_z,24h,0.00223,0.00523,False,1.42,0.75,False,False,7,0.57,686646
BNBUSDT,gap_1h,1h,0.00223,0.0032,False,-0.0,0.5,False,False,7,0.57,687132
BNBUSDT,gap_1h,4h,0.00413,0.00752,False,1.24,0.75,False,False,7,0.57,687096
BNBUSDT,gap_1h,8h,0.00592,0.00782,False,2.58,0.5,False,False,7,0.71,687048
BNBUSDT,gap_1h,12h,0.00998,0.00769,True,5.8,0.75,False,False,7,0.86,687000
