symbol,feature,horizon,ic,null_best,beats_null,spread_bps,monotone,clears_1x,clears_2x,years,same_sign_years,n
BTCUSDT,ret_1h,1h,-0.04672,0.00408,True,-0.94,0.5,False,False,7,1.0,698455
BTCUSDT,ret_1h,4h,-0.02719,0.00786,True,0.57,0.75,False,False,7,1.0,698419
BTCUSDT,ret_1h,8h,-0.01919,0.00637,True,-0.32,0.5,False,False,7,0.86,698371
BTCUSDT,ret_1h,12h,-0.00757,0.00656,True,6.02,1.0,False,False,7,0.86,698323
BTCUSDT,ret_1h,24h,-0.00789,0.00453,True,4.6,0.75,False,False,7,0.86,698179
BTCUSDT,ret_4h,1h,-0.04509,0.00547,True,-0.27,0.5,False,False,7,1.0,698419
BTCUSDT,ret_4h,4h,-0.04677,0.0127,True,-1.97,0.75,False,False,7,1.0,698383
BTCUSDT,ret_4h,8h,-0.02375,0.00787,True,0.73,0.5,False,False,7,0.86,698335
BTCUSDT,ret_4h,12h,-0.00776,0.01375,False,9.42,1.0,False,False,7,0.86,698287
BTCUSDT,ret_4h,24h,-0.01801,0.00741,True,-0.17,0.75,False,False,7,0.86,698143
BTCUSDT,prem,1h,-0.01008,0.00512,True,-3.64,0.75,False,False,7,0.86,698467
BTCUSDT,prem,4h,-0.00948,0.01304,False,-9.26,0.75,False,False,7,0.86,698431
BTCUSDT,prem,8h,-0.01086,0.01801,False,-13.58,0.75,False,False,7,0.86,698383
BTCUSDT,prem,12h,-0.01086,0.01999,False,-18.08,0.75,True,False,7,0.86,698335
BTCUSDT,prem,24h,-0.01029,0.02479,False,-31.09,0.75,True,True,7,0.86,698191
BTCUSDT,prem_z,1h,-0.0303,0.00541,True,-5.1,1.0,False,False,7,1.0,698323
BTCUSDT,prem_z,4h,-0.02991,0.00639,True,-9.9,1.0,False,False,7,0.86,698287
BTCUSDT,prem_z,8h,-0.02825,0.0089,True,-13.03,1.0,False,False,7,0.86,698239
BTCUSDT,prem_z,12h,-0.0293,0.00923,True,-15.23,1.0,True,False,7,0.86,698191
BTCUSDT,prem_z,24h,-0.03192,0.00401,True,-25.51,1.0,True,False,7,0.86,698047
BTCUSDT,dprem_1h,1h,-0.0191,0.00271,True,-3.19,1.0,False,False,7,1.0,698455
BTCUSDT,dprem_1h,4h,-0.01488,0.00194,True,-5.23,1.0,False,False,7,1.0,698419
BTCUSDT,dprem_1h,8h,-0.01213,0.00146,True,-6.24,1.0,False,False,7,1.0,698371
BTCUSDT,dprem_1h,12h,-0.01021,0.00063,True,-6.41,0.75,False,False,7,1.0,698323
BTCUSDT,dprem_1h,24h,-0.00909,0.00142,True,-8.13,0.5,False,False,7,1.0,698179
BTCUSDT,dprem_4h,1h,-0.02517,0.00271,True,-4.61,1.0,False,False,7,1.0,698419
BTCUSDT,dprem_4h,4h,-0.02198,0.00648,True,-7.73,1.0,False,False,7,1.0,698383
BTCUSDT,dprem_4h,8h,-0.01821,0.00361,True,-9.39,1.0,False,False,7,0.86,698335
BTCUSDT,dprem_4h,12h,-0.01367,0.00392,True,-7.36,0.75,False,False,7,1.0,698287
BTCUSDT,dprem_4h,24h,-0.01372,0.00427,True,-14.14,0.5,True,False,7,0.86,698143
BTCUSDT,lev_1h,1h,-0.00228,0.00542,False,0.2,0.5,False,False,7,0.71,698455
BTCUSDT,lev_1h,4h,-0.00201,0.0019,True,-0.09,0.5,False,False,7,0.71,698419
BTCUSDT,lev_1h,8h,-0.00408,0.00349,True,-0.2,0.5,False,False,7,0.71,698371
BTCUSDT,lev_1h,12h,-0.00492,0.00262,True,-0.81,0.5,False,False,7,0.86,698323
BTCUSDT,lev_1h,24h,-0.002,0.00261,False,0.71,0.5,False,False,7,0.43,698179
BTCUSDT,lev_4h,1h,0.00167,0.00451,False,0.6,0.5,False,False,7,0.43,698419
BTCUSDT,lev_4h,4h,-0.00027,0.00381,False,0.55,0.5,False,False,7,0.43,698383
BTCUSDT,lev_4h,8h,-0.00374,0.00439,False,-0.41,0.75,False,False,7,0.86,698335
BTCUSDT,lev_4h,12h,-0.00468,0.00319,True,-1.05,0.5,False,False,7,0.86,698287
BTCUSDT,lev_4h,24h,-0.0009,0.00594,False,0.72,0.5,False,False,7,0.57,698143
BTCUSDT,gap,1h,0.00246,0.00304,False,0.38,0.75,False,False,7,0.43,698359
BTCUSDT,gap,4h,0.00832,0.00278,True,2.23,0.75,False,False,7,0.86,698323
BTCUSDT,gap,8h,0.00648,0.00584,True,3.12,0.75,False,False,7,0.71,698275
BTCUSDT,gap,12h,0.00535,0.00181,True,2.64,0.75,False,False,7,0.71,698227
BTCUSDT,gap,24h,0.0047,0.00174,True,6.53,0.75,False,False,7,0.71,698083
BTCUSDT,gap_z,1h,0.00048,0.00218,False,-0.05,0.5,False,False,7,0.43,698215
BTCUSDT,gap_z,4h,0.00578,0.0027,True,1.3,0.75,False,False,7,0.71,698179
BTCUSDT,gap_z,8h,0.00332,0.00516,False,1.07,0.75,False,False,7,0.71,698131
BTCUSDT,gap_z,12h,0.00247,0.00484,False,-0.16,0.75,False,False,7,0.57,698083
BTCUSDT,gap_z,24h,0.00332,0.00363,False,3.17,0.75,False,False,7,0.71,697939
BTCUSDT,gap_1h,1h,0.00894,0.00514,True,1.52,1.0,False,False,7,0.57,698436
BTCUSDT,gap_1h,4h,0.01702,0.00895,True,4.88,1.0,False,False,7,0.86,698400
BTCUSDT,gap_1h,8h,0.01179,0.01074,True,5.37,1.0,False,False,7,0.71,698352
BTCUSDT,gap_1h,12h,0.00894,0.00522,True,4.73,1.0,False,False,7,0.71,698304
BTCUSDT,gap_1h,24h,0.00797,0.00559,True,13.34,1.0,False,False,7,0.71,698160
BTCUSDT,cash_1h,1h,0.00563,0.00384,True,0.11,0.75,False,False,7,0.71,698446
BTCUSDT,cash_1h,4h,0.00143,0.00403,False,-0.28,0.5,False,False,7,0.57,698410
BTCUSDT,cash_1h,8h,0.00059,0.00655,False,-1.31,0.75,False,False,7,0.57,698362
BTCUSDT,cash_1h,12h,-0.00333,0.00338,False,-3.87,0.75,False,False,7,0.71,698314
BTCUSDT,cash_1h,24h,-0.00279,0.00729,False,-3.26,0.75,False,False,7,0.43,698170
BTCUSDT,gap_4h,1h,0.01054,0.00543,True,1.97,0.75,False,False,7,0.86,698420
BTCUSDT,gap_4h,4h,0.01627,0.0136,True,4.9,1.0,False,False,7,0.86,698384
BTCUSDT,gap_4h,8h,0.01102,0.01837,False,4.9,0.5,False,False,7,0.57,698336
BTCUSDT,gap_4h,12h,0.01314,0.00997,True,7.36,0.75,False,False,7,0.71,698288
BTCUSDT,gap_4h,24h,0.00953,0.01318,False,19.59,0.75,True,False,7,0.57,698144
BTCUSDT,cash_4h,1h,0.00546,0.00898,False,-0.38,0.75,False,False,7,0.57,698419
BTCUSDT,cash_4h,4h,0.00746,0.00843,False,-0.1,0.75,False,False,7,0.43,698383
BTCUSDT,cash_4h,8h,0.00057,0.0116,False,-1.66,0.5,False,False,7,0.43,698335
BTCUSDT,cash_4h,12h,-0.00256,0.01255,False,-4.98,1.0,False,False,7,0.43,698287
BTCUSDT,cash_4h,24h,0.00182,0.00575,False,-2.52,0.5,False,False,7,0.43,698143
BTCUSDT,lead_1h,1h,-0.01764,0.00291,True,-3.68,1.0,False,False,7,1.0,698455
BTCUSDT,lead_1h,4h,-0.01434,0.00341,True,-5.57,1.0,False,False,7,0.86,698419
BTCUSDT,lead_1h,8h,-0.01292,0.00191,True,-6.82,0.75,False,False,7,1.0,698371
BTCUSDT,lead_1h,12h,-0.0106,0.0024,True,-7.26,0.75,False,False,7,1.0,698323
BTCUSDT,lead_1h,24h,-0.01024,0.00234,True,-9.57,1.0,False,False,7,1.0,698179
BTCUSDT,lead_4h,1h,-0.022,0.00449,True,-4.87,1.0,False,False,7,1.0,698419
