symbol,feature,horizon,q1_bps,q2_bps,q3_bps,q4_bps,q5_bps
BNBUSDT,ret_1h,1h,1.61,-0.19,-0.04,-0.08,1.61
BNBUSDT,ret_1h,4h,5.42,0.34,0.17,0.38,5.29
BNBUSDT,ret_1h,8h,9.18,0.51,0.74,2.13,10.58
BNBUSDT,ret_1h,12h,9.38,1.55,2.33,4.38,17.0
BNBUSDT,ret_1h,24h,25.95,5.36,4.82,7.86,25.55
BNBUSDT,ret_4h,1h,1.02,-0.81,0.49,0.52,1.68
BNBUSDT,ret_4h,4h,4.02,0.26,1.71,0.69,4.87
BNBUSDT,ret_4h,8h,5.96,1.17,2.18,1.8,11.93
BNBUSDT,ret_4h,12h,4.34,1.55,3.91,2.69,22.09
BNBUSDT,ret_4h,24h,26.53,4.07,6.15,5.14,27.6
BNBUSDT,prem,1h,3.25,0.18,-0.22,0.03,-0.37
BNBUSDT,prem,4h,8.23,0.79,-0.69,0.94,2.32
BNBUSDT,prem,8h,11.9,3.28,0.97,1.4,5.59
BNBUSDT,prem,12h,17.05,5.84,1.57,1.2,9.0
BNBUSDT,prem,24h,29.8,11.56,8.15,2.81,17.2
BNBUSDT,prem_z,1h,3.01,1.03,0.19,-0.22,-1.14
BNBUSDT,prem_z,4h,5.59,2.5,1.71,1.39,0.32
BNBUSDT,prem_z,8h,9.1,3.57,4.18,4.04,2.19
BNBUSDT,prem_z,12h,12.06,6.57,7.31,5.9,2.9
BNBUSDT,prem_z,24h,25.23,15.65,14.56,11.28,2.77
BNBUSDT,dprem_1h,1h,3.3,0.37,0.03,-0.12,-0.68
BNBUSDT,dprem_1h,4h,7.63,0.87,1.18,0.03,1.89
BNBUSDT,dprem_1h,8h,10.92,2.67,2.12,0.75,6.66
BNBUSDT,dprem_1h,12h,15.66,2.86,3.2,1.32,11.61
BNBUSDT,dprem_1h,24h,29.81,5.59,8.01,3.96,22.17
BNBUSDT,dprem_4h,1h,3.96,0.32,-0.04,-0.21,-1.14
BNBUSDT,dprem_4h,4h,7.46,0.85,0.92,0.72,1.6
BNBUSDT,dprem_4h,8h,10.75,2.05,2.02,1.07,7.16
BNBUSDT,dprem_4h,12h,13.72,2.57,3.0,2.33,12.96
BNBUSDT,dprem_4h,24h,31.67,6.83,7.46,5.17,18.38
BNBUSDT,lev_1h,1h,0.78,0.06,0.07,0.18,1.82
BNBUSDT,lev_1h,4h,3.7,0.38,1.14,0.8,5.59
BNBUSDT,lev_1h,8h,8.02,1.28,2.0,2.65,9.18
BNBUSDT,lev_1h,12h,12.8,1.42,2.94,3.68,13.83
BNBUSDT,lev_1h,24h,24.74,4.2,7.76,6.56,26.28
BNBUSDT,lev_4h,1h,0.98,-0.26,-0.01,0.41,1.76
BNBUSDT,lev_4h,4h,2.96,0.31,1.01,1.33,5.94
BNBUSDT,lev_4h,8h,7.23,1.16,1.92,2.3,10.44
BNBUSDT,lev_4h,12h,11.71,2.11,2.65,3.03,15.09
BNBUSDT,lev_4h,24h,20.56,4.86,7.7,6.52,29.86
BNBUSDT,gap,1h,0.42,0.48,0.88,0.82,0.26
BNBUSDT,gap,4h,1.63,2.0,2.9,3.42,1.68
BNBUSDT,gap,8h,3.2,4.93,5.31,6.23,3.55
BNBUSDT,gap,12h,3.98,7.09,8.34,9.2,6.09
BNBUSDT,gap,24h,9.48,13.35,16.12,18.56,12.06
BNBUSDT,gap_z,1h,0.79,0.56,0.7,0.46,0.34
BNBUSDT,gap_z,4h,2.76,1.7,2.44,2.74,1.91
BNBUSDT,gap_z,8h,5.23,4.4,4.72,5.54,3.24
BNBUSDT,gap_z,12h,6.46,6.56,7.5,8.09,6.14
BNBUSDT,gap_z,24h,11.55,13.44,14.55,17.02,12.97
