symbol,feature,horizon,q1_bps,q2_bps,q3_bps,q4_bps,q5_bps
BTCUSDT,ret_1h,1h,1.23,0.12,0.24,0.17,0.29
BTCUSDT,ret_1h,4h,1.76,0.95,1.53,1.63,2.33
BTCUSDT,ret_1h,8h,4.06,2.03,2.82,3.79,3.74
BTCUSDT,ret_1h,12h,2.05,3.58,5.14,5.79,8.07
BTCUSDT,ret_1h,24h,9.97,6.12,8.77,9.75,14.57
BTCUSDT,ret_4h,1h,0.9,-0.24,0.13,0.64,0.63
BTCUSDT,ret_4h,4h,3.47,1.45,1.01,0.78,1.5
BTCUSDT,ret_4h,8h,4.57,1.98,1.38,3.21,5.3
BTCUSDT,ret_4h,12h,1.47,2.91,3.78,5.58,10.89
BTCUSDT,ret_4h,24h,14.38,5.33,5.87,9.41,14.21
BTCUSDT,prem,1h,2.86,0.41,-0.23,-0.19,-0.79
BTCUSDT,prem,4h,7.92,1.41,-0.49,0.72,-1.34
BTCUSDT,prem,8h,12.43,2.94,0.05,2.17,-1.15
BTCUSDT,prem,12h,17.11,4.05,0.67,3.77,-0.97
BTCUSDT,prem,24h,30.58,7.36,2.89,8.86,-0.51
BTCUSDT,prem_z,1h,2.97,1.37,0.2,-0.36,-2.13
BTCUSDT,prem_z,4h,7.23,3.56,0.44,-0.34,-2.67
BTCUSDT,prem_z,8h,10.15,6.24,2.19,0.72,-2.88
BTCUSDT,prem_z,12h,12.38,8.47,4.46,2.16,-2.85
BTCUSDT,prem_z,24h,23.66,16.3,8.25,2.91,-1.85
BTCUSDT,dprem_1h,1h,2.11,0.83,0.5,-0.3,-1.09
BTCUSDT,dprem_1h,4h,4.68,1.91,1.8,0.37,-0.55
BTCUSDT,dprem_1h,8h,7.19,3.65,2.99,1.66,0.94
BTCUSDT,dprem_1h,12h,9.0,5.04,5.28,2.72,2.58
BTCUSDT,dprem_1h,24h,16.27,9.58,9.59,5.6,8.14
BTCUSDT,dprem_4h,1h,2.9,0.61,0.49,-0.24,-1.71
BTCUSDT,dprem_4h,4h,6.12,1.93,1.75,0.01,-1.61
BTCUSDT,dprem_4h,8h,8.56,4.07,3.54,1.11,-0.83
BTCUSDT,dprem_4h,12h,9.49,5.2,5.45,2.36,2.13
BTCUSDT,dprem_4h,24h,19.96,9.09,9.28,5.04,5.83
BTCUSDT,lev_1h,1h,0.4,0.24,0.61,0.22,0.59
BTCUSDT,lev_1h,4h,2.09,1.21,1.83,1.08,2.01
BTCUSDT,lev_1h,8h,4.07,2.63,3.09,2.76,3.87
BTCUSDT,lev_1h,12h,6.1,3.91,5.25,4.09,5.28
BTCUSDT,lev_1h,24h,11.82,6.71,9.74,8.39,12.53
BTCUSDT,lev_4h,1h,0.3,0.23,0.47,0.15,0.9
BTCUSDT,lev_4h,4h,1.98,1.23,1.73,0.75,2.53
BTCUSDT,lev_4h,8h,4.04,3.47,3.39,1.91,3.63
BTCUSDT,lev_4h,12h,6.3,4.35,5.29,3.44,5.25
BTCUSDT,lev_4h,24h,12.5,7.77,9.2,6.5,13.23
BTCUSDT,gap,1h,0.14,0.51,0.42,0.43,0.53
BTCUSDT,gap,4h,0.42,1.21,2.05,1.88,2.65
BTCUSDT,gap,8h,1.15,3.08,4.38,3.52,4.27
BTCUSDT,gap,12h,3.28,4.38,5.96,5.01,5.93
BTCUSDT,gap,24h,5.9,8.78,12.05,9.91,12.43
BTCUSDT,gap_z,1h,0.49,0.36,0.42,0.32,0.45
BTCUSDT,gap_z,4h,1.07,1.66,1.49,1.62,2.37
BTCUSDT,gap_z,8h,2.4,3.41,3.81,3.3,3.46
BTCUSDT,gap_z,12h,5.06,4.84,4.87,4.88,4.89
BTCUSDT,gap_z,24h,7.58,10.08,10.87,9.87,10.75
BTCUSDT,gap_1h,1h,-0.6,0.47,0.54,0.72,0.92
BTCUSDT,gap_1h,4h,-0.66,0.88,1.21,2.57,4.22
BTCUSDT,gap_1h,8h,0.04,1.89,3.98,5.1,5.41
BTCUSDT,gap_1h,12h,2.36,3.94,4.96,6.26,7.09
BTCUSDT,gap_1h,24h,3.19,6.7,10.1,12.63,16.53
BTCUSDT,cash_1h,1h,0.46,0.19,0.03,0.8,0.57
BTCUSDT,cash_1h,4h,2.28,0.48,1.93,1.52,2.0
BTCUSDT,cash_1h,8h,4.34,2.02,3.67,3.36,3.03
BTCUSDT,cash_1h,12h,6.81,4.39,6.06,4.41,2.94
BTCUSDT,cash_1h,24h,10.21,9.3,11.58,11.12,6.95
BTCUSDT,gap_4h,1h,-0.36,0.29,0.13,0.38,1.61
BTCUSDT,gap_4h,4h,-0.69,-0.12,0.88,3.94,4.21
BTCUSDT,gap_4h,8h,1.08,1.47,1.12,6.79,5.98
BTCUSDT,gap_4h,12h,2.27,1.54,2.73,8.46,9.63
BTCUSDT,gap_4h,24h,4.18,5.49,4.74,11.03,23.76
BTCUSDT,cash_4h,1h,0.37,0.41,0.51,0.76,-0.01
BTCUSDT,cash_4h,4h,1.09,1.27,1.33,3.53,0.99
BTCUSDT,cash_4h,8h,3.9,3.12,3.45,3.73,2.24
BTCUSDT,cash_4h,12h,6.59,6.0,5.53,4.9,1.6
BTCUSDT,cash_4h,24h,10.74,8.08,8.51,13.66,8.22
BTCUSDT,lead_1h,1h,2.47,0.52,0.19,0.09,-1.22
BTCUSDT,lead_1h,4h,4.76,1.95,1.4,0.91,-0.8
BTCUSDT,lead_1h,8h,7.08,3.81,2.49,2.8,0.26
BTCUSDT,lead_1h,12h,9.26,5.17,4.03,4.17,2.0
BTCUSDT,lead_1h,24h,16.59,9.87,8.07,7.62,7.02
BTCUSDT,lead_4h,1h,2.71,0.87,0.49,0.13,-2.16
BTCUSDT,lead_4h,4h,6.38,2.03,1.27,0.67,-2.13
BTCUSDT,lead_4h,8h,8.58,4.05,2.8,2.4,-1.4
BTCUSDT,lead_4h,12h,10.03,5.32,3.78,3.62,1.88
BTCUSDT,lead_4h,24h,20.54,9.77,8.61,6.58,3.7
ETHUSDT,ret_1h,1h,0.78,0.12,-0.03,0.47,1.19
ETHUSDT,ret_1h,4h,2.2,0.29,0.6,2.49,4.54
ETHUSDT,ret_1h,8h,4.73,0.56,2.37,5.03,7.54
ETHUSDT,ret_1h,12h,4.38,2.32,3.94,7.08,12.6
ETHUSDT,ret_1h,24h,13.96,7.42,8.17,11.65,19.19
ETHUSDT,ret_4h,1h,0.39,-0.51,0.39,1.42,0.83
ETHUSDT,ret_4h,4h,2.22,1.3,1.25,3.1,2.23
ETHUSDT,ret_4h,8h,2.13,2.32,3.37,4.94,7.46
ETHUSDT,ret_4h,12h,0.67,3.16,4.74,6.27,15.44
ETHUSDT,ret_4h,24h,15.29,8.71,7.3,11.29,17.81
ETHUSDT,prem,1h,1.74,-0.47,-0.21,1.26,0.22
ETHUSDT,prem,4h,5.35,-0.77,-0.66,3.81,2.4
ETHUSDT,prem,8h,7.74,-1.2,-0.71,8.6,5.82
ETHUSDT,prem,12h,9.05,-1.14,-1.8,13.85,10.36
ETHUSDT,prem,24h,14.21,-0.79,-4.51,29.15,22.35
ETHUSDT,prem_z,1h,2.51,0.93,0.26,-0.28,-0.91
ETHUSDT,prem_z,4h,7.62,2.44,0.99,0.06,-1.03
ETHUSDT,prem_z,8h,10.34,4.15,2.78,1.0,1.88
ETHUSDT,prem_z,12h,12.02,5.96,4.87,3.07,4.29
ETHUSDT,prem_z,24h,19.76,13.64,11.26,6.87,8.93
ETHUSDT,dprem_1h,1h,1.97,0.25,-0.03,0.08,0.25
ETHUSDT,dprem_1h,4h,6.55,0.84,0.57,0.38,1.77
ETHUSDT,dprem_1h,8h,10.43,1.18,1.7,1.42,5.5
ETHUSDT,dprem_1h,12h,13.56,2.19,3.17,2.34,9.04
ETHUSDT,dprem_1h,24h,24.11,4.4,7.38,5.17,19.33
ETHUSDT,dprem_4h,1h,2.98,0.47,-0.07,-0.2,-0.65
ETHUSDT,dprem_4h,4h,8.24,1.32,0.42,0.58,-0.45
ETHUSDT,dprem_4h,8h,12.41,1.98,1.53,1.58,2.72
ETHUSDT,dprem_4h,12h,15.0,3.18,2.7,2.48,6.92
ETHUSDT,dprem_4h,24h,26.2,7.08,5.59,4.64,16.9
ETHUSDT,lev_1h,1h,1.0,0.03,-0.0,0.28,1.23
ETHUSDT,lev_1h,4h,3.77,0.74,0.46,0.53,4.62
ETHUSDT,lev_1h,8h,7.56,1.13,1.69,1.51,8.34
ETHUSDT,lev_1h,12h,10.66,1.98,2.74,3.09,11.83
ETHUSDT,lev_1h,24h,20.4,5.06,6.76,5.38,22.8
ETHUSDT,lev_4h,1h,1.1,0.12,0.06,-0.01,1.26
ETHUSDT,lev_4h,4h,3.63,1.57,0.28,0.31,4.32
ETHUSDT,lev_4h,8h,6.63,2.48,1.53,1.02,8.56
ETHUSDT,lev_4h,12h,9.9,3.2,2.86,2.4,11.93
ETHUSDT,lev_4h,24h,15.33,6.26,5.45,5.47,27.91
ETHUSDT,gap,1h,0.32,0.26,0.66,0.83,0.46
ETHUSDT,gap,4h,1.29,2.46,2.5,2.11,1.73
ETHUSDT,gap,8h,2.5,5.45,4.15,5.29,2.8
ETHUSDT,gap,12h,4.68,8.18,5.97,7.15,4.27
ETHUSDT,gap,24h,12.88,14.13,11.18,12.0,10.16
ETHUSDT,gap_z,1h,0.19,0.37,0.72,0.73,0.51
ETHUSDT,gap_z,4h,1.35,2.23,2.17,2.05,2.25
ETHUSDT,gap_z,8h,2.68,5.15,4.05,4.92,3.31
ETHUSDT,gap_z,12h,4.75,7.6,5.74,7.03,5.04
ETHUSDT,gap_z,24h,11.52,14.02,11.1,12.58,11.17
ETHUSDT,gap_1h,1h,0.16,0.13,0.47,1.11,0.65
ETHUSDT,gap_1h,4h,-0.61,1.55,4.12,3.53,1.52
ETHUSDT,gap_1h,8h,-1.01,4.78,7.59,6.27,2.57
ETHUSDT,gap_1h,12h,3.58,6.47,8.67,6.77,4.8
ETHUSDT,gap_1h,24h,11.27,13.62,14.57,11.63,9.31
ETHUSDT,cash_1h,1h,0.87,0.26,0.9,0.17,0.34
ETHUSDT,cash_1h,4h,1.06,3.36,3.25,2.13,0.32
ETHUSDT,cash_1h,8h,1.25,7.05,6.52,5.46,-0.05
ETHUSDT,cash_1h,12h,2.99,8.88,7.76,8.02,2.64
ETHUSDT,cash_1h,24h,8.07,14.43,13.45,15.98,8.47
ETHUSDT,gap_4h,1h,-0.15,-0.15,1.49,0.35,0.98
ETHUSDT,gap_4h,4h,-1.46,-0.17,4.89,4.75,2.11
ETHUSDT,gap_4h,8h,2.58,2.32,6.67,4.12,4.53
ETHUSDT,gap_4h,12h,5.92,4.94,6.8,5.87,6.75
ETHUSDT,gap_4h,24h,15.01,10.82,10.16,11.91,12.52
ETHUSDT,cash_4h,1h,0.31,0.79,0.89,0.52,0.02
ETHUSDT,cash_4h,4h,0.17,4.64,3.34,2.83,-0.88
ETHUSDT,cash_4h,8h,0.8,7.43,6.27,5.73,-0.01
ETHUSDT,cash_4h,12h,1.35,7.19,9.53,9.9,2.32
ETHUSDT,cash_4h,24h,2.85,6.14,14.48,24.66,12.28
ETHUSDT,lead_1h,1h,2.27,0.25,-0.01,-0.09,0.11
ETHUSDT,lead_1h,4h,6.72,1.68,0.54,-0.05,1.21
ETHUSDT,lead_1h,8h,11.0,2.78,1.4,0.53,4.53
ETHUSDT,lead_1h,12h,15.41,2.84,2.29,1.9,7.87
ETHUSDT,lead_1h,24h,26.83,5.98,4.45,4.86,18.28
ETHUSDT,lead_4h,1h,3.42,0.6,0.27,-0.63,-1.13
ETHUSDT,lead_4h,4h,9.56,1.33,1.62,-0.73,-1.67
ETHUSDT,lead_4h,8h,14.4,1.87,1.97,0.15,1.85
ETHUSDT,lead_4h,12h,18.32,2.47,1.86,1.0,6.64
ETHUSDT,lead_4h,24h,32.54,4.79,2.64,3.84,16.61
SOLUSDT,ret_1h,1h,1.96,-0.98,-0.35,0.81,1.85
SOLUSDT,ret_1h,4h,10.19,-2.08,-2.04,-0.04,7.18
SOLUSDT,ret_1h,8h,17.89,-1.9,-0.89,1.01,10.26
SOLUSDT,ret_1h,12h,20.49,-0.27,-0.11,2.02,17.46
SOLUSDT,ret_1h,24h,38.33,2.12,2.33,4.86,31.77
SOLUSDT,ret_4h,1h,2.5,-2.09,-0.47,0.89,2.45
SOLUSDT,ret_4h,4h,12.11,-2.34,-1.84,0.38,4.84
SOLUSDT,ret_4h,8h,19.72,-1.56,-1.39,0.12,9.46
SOLUSDT,ret_4h,12h,22.13,0.74,-0.13,0.77,16.12
SOLUSDT,ret_4h,24h,46.92,0.06,-1.61,1.96,32.22
SOLUSDT,prem,1h,1.77,-0.49,-0.57,0.41,2.18
SOLUSDT,prem,4h,4.69,-1.11,-1.91,2.27,9.29
SOLUSDT,prem,8h,6.34,-1.99,-3.66,4.66,21.03
SOLUSDT,prem,12h,6.64,-4.45,-4.15,9.05,32.48
SOLUSDT,prem,24h,7.43,-7.48,-3.77,12.31,70.89
SOLUSDT,prem_z,1h,2.06,1.64,0.04,0.22,-0.65
SOLUSDT,prem_z,4h,7.55,4.46,2.47,0.72,-1.9
SOLUSDT,prem_z,8h,12.72,6.0,6.05,2.74,-0.93
SOLUSDT,prem_z,12h,16.14,7.84,9.2,4.89,1.82
SOLUSDT,prem_z,24h,28.18,8.92,20.57,9.29,13.13
SOLUSDT,dprem_1h,1h,2.38,0.01,-0.59,-0.47,1.96
SOLUSDT,dprem_1h,4h,7.58,0.71,-0.23,0.55,4.6
SOLUSDT,dprem_1h,8h,12.6,2.38,0.71,1.39,9.28
SOLUSDT,dprem_1h,12h,18.16,2.86,0.45,1.88,16.23
SOLUSDT,dprem_1h,24h,34.89,4.28,0.42,5.1,34.73
SOLUSDT,dprem_4h,1h,2.87,0.33,0.01,-0.33,0.41
SOLUSDT,dprem_4h,4h,10.32,0.72,0.85,-0.79,2.05
SOLUSDT,dprem_4h,8h,17.11,1.54,1.16,-1.29,7.84
SOLUSDT,dprem_4h,12h,22.05,1.69,0.3,-0.49,16.08
SOLUSDT,dprem_4h,24h,43.44,3.73,-0.12,1.78,30.72
SOLUSDT,lev_1h,1h,1.89,0.04,-0.66,-0.46,2.48
SOLUSDT,lev_1h,4h,5.38,0.96,-0.4,0.53,6.75
SOLUSDT,lev_1h,8h,11.05,2.57,0.6,1.46,10.68
SOLUSDT,lev_1h,12h,18.69,3.25,0.45,1.66,15.53
SOLUSDT,lev_1h,24h,37.03,6.92,0.14,2.69,32.63
