signal,look,win,q,band,hold,contrarian,stop_k,trades,tpd,avg_bps,win_rate,pf_0x,tot_0x,pf_1x,tot_1x,pf_2x,tot_2x,pf_3x,tot_3x,symbol,kind
prem_z,0,288,0.02,2016,96,True,0.0,4824,1.982,4.64,0.5139,1.0804,22362.3,0.8557,-45173.7,0.6798,-112709.7,0.5429,-180245.7,BTCUSDT,real
prem_z,0,288,0.02,2016,96,True,2.0,5551,2.281,4.25,0.4842,1.0738,23598.6,0.8505,-54115.4,0.6771,-131829.4,0.5426,-209543.4,BTCUSDT,real
prem_z,0,288,0.02,2016,96,False,0.0,4824,1.982,-4.64,0.4859,0.9256,-22362.3,0.7334,-89898.3,0.5837,-157434.3,0.4675,-224970.3,BTCUSDT,real
prem_z,0,288,0.02,2016,96,False,2.0,5591,2.297,-5.11,0.4545,0.9164,-28569.5,0.7236,-106843.5,0.5751,-185117.5,0.4607,-263391.5,BTCUSDT,real
prem_z,0,288,0.02,2016,288,True,0.0,2076,0.853,2.32,0.5101,1.0224,4816.7,0.8943,-24247.3,0.7825,-53311.3,0.6855,-82375.3,BTCUSDT,real
prem_z,0,288,0.02,2016,288,True,2.0,2766,1.136,10.8,0.4367,1.1188,29876.5,0.9677,-8847.5,0.8399,-47571.5,0.7315,-86295.5,BTCUSDT,real
prem_z,0,288,0.02,2016,288,False,0.0,2076,0.853,-2.32,0.4899,0.9781,-4816.7,0.8557,-33880.7,0.7489,-62944.7,0.6561,-92008.7,BTCUSDT,real
prem_z,0,288,0.02,2016,288,False,2.0,2774,1.14,-1.53,0.4016,0.9838,-4237.2,0.8492,-43073.2,0.7358,-81909.2,0.6396,-120745.2,BTCUSDT,real
prem_z,0,288,0.02,2016,576,True,0.0,1116,0.459,9.5,0.4955,1.0638,10599.9,0.9712,-5024.1,0.8869,-20648.1,0.8103,-36272.1,BTCUSDT,real
prem_z,0,288,0.02,2016,576,True,2.0,1702,0.699,3.46,0.379,1.0271,5881.1,0.9227,-17946.9,0.831,-41774.9,0.7502,-65602.9,BTCUSDT,real
