signal,look,win,q,band,hold,contrarian,stop_k,trades,tpd,avg_bps,win_rate,pf_0x,tot_0x,pf_1x,tot_1x,pf_2x,tot_2x,pf_3x,tot_3x,symbol,kind
prem_z,0,288,0.02,2016,864,True,0.0,760,0.312,21.2,0.5026,1.1209,16110.9,1.0395,5470.9,0.9641,-5169.1,0.8946,-15809.1,BTCUSDT,real
prem_z,0,288,0.02,2016,864,True,2.0,1262,0.518,10.82,0.3629,1.0736,13650.5,0.9796,-4017.5,0.8959,-21685.5,0.8209,-39353.5,BTCUSDT,real
prem_z,0,288,0.02,2016,864,False,0.0,760,0.312,-21.2,0.4974,0.8922,-16110.9,0.8272,-26750.9,0.7671,-37390.9,0.7115,-48030.9,BTCUSDT,real
prem_z,0,288,0.02,2016,864,False,2.0,1310,0.538,-6.07,0.3206,0.9592,-7954.7,0.8732,-26294.7,0.7972,-44634.7,0.7297,-62974.7,BTCUSDT,real
prem_z,0,288,0.02,2016,1728,True,0.0,392,0.161,-15.73,0.4898,0.9425,-6166.9,0.8941,-11654.9,0.8482,-17142.9,0.8047,-22630.9,BTCUSDT,real
prem_z,0,288,0.02,2016,1728,True,2.0,815,0.335,-19.05,0.2699,0.8965,-15526.8,0.8299,-26936.8,0.77,-38346.8,0.7159,-49756.8,BTCUSDT,real
prem_z,0,288,0.02,2016,1728,False,0.0,392,0.161,15.73,0.5102,1.061,6166.9,1.0065,678.9,0.9549,-4809.1,0.9059,-10297.1,BTCUSDT,real
prem_z,0,288,0.02,2016,1728,False,2.0,778,0.32,30.06,0.2943,1.1774,23389.9,1.0896,12497.9,1.0109,1605.9,0.9401,-9286.1,BTCUSDT,real
prem_z,0,288,0.02,2016,2880,True,0.0,238,0.098,20.9,0.5,1.0573,4974.0,1.0186,1642.0,0.9812,-1690.0,0.9453,-5022.0,BTCUSDT,real
prem_z,0,288,0.02,2016,2880,True,2.0,557,0.229,38.5,0.2585,1.1837,21443.5,1.1114,13645.5,1.0456,5847.5,0.9855,-1950.5,BTCUSDT,real
prem_z,0,288,0.02,2016,2880,False,0.0,238,0.098,-20.9,0.5,0.9458,-4974.0,0.9111,-8306.0,0.8777,-11638.0,0.8455,-14970.0,BTCUSDT,real
prem_z,0,288,0.02,2016,2880,False,2.0,599,0.246,11.13,0.217,1.0553,6669.0,0.9865,-1717.0,0.9246,-10103.0,0.8685,-18489.0,BTCUSDT,real
prem_z,0,288,0.02,2016,4032,True,0.0,170,0.07,99.49,0.5353,1.252,16913.7,1.213,14533.7,1.1753,12153.7,1.1387,9773.7,BTCUSDT,real
prem_z,0,288,0.02,2016,4032,True,2.0,459,0.189,7.62,0.22,1.0355,3496.2,0.9717,-2929.8,0.9138,-9355.8,0.861,-15781.8,BTCUSDT,real
prem_z,0,288,0.02,2016,4032,False,0.0,170,0.07,-99.49,0.4647,0.7987,-16913.7,0.7738,-19293.7,0.7498,-21673.7,0.7264,-24053.7,BTCUSDT,real
prem_z,0,288,0.02,2016,4032,False,2.0,473,0.194,67.07,0.2199,1.3589,31725.9,1.2683,25103.9,1.1871,18481.9,1.1141,11859.9,BTCUSDT,real
prem_z,0,288,0.02,2016,864,True,0.0,765,0.314,-24.97,0.4654,0.877,-19098.5,0.815,-29808.5,0.7575,-40518.5,0.7043,-51228.5,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,864,True,2.0,1159,0.476,18.9,0.3779,1.1289,21899.9,1.0315,5673.9,0.9445,-10552.1,0.8665,-26778.1,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,864,False,0.0,765,0.314,24.97,0.5346,1.1402,19098.5,1.0594,8388.5,0.9842,-2321.5,0.9142,-13031.5,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,864,False,2.0,1161,0.477,17.44,0.3686,1.1205,20250.6,1.0224,3996.6,0.9351,-12257.4,0.8571,-28511.4,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,1728,True,0.0,392,0.161,24.02,0.4898,1.0927,9414.4,1.0376,3926.4,0.9854,-1561.6,0.936,-7049.6,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,1728,True,2.0,748,0.307,16.47,0.2941,1.0871,12315.9,1.0124,1843.9,0.9448,-8628.1,0.8834,-19100.1,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,1728,False,0.0,392,0.161,-24.02,0.5102,0.9151,-9414.4,0.8689,-14902.4,0.825,-20390.4,0.7834,-25878.4,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,1728,False,2.0,684,0.281,38.3,0.3406,1.2193,26196.2,1.1322,16620.2,1.0533,7044.2,0.9817,-2531.8,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,2880,True,0.0,238,0.098,1.65,0.4538,1.0046,391.5,0.9659,-2940.5,0.9288,-6272.5,0.8933,-9604.5,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,2880,True,2.0,535,0.22,4.68,0.2299,1.0224,2504.6,0.9575,-4985.4,0.8987,-12475.4,0.8452,-19965.4,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,2880,False,0.0,238,0.098,-1.65,0.5462,0.9954,-391.5,0.9569,-3723.5,0.9198,-7055.5,0.8842,-10387.5,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,2880,False,2.0,476,0.196,38.34,0.2899,1.1771,18252.2,1.1075,11588.2,1.0437,4924.2,0.9852,-1739.8,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,4032,True,0.0,170,0.07,-192.33,0.4118,0.6394,-32696.9,0.6192,-35076.9,0.5997,-37456.9,0.5808,-39836.9,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,4032,True,2.0,415,0.171,19.82,0.2193,1.0891,8226.7,1.0249,2416.7,0.9665,-3393.3,0.9131,-9203.3,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,4032,False,0.0,170,0.07,192.33,0.5882,1.5639,32696.9,1.5139,30316.9,1.4653,27936.9,1.4181,25556.9,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,4032,False,2.0,421,0.173,17.13,0.2185,1.0767,7213.4,1.0134,1319.4,0.9557,-4574.6,0.9031,-10468.6,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,2016,864,True,0.0,764,0.314,-19.81,0.4895,0.8977,-15134.5,0.8318,-25830.5,0.7706,-36526.5,0.7141,-47222.5,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,864,True,2.0,1168,0.48,23.11,0.3818,1.1592,26993.8,1.0592,10641.8,0.97,-5710.2,0.89,-22062.2,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,864,False,0.0,764,0.314,19.81,0.5105,1.1139,15134.5,1.0321,4438.5,0.9564,-6257.5,0.8864,-16953.5,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,864,False,2.0,1173,0.482,12.35,0.37,1.0846,14489.1,0.9894,-1932.9,0.9045,-18354.9,0.8287,-34776.9,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,1728,True,0.0,393,0.161,-11.98,0.5115,0.9568,-4708.1,0.9086,-10210.1,0.8628,-15712.1,0.8193,-21214.1,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,1728,True,2.0,718,0.295,35.19,0.3217,1.1875,25266.5,1.1075,15214.5,1.0348,5162.5,0.9685,-4889.5,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,1728,False,0.0,393,0.161,11.98,0.4885,1.0452,4708.1,0.9926,-793.9,0.9427,-6295.9,0.8954,-11797.9,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,1728,False,2.0,715,0.294,19.39,0.3105,1.1058,13866.2,1.0279,3856.2,0.9575,-6153.8,0.8936,-16163.8,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,2880,True,0.0,237,0.097,-101.65,0.443,0.7418,-24091.0,0.712,-27409.0,0.6835,-30727.0,0.6561,-34045.0,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,2880,True,2.0,509,0.209,28.07,0.2574,1.1254,14286.2,1.0601,7160.2,1.0003,34.2,0.9454,-7091.8,BTCUSDT,shuffled_s1
