symbol,feature,horizon,ic,null_best,beats_null,spread_bps,monotone,clears_2x,same_sign_years,n
BTCUSDT,own,1h,-0.00736,0.00263,True,-5.47,1.0,False,0.71,52020
BTCUSDT,own,4h,-0.02449,0.00568,True,-15.54,1.0,False,0.86,52017
BTCUSDT,own,8h,-0.03497,0.00656,True,-24.58,1.0,False,0.86,52013
BTCUSDT,own,24h,-0.04618,0.02583,True,-41.99,1.0,True,0.71,51997
BTCUSDT,sys,1h,-0.00346,0.00772,False,-3.72,1.0,False,0.67,41117
BTCUSDT,sys,4h,-0.01731,0.00615,True,-11.81,1.0,False,0.67,41114
BTCUSDT,sys,8h,-0.02864,0.00527,True,-18.86,1.0,False,0.83,41110
BTCUSDT,sys,24h,-0.01219,0.03916,False,-13.76,1.0,False,0.5,41094
BTCUSDT,breadth,1h,-0.00343,0.00879,False,-3.79,0.75,False,0.67,41117
BTCUSDT,breadth,4h,-0.01507,0.00742,True,-12.37,1.0,False,0.83,41114
BTCUSDT,breadth,8h,-0.02584,0.00223,True,-21.29,1.0,False,0.83,41110
BTCUSDT,breadth,24h,-0.0152,0.03864,False,-17.55,1.0,False,0.5,41094
BTCUSDT,disp,1h,-0.00308,0.01136,False,0.61,0.5,False,0.67,41117
BTCUSDT,disp,4h,0.00062,0.01801,False,2.81,0.75,False,0.5,41114
BTCUSDT,disp,8h,0.0016,0.00966,False,0.44,0.5,False,0.5,41110
BTCUSDT,disp,24h,-0.01144,0.00904,True,-7.04,0.5,False,0.83,41094
BTCUSDT,sys_gap,1h,0.00818,0.00603,True,2.06,0.75,False,0.83,33891
BTCUSDT,sys_gap,4h,0.01893,0.01934,False,7.86,0.75,False,0.83,33888
BTCUSDT,sys_gap,8h,0.01992,0.00656,True,13.2,0.75,False,1.0,33884
BTCUSDT,sys_gap,24h,0.01666,0.02406,False,18.89,1.0,False,0.83,33868
BTCUSDT,idio,1h,0.00279,0.00413,False,-2.61,1.0,False,0.5,41117
BTCUSDT,idio,4h,0.00406,0.01001,False,-8.56,1.0,False,0.5,41114
BTCUSDT,idio,8h,0.00279,0.01717,False,-12.05,0.5,False,0.33,41110
BTCUSDT,idio,24h,-0.01401,0.02272,False,-22.76,0.75,False,0.67,41094
BTCUSDT,dsys_12,1h,-0.00566,0.0063,False,-2.29,0.5,False,0.5,41107
BTCUSDT,dsys_12,4h,-0.00515,0.00683,False,-3.34,0.75,False,0.67,41104
BTCUSDT,dsys_12,8h,-0.00874,0.00417,True,-3.44,0.75,False,0.83,41100
BTCUSDT,dsys_12,24h,-0.01091,0.00567,True,-6.92,0.5,False,0.67,41084
BTCUSDT,down_12,1h,-0.01098,0.00222,True,-3.43,0.5,False,0.71,52010
BTCUSDT,down_12,4h,-0.01844,0.00815,True,-8.48,0.5,False,0.86,52007
BTCUSDT,down_12,8h,-0.0204,0.00503,True,-11.64,0.75,False,0.86,52003
BTCUSDT,down_12,24h,-0.01243,0.01118,True,-14.58,0.75,False,0.86,51987
BTCUSDT,dsys_48,1h,-0.00191,0.00309,False,-1.25,0.75,False,0.5,41101
BTCUSDT,dsys_48,4h,-0.00719,0.00792,False,-4.18,0.75,False,0.67,41098
BTCUSDT,dsys_48,8h,-0.01337,0.00806,True,-6.85,0.75,False,0.67,41094
BTCUSDT,dsys_48,24h,-0.01165,0.00858,True,-4.09,0.75,False,0.67,41078
BTCUSDT,down_48,1h,-0.01587,0.00481,True,-3.77,1.0,False,0.86,52004
