sym,feature,horizon,n,q1,q3,q5,spread,abs_spread,monotone,null_best,beats_null,years_same_sign,years,clears_taker1x,clears_taker2x,clears_mixed,clears_maker2x
BTCUSDT,imbz_0.2,15m,65067,-0.1980399442283566,-0.3042285601407256,-0.03956324807022548,0.15847669615813112,0.15847669615813112,0.5,0.5610219056832095,False,1,1,False,False,False,False
BTCUSDT,imbz_0.2,30m,65064,-0.24963610776439865,-0.27654961243327963,-0.3159455107358818,-0.06630940297148313,0.06630940297148313,0.5,1.6128953142673,False,1,1,False,False,False,False
BTCUSDT,imbz_0.2,1h,65058,-0.8402828623480268,0.0068255816463802165,-0.7549896643558485,0.08529319799217838,0.08529319799217838,0.5,1.1818530082390184,False,1,1,False,False,False,False
BTCUSDT,imbz_0.2,2h,65046,-0.6512687988345246,-0.2031593480963629,-2.2525804019106834,-1.6013116030761587,1.6013116030761587,0.75,3.481567728246078,False,1,1,False,False,False,False
BTCUSDT,imbz_0.2,4h,65022,0.06176235766472825,-1.6056403291502872,-4.491626668952408,-4.553389026617136,4.553389026617136,0.75,9.148085469782504,False,1,1,False,False,False,False
BTCUSDT,depz_0.2,15m,65067,-0.1604623461457098,0.09235878611721926,-0.35226888270498313,-0.19180653655927332,0.19180653655927332,0.5,0.7155122043325262,False,1,1,False,False,False,False
BTCUSDT,depz_0.2,30m,65064,-0.2692867443914464,-0.3577854836275021,-0.7111311962235239,-0.44184445183207754,0.44184445183207754,0.5,1.413164053360716,False,1,1,False,False,False,False
BTCUSDT,depz_0.2,1h,65058,-0.7104511586356423,-0.5500801461288892,-1.109772182282454,-0.39932102364681166,0.39932102364681166,0.5,4.0145305439770915,False,1,1,False,False,False,False
BTCUSDT,depz_0.2,2h,65046,-1.0784242200791396,-0.19646162153185714,-1.4455587459426307,-0.36713452586349105,0.36713452586349105,0.75,4.4295543569625515,False,1,1,False,False,False,False
BTCUSDT,depz_0.2,4h,65022,0.029994079104346028,-0.8839685011909288,-2.7928884188351266,-2.8228824979394727,2.8228824979394727,0.5,4.93594003226303,False,1,1,False,False,False,False
BTCUSDT,imbz_1,15m,371428,-0.23605849350616806,0.01011392536296729,0.5901142860861878,0.8261727795923558,0.8261727795923558,0.75,0.28669634813427214,True,4,4,False,False,False,False
BTCUSDT,imbz_1,30m,371425,-0.28324341010967496,0.04986998735004408,0.9509238354487265,1.2341672455584014,1.2341672455584014,0.75,0.6148522955266809,True,4,4,False,False,False,False
BTCUSDT,imbz_1,1h,371419,-0.10889548567441686,0.27649112567457973,1.435685025075548,1.5445805107499648,1.5445805107499648,0.5,0.9364199960496618,True,3,4,False,False,False,False
BTCUSDT,imbz_1,2h,371407,0.5016550485377261,0.7142010787247326,1.4762061822814865,0.9745511337437603,0.9745511337437603,0.75,2.7941289464653245,False,3,4,False,False,False,False
BTCUSDT,imbz_1,4h,371383,0.6658982962305733,1.9250673862913317,2.0817397933568946,1.4158414971263213,1.4158414971263213,0.5,2.8036036405760796,False,3,4,False,False,False,False
BTCUSDT,depz_1,15m,371428,0.013817100132814486,0.3474481930737766,0.17704800523041322,0.16323090509759874,0.16323090509759874,0.5,0.29488019362528417,False,3,4,False,False,False,False
BTCUSDT,depz_1,30m,371425,0.04804938191510257,0.39976715299956106,0.35660397926324927,0.3085545973481467,0.3085545973481467,0.75,0.5926490086089695,False,3,4,False,False,False,False
BTCUSDT,depz_1,1h,371419,0.17861885672326708,0.5344018615039552,0.685264378098749,0.5066455213754819,0.5066455213754819,0.5,1.5047817361550098,False,2,4,False,False,False,False
BTCUSDT,depz_1,2h,371407,0.5306594972941894,1.1902358487236464,0.8473623985695931,0.3167029012754037,0.3167029012754037,0.5,4.044224915270107,False,2,4,False,False,False,False
BTCUSDT,depz_1,4h,371383,0.7747095745447679,2.8640440009416044,1.339091201728979,0.5643816271842113,0.5643816271842113,0.5,2.6702840841226414,False,2,4,False,False,False,False
BTCUSDT,imbz_2,15m,371428,-0.23514698394073588,0.1460728388085104,0.6921882470677408,0.9273352310084767,0.9273352310084767,0.75,0.3427013272075378,True,4,4,False,False,False,False
BTCUSDT,imbz_2,30m,371425,-0.4046858769797849,0.21576198265017357,1.133725824257287,1.538411701237072,1.538411701237072,0.75,0.5134567271681068,True,4,4,False,False,False,False
BTCUSDT,imbz_2,1h,371419,-0.37559402334406183,0.4951974968601946,1.6193182166991602,1.994912240043222,1.994912240043222,0.75,0.9051437958124442,True,4,4,False,False,False,False
BTCUSDT,imbz_2,2h,371407,-0.08184681519958395,0.7233363637041151,1.9190302377682589,2.000877052967843,2.000877052967843,0.75,1.950618357842496,True,4,4,False,False,False,False
BTCUSDT,imbz_2,4h,371383,0.32391069366800646,1.9942495533639748,2.7754983410537353,2.451587647385729,2.451587647385729,1.0,1.9315545079246532,True,4,4,False,False,False,False
BTCUSDT,depz_2,15m,371428,0.06441927205268598,0.0017273773618950833,0.0235121773567029,-0.04090709469598308,0.04090709469598308,0.5,0.42428397177838095,False,1,4,False,False,False,False
BTCUSDT,depz_2,30m,371425,0.07469219221643675,0.009641376246953864,0.17539251539760195,0.1007003231811652,0.1007003231811652,0.5,0.0836326217575971,True,2,4,False,False,False,False
BTCUSDT,depz_2,1h,371419,0.35251440392168537,-0.32704541831519846,0.4309408568280094,0.07842645290632405,0.07842645290632405,0.5,0.7039869468267621,False,2,4,False,False,False,False
BTCUSDT,depz_2,2h,371407,0.6409196198634391,-0.15656883828130339,0.7565096670298336,0.11559004716639443,0.11559004716639443,0.5,3.470342514859467,False,2,4,False,False,False,False
BTCUSDT,depz_2,4h,371383,1.5414655829294748,0.6093737164023877,1.6969648994552227,0.1554993165257479,0.1554993165257479,0.5,3.1198841058487785,False,1,4,False,False,False,False
BTCUSDT,imbz_5,15m,371428,-0.2599219548833824,0.08546434256728741,0.7465345799501084,1.0064565348334908,1.0064565348334908,0.75,0.30673742921547914,True,4,4,False,False,False,False
BTCUSDT,imbz_5,30m,371425,-0.31754429198431944,0.16694196453748578,1.2393866489793837,1.556930940963703,1.556930940963703,0.75,0.7999872860417793,True,4,4,False,False,False,False
BTCUSDT,imbz_5,1h,371419,-0.4894582756762885,0.15822813235925784,2.09851469461582,2.5879729702921086,2.5879729702921086,0.5,1.0748161967290448,True,4,4,False,False,False,False
BTCUSDT,imbz_5,2h,371407,-0.13448666097036877,0.3749402346819773,3.3716410625939943,3.5061277235643633,3.5061277235643633,0.5,1.998078210603004,True,4,4,False,False,False,False
BTCUSDT,imbz_5,4h,371383,-0.04407502564011716,1.754839694147781,3.8773258564404816,3.9214008820805986,3.9214008820805986,0.5,3.2415782080523154,True,3,4,False,False,False,False
