sym,clip_usd,mode,median_bps_fine,n_fine,fillable,median_bps,p90_bps,p99_bps,round_trip_median
BTCUSDT,1000,uniform,0.0002876746968210354,3508,1.0,0.0003678794061021998,0.0005800347112430218,0.0007781909028269398,0.0007357588122043996
BTCUSDT,1000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
BTCUSDT,10000,uniform,0.0028767469682103542,3508,1.0,0.003678794061021998,0.005800347112430218,0.007781909028269399,0.007357588122043996
BTCUSDT,10000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
BTCUSDT,50000,uniform,0.014383734841051769,3508,1.0,0.018393970305109992,0.02900173556215109,0.03890954514134699,0.036787940610219984
BTCUSDT,50000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
BTCUSDT,250000,uniform,0.07191867420525885,3508,1.0,0.09196985152554996,0.14500867781075544,0.19454772570673495,0.1839397030510999
BTCUSDT,250000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
BTCUSDT,1000000,uniform,0.2876746968210354,3508,1.0,0.3678794061021998,0.5800347112430217,0.7781909028269398,0.7357588122043996
BTCUSDT,1000000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
BTCUSDT,5000000,uniform,1.438373484105177,3508,1.0,1.839397030510999,2.9001735562151087,3.8909545141346995,3.678794061021998
BTCUSDT,5000000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
ETHUSDT,1000,uniform,0.0006495887847255979,3508,1.0,0.0008715760449005212,0.0012541767224299946,0.0016348264647806825,0.0017431520898010425
ETHUSDT,1000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
ETHUSDT,10000,uniform,0.0064958878472559795,3508,1.0,0.008715760449005213,0.012541767224299945,0.016348264647806823,0.017431520898010425
ETHUSDT,10000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
ETHUSDT,50000,uniform,0.0324794392362799,3508,1.0,0.04357880224502606,0.06270883612149973,0.08174132323903412,0.08715760449005212
ETHUSDT,50000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
ETHUSDT,250000,uniform,0.16239719618139947,3508,1.0,0.21789401122513033,0.31354418060749867,0.4087066161951706,0.43578802245026066
ETHUSDT,250000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
ETHUSDT,1000000,uniform,0.6495887847255979,3508,1.0,0.8715760449005213,1.2541767224299947,1.6348264647806825,1.7431520898010426
