sym,feature,horizon,n,weeks,spread,monotone,null_1d_med,null_1d_max,beats_1d,pct_1d,null_1w_med,null_1w_max,beats_1w,pct_1w,null_1mo_med,null_1mo_max,beats_1mo,pct_1mo
BTCUSDT,dvolz,2h,568907,284,4.980840376305979,1.0,0.7092389611828193,5.035924904912289,False,0.95,0.7428125428187583,3.1667268152569816,True,1.0,0.6147268186159194,3.1795295539142843,True,1.0
BTCUSDT,dvolz,4h,568883,284,8.919706609443566,1.0,2.7252490647815075,5.403142562938041,True,1.0,2.376978864369467,6.684712839228504,True,1.0,2.1969221163332593,7.613221369386789,True,1.0
BTCUSDT,ddvol_1d,2h,568619,283,2.116479532229724,0.75,0.621524709190312,3.0259196439137015,False,0.85,0.9657828800160283,3.0038310643785366,False,0.85,0.9549788618417807,2.6944117779734778,False,0.8
BTCUSDT,ddvol_1d,4h,568595,283,3.277640474642597,0.75,1.7158464621473404,5.604406608731595,False,0.85,3.05116942808021,6.219591429926668,False,0.6,2.399146813290143,6.477503672102462,False,0.75
BTCUSDT,vrpz,2h,564586,281,3.763817737191693,0.75,0.4583244852055127,2.3734384485818483,True,1.0,1.3284672606856276,4.089049181695874,False,0.95,0.8763379086362271,3.729238956891977,True,1.0
BTCUSDT,vrpz,4h,564562,281,6.696246061086943,0.75,1.699865113040404,5.929859428086393,True,1.0,1.7959769982715477,6.083823854785199,True,1.0,2.7384865296132292,8.131501583369594,False,0.95
ETHUSDT,dvolz,2h,568907,284,5.212483413443641,0.75,1.430194297903184,4.0837505929047575,True,1.0,0.6883914237135595,4.59735119648367,True,1.0,1.221607119412334,4.614634462558982,True,1.0
ETHUSDT,dvolz,4h,568883,284,9.886051913399353,0.75,2.708354814079791,9.850465053964836,True,1.0,3.5973060387588633,11.140260095201985,False,0.9,3.1485311402374094,12.827261700317656,False,0.9
ETHUSDT,ddvol_1d,2h,568619,283,4.690236999117095,0.75,1.6228238013094454,5.784689199249867,False,0.95,1.4953607646683251,4.1395080392530375,True,1.0,1.898806835310849,5.730644255484138,False,0.95
ETHUSDT,ddvol_1d,4h,568595,283,8.982559722812692,1.0,2.8596123334454617,7.639623709273725,True,1.0,3.572947551864675,10.29058462164318,False,0.95,2.537955966733132,7.739185470911609,True,1.0
ETHUSDT,vrpz,2h,564586,281,2.5449874111693616,0.5,1.1622037918977886,4.255881491944248,False,0.8,1.2239810004489344,3.977742025448103,False,0.8,1.2170712837437012,4.1509935630145085,False,0.85
ETHUSDT,vrpz,4h,564562,281,6.60575806194014,0.75,2.0422570427257396,6.942054628697155,False,0.95,2.858886660752234,7.569871640651523,False,0.9,3.3460975556009522,10.513862191289618,False,0.65
