symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,tpd,total_r
XAUUSD,1h,30,1,7,5,57,3.956,3.539,0.094,36.51
XAUUSD,1h,30,10,7,7,598,2.433,2.174,0.946,33.33
XAUUSD,30m,30,1,7,4,105,2.087,1.797,0.175,42.02
XAUUSD,30m,30,10,7,4,849,1.685,1.476,1.332,24.18
EURUSD,15m,30,1,7,3,63,1.675,1.566,0.102,18.46
USDCHF,15m,30,10,7,4,554,1.49,1.271,0.879,9.94
AUDUSD,1h,30,1,7,5,45,1.479,1.238,0.073,4.15
XAUUSD,1h,100,10,7,5,1843,1.478,1.274,2.891,29.14
USDCAD,1h,30,1,7,4,53,1.444,1.167,0.084,9.87
USDCHF,4h,30,1,7,4,93,1.418,1.217,0.147,12.36
USDJPY,5m,30,1,7,4,79,1.376,1.117,0.125,18.4
EURUSD,15m,30,10,7,4,650,1.35,1.224,1.025,10.54
USDJPY,1h,30,1,7,4,70,1.336,1.225,0.114,8.9
USDCHF,30m,30,10,7,4,604,1.308,1.134,0.952,7.87
USDCHF,15m,30,1,7,6,53,1.279,1.102,0.085,6.06
XAUUSD,1h,100,1,7,4,184,1.271,1.09,0.289,16.7
XAUUSD,5m,30,10,7,4,992,1.213,0.987,1.597,9.05
XAUUSD,5m,100,1,7,4,221,1.197,0.926,0.355,22.9
USDJPY,4h,30,1,7,4,72,1.183,1.066,0.117,3.85
USDCHF,5m,100,1,7,4,197,1.169,0.878,0.312,18.2
USDCHF,30m,100,1,7,3,218,1.146,1.004,0.344,14.31
AUDUSD,5m,30,1,7,4,53,1.097,0.945,0.086,1.88
USDJPY,15m,100,1,7,5,231,1.089,0.933,0.364,11.94
GBPUSD,3m,100,1,7,4,181,1.085,0.927,0.289,9.98
AUDUSD,1h,30,10,7,3,525,1.081,0.92,0.826,1.13
XAUUSD,15m,30,1,7,2,69,1.081,0.98,0.112,2.98
EURUSD,3m,100,1,7,3,226,1.064,0.838,0.359,7.76
XAUUSD,15m,30,10,7,4,776,1.062,0.953,1.225,3.18
USDCHF,1h,30,1,7,2,71,1.055,0.903,0.116,2.18
USDCAD,1h,30,10,7,3,502,1.055,0.811,0.797,1.32
EURUSD,5m,100,1,7,3,258,1.04,0.831,0.408,8.1
USDJPY,4h,30,10,7,4,774,1.028,0.911,1.218,0.42
GBPUSD,4h,30,1,7,5,69,1.027,0.918,0.109,0.34
USDCAD,15m,30,1,7,2,60,1.024,0.858,0.096,1.03
USDCHF,4h,30,10,7,4,897,1.014,0.863,1.411,0.45
USDCAD,30m,30,10,7,4,593,1.013,0.848,0.943,0.42
XAUUSD,30m,100,10,7,4,2215,1.011,0.825,3.474,0.97
BTCUSDT,15m,100,1,7,3,223,1.002,0.795,0.354,0.25
GBPUSD,30m,100,1,7,3,219,1.0,0.845,0.346,0.04
GBPUSD,1h,30,10,7,3,700,0.997,0.881,1.106,-0.1
XAUUSD,3m,100,1,7,4,225,0.987,0.846,0.355,-2.26
EURUSD,1h,30,10,7,2,637,0.985,0.868,1.009,-0.47
XAUUSD,15m,100,1,7,3,199,0.982,0.868,0.314,-2.21
AUDUSD,15m,100,10,7,3,2424,0.975,0.815,3.806,-3.05
NZDUSD,1h,30,10,7,2,535,0.973,0.79,0.843,-0.5
XAUUSD,5m,100,10,7,2,2199,0.97,0.75,3.469,-3.63
EURUSD,30m,30,10,7,2,524,0.958,0.834,0.845,-1.07
USDJPY,5m,100,1,7,3,279,0.952,0.811,0.442,-11.13
XAUUSD,4h,30,10,7,3,523,0.948,0.793,0.821,-0.5
GBPUSD,15m,100,1,7,3,223,0.947,0.806,0.352,-8.42
USDCHF,5m,100,10,7,4,2075,0.938,0.703,3.281,-7.49
XAUUSD,15m,100,10,7,3,2395,0.938,0.802,3.771,-7.89
GBPUSD,30m,100,10,7,2,2266,0.937,0.791,3.564,-7.98
GBPUSD,1h,100,10,7,3,2247,0.933,0.792,3.534,-7.16
GBPUSD,4h,30,10,7,3,715,0.928,0.826,1.126,-1.21
GBPUSD,3m,30,1,7,3,68,0.921,0.732,0.108,-5.1
USDCAD,5m,100,1,7,3,228,0.917,0.735,0.362,-14.65
GBPUSD,1h,100,1,7,4,208,0.909,0.794,0.327,-8.79
USDJPY,30m,30,10,7,2,661,0.908,0.798,1.065,-3.3
XAUUSD,30m,100,1,7,2,204,0.907,0.74,0.32,-7.85
USDJPY,5m,100,10,7,3,3197,0.905,0.751,5.029,-21.74
BTCUSDT,15m,30,10,7,2,707,0.905,0.759,1.121,-3.55
EURUSD,4h,30,10,7,4,661,0.899,0.811,1.074,-1.82
AUDUSD,1h,100,10,7,1,2143,0.89,0.766,3.365,-7.98
NZDUSD,4h,30,1,7,3,78,0.89,0.783,0.124,-2.65
NZDUSD,15m,30,10,7,2,677,0.89,0.71,1.075,-4.37
USDJPY,15m,100,10,7,4,2148,0.887,0.752,3.386,-16.19
USDCAD,15m,100,1,7,2,195,0.881,0.664,0.31,-13.92
NZDUSD,30m,30,1,7,3,70,0.879,0.726,0.112,-2.65
NZDUSD,4h,30,10,7,3,685,0.871,0.745,1.08,-3.01
USDJPY,3m,30,1,7,3,74,0.869,0.759,0.117,-5.76
USDJPY,3m,100,10,7,3,2903,0.869,0.696,4.56,-33.63
AUDUSD,5m,100,1,7,3,213,0.864,0.711,0.338,-17.84
USDCHF,30m,30,1,7,2,61,0.858,0.752,0.099,-3.06
AUDUSD,15m,30,10,7,4,736,0.855,0.712,1.158,-5.34
USDJPY,3m,30,10,7,3,779,0.851,0.726,1.227,-7.82
EURUSD,1h,30,1,7,2,58,0.851,0.725,0.095,-5.88
USDCHF,30m,100,10,7,1,2377,0.844,0.703,3.745,-18.18
EURUSD,15m,100,10,7,1,2090,0.841,0.7,3.286,-18.02
XAUUSD,3m,100,10,7,2,2552,0.841,0.704,4.018,-33.11
USDJPY,3m,100,1,7,4,224,0.84,0.7,0.357,-28.58
USDCAD,1h,100,1,7,2,178,0.836,0.656,0.284,-19.32
USDCAD,15m,30,10,7,1,583,0.832,0.672,0.934,-6.64
NZDUSD,1h,30,1,7,2,57,0.829,0.686,0.092,-3.82
XAUUSD,4h,30,1,7,4,49,0.829,0.746,0.079,-1.84
GBPUSD,15m,100,10,7,2,2206,0.827,0.696,3.469,-25.69
AUDUSD,4h,30,1,7,2,61,0.823,0.731,0.096,-1.81
USDCHF,1h,30,10,7,1,580,0.822,0.702,0.926,-4.45
USDJPY,5m,30,10,7,4,755,0.819,0.656,1.189,-10.1
XAUUSD,5m,30,1,7,2,118,0.811,0.665,0.19,-11.06
AUDUSD,30m,100,10,7,2,2305,0.808,0.689,3.625,-18.52
EURUSD,3m,100,10,7,2,2318,0.804,0.654,3.66,-29.14
USDJPY,30m,100,10,7,2,1984,0.804,0.677,3.12,-17.11
USDCAD,30m,30,1,7,4,56,0.804,0.682,0.091,-5.88
USDCAD,3m,30,10,7,2,540,0.797,0.628,0.858,-8.05
EURUSD,1h,100,10,7,3,2093,0.795,0.647,3.288,-14.75
USDCAD,30m,100,1,7,2,188,0.794,0.628,0.297,-20.81
GBPUSD,5m,100,1,7,3,189,0.792,0.651,0.298,-33.74
AUDUSD,5m,30,10,7,3,595,0.79,0.657,0.961,-5.98
