symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,tpd,total_r
XAUUSD,4h,30,1,6,5,85,1.642,1.513,0.165,13.51
USDJPY,3m,30,1,7,4,64,1.627,1.459,0.104,28.86
GBPUSD,15m,100,1,7,1,231,1.536,1.263,0.365,76.57
NZDUSD,30m,30,1,7,5,62,1.492,1.289,0.107,8.99
AUDUSD,4h,30,1,6,3,55,1.435,1.299,0.102,4.41
USDCHF,4h,100,1,1,1,22,1.409,1.32,0.266,1.28
USDJPY,3m,30,10,7,4,735,1.272,1.084,1.159,16.58
NZDUSD,3m,30,1,7,3,55,1.247,1.012,0.09,13.6
XAUUSD,4h,30,10,7,5,884,1.236,1.131,1.399,4.34
GBPUSD,3m,100,1,7,5,235,1.229,1.059,0.373,37.2
USDJPY,30m,100,1,7,5,225,1.226,1.114,0.355,10.89
NZDUSD,4h,30,1,7,4,69,1.134,0.972,0.113,2.23
USDCAD,4h,100,1,1,1,17,1.07,0.989,0.21,0.52
NZDUSD,1h,100,1,7,3,203,1.07,0.962,0.319,5.63
GBPUSD,30m,100,1,7,1,224,1.067,0.826,0.353,2.9
USDCAD,4h,30,1,7,4,65,1.055,0.918,0.104,0.64
USDCHF,4h,100,10,1,1,216,1.05,0.904,2.517,0.38
GBPUSD,4h,30,10,7,3,619,1.035,0.936,0.99,0.36
AUDUSD,5m,30,10,7,1,816,1.034,0.839,1.284,2.19
USDJPY,30m,100,10,7,3,2295,1.034,0.923,3.619,1.87
NZDUSD,3m,30,10,7,3,748,1.034,0.843,1.208,2.45
XAUUSD,15m,30,10,7,3,753,1.02,0.832,1.183,0.63
AUDUSD,30m,100,10,7,2,2152,1.015,0.866,3.376,1.4
BTCUSDT,1h,100,1,7,2,201,1.0,0.865,0.315,0.0
GBPUSD,1h,30,1,7,3,62,0.974,0.851,0.1,-0.42
AUDUSD,15m,100,1,7,3,205,0.972,0.847,0.322,-2.39
XAUUSD,30m,100,10,7,3,2213,0.964,0.837,3.479,-3.35
USDCAD,4h,30,10,7,3,688,0.959,0.807,1.096,-0.71
NZDUSD,30m,30,10,7,3,612,0.948,0.803,0.989,-1.32
USDCAD,3m,30,1,7,5,65,0.945,0.735,0.108,-2.57
XAUUSD,3m,100,10,7,3,2203,0.942,0.754,3.468,-10.71
