symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,tpd,total_r
EURUSD,4h,30,1,7,3,65,1.516,1.415,0.107,7.91
XAUUSD,5m,30,1,7,2,59,1.488,1.261,0.094,20.45
BTCUSDT,1h,100,1,7,3,177,1.481,1.226,0.28,41.4
GBPUSD,3m,30,1,7,3,79,1.459,1.206,0.125,21.75
EURUSD,5m,30,1,7,2,64,1.439,1.135,0.101,26.97
AUDUSD,1h,30,10,7,3,753,1.38,1.228,1.237,7.71
XAUUSD,3m,30,1,7,2,84,1.351,1.049,0.134,36.78
GBPUSD,3m,30,10,7,2,847,1.212,0.993,1.338,13.51
AUDUSD,1h,30,1,7,3,72,1.198,1.079,0.125,3.37
USDCAD,1h,30,1,7,5,44,1.172,1.032,0.071,4.25
USDCHF,15m,30,10,7,3,697,1.121,0.922,1.096,6.18
EURUSD,5m,100,1,7,4,227,1.116,0.875,0.358,24.98
XAUUSD,3m,30,10,7,2,836,1.114,0.875,1.317,10.55
NZDUSD,15m,30,1,7,3,63,1.113,0.877,0.104,6.07
USDJPY,1h,100,10,7,4,1865,1.1,0.983,2.943,6.25
BTCUSDT,15m,30,1,7,3,70,1.099,0.879,0.115,4.77
GBPUSD,1h,100,1,7,4,178,1.082,0.923,0.279,4.34
USDJPY,5m,100,10,7,3,2579,1.082,0.899,4.068,11.51
USDJPY,5m,100,1,7,3,267,1.081,0.937,0.422,9.44
USDCHF,3m,30,1,7,3,58,1.069,0.766,0.095,4.79
XAUUSD,5m,100,1,7,2,176,1.029,0.852,0.278,4.65
GBPUSD,5m,100,1,7,5,189,1.02,0.879,0.298,2.71
USDCHF,30m,30,1,7,3,64,1.01,0.846,0.103,0.45
AUDUSD,30m,100,1,7,4,215,1.007,0.872,0.342,0.79
EURUSD,1h,100,1,7,3,209,1.0,0.881,0.329,0.03
USDJPY,1h,100,1,7,5,184,0.998,0.881,0.29,-0.14
NZDUSD,15m,100,1,7,2,207,0.983,0.798,0.329,-1.6
