lever,paired,median_off,median_on,lift,improved,best_on,kept
rvol1.5 + NY,13204,0.691,0.769,0.078,0.6774,3.944,0.701
rvol>1.5,15399,0.7,0.776,0.076,0.7171,3.065,0.817
rvol>1.25,16339,0.704,0.777,0.073,0.7226,3.586,0.867
rvol>2.5,10808,0.681,0.754,0.0725,0.6705,2.914,0.574
rvol>1.0,16751,0.705,0.776,0.071,0.746,3.201,0.889
rvol>2.0,13585,0.693,0.761,0.068,0.6863,3.541,0.721
NY open 13-17,13702,0.694,0.755,0.061,0.6646,6.147,0.727
London 07-16,15804,0.708,0.754,0.046,0.6594,3.516,0.839
long only,17309,0.707,0.72,0.013,0.5527,6.579,0.919
NY 13-20,14953,0.698,0.704,0.006,0.5874,6.328,0.794
Asia only 00-07,17015,0.704,0.707,0.003,0.521,4.094,0.903
base,18840,0.711,0.711,0.0,0.0,2.96,1.0
no Asia 07-22,16639,0.708,0.702,-0.006,0.5364,3.3,0.883
short only,17203,0.707,0.684,-0.023,0.4417,2.07,0.913
