sym,listed,year,bars,r1,r4,r12,r24,r72,hl_bps
0GUSDT,2025-09-22,2025,206,6050.372066399541,4004.006868918144,3039.4962793360046,6459.645105895822,1353.749284487693,41860.0
1000CATUSDT,2024-12-17,2024,351,-269.48661095002603,-1412.2462902950717,-1669.7936210131336,-2594.2350332594233,-4490.874978679856,8093.415007656968
1000CHEEMSUSDT,2025-02-09,2025,469,28.571428571428914,-1304.7619047619041,-2914.2857142857138,-3447.6190476190473,-847.619047619047,11906.976744186046
1000SATSUSDT,2023-12-12,2023,468,-81.98248555990273,-605.5524501583753,109.93106018259758,-1075.0885038196388,4469.9087013229,18462.17105263158
1MBABYDOGEUSDT,2024-09-16,2024,350,-262.6873034470001,1970.7714127150512,1024.23382869828,1328.852438798791,3241.659986433989,10220.588235294117
2ZUSDT,2025-10-02,2025,707,1380.1332405289845,3939.7434622650885,1342.9452122899477,381.42587252659735,-107.58675549368601,245999.99999999997
A2ZUSDT,2025-07-30,2025,40,158.20953115955882,-243.10245031834876,-870.1524213775803,1165.3482539070037,,4634.1463414634145
AAOIBUSDT,2026-07-15,2026,395,-401.8428461735346,-460.7115433836695,-687.6546369763659,-1161.1637232318062,-1521.2012626908966,936.7965367965359
AAPLBUSDT,2026-07-29,2026,60,100.09420631182265,33.85539331135057,28.850682995760213,-116.87470560527657,,100.8070476246803
ACEUSDT,2023-12-18,2023,330,2116.4873702668106,1041.2618675260244,-118.00388607175027,838.0329526246788,2713.0625720739945,404449.7339680762
ACTUSDT,2024-11-11,2024,470,262.2377622377625,2387.612387612388,1236.2637362637386,2614.885114885115,9363.136863136864,231836.73469387757
ACXUSDT,2024-12-06,2024,611,-1419.0356525836346,-1064.0804146379778,-1306.7378671273766,-1942.8302183131773,-2607.9786398617875,22523.16838608149
AEROUSDT,2026-07-17,2026,344,110.47463175122729,-233.2242225859249,-450.08183306055713,-759.0016366612118,-853.1096563011464,965.2836579170198
AEURUSDT,2023-12-04,2023,594,-1676.6283524904202,-1715.708812260537,-1698.8505747126437,-1714.9425287356323,-1773.9463601532568,1999.9999999999995
AEVOUSDT,2024-03-13,2024,446,-519.8776758409784,-1070.3363914373087,-581.0397553516822,-917.4311926605494,-1253.8226299694188,25000.0
AIGENSYNUSDT,2026-05-14,2026,415,-617.7181798197406,-1464.058034732908,-872.7192789624094,-1497.032314794461,-1857.551110134097,11193.136472466083
AIUSDT,2024-01-04,2024,662,-496.7790862891053,-218.79549159249945,381.71532178627785,1010.5562286979497,3103.40919987099,850000.0
