mechanism,sym,h_bars,events,dead_dropped,edge_bps,baseline_bps,null_mean,null_p95,pctile,hurdle_bps,cost_measured,beats_hurdle
M-001 London 4pm fix,EURUSD,1,775,163,-0.352,0.047,0.031,0.825,21.0,0.274,True,False
M-001 London 4pm fix,EURUSD,4,775,163,-0.394,0.148,0.121,1.315,22.0,0.274,True,False
M-001 London 4pm fix,EURUSD,24,775,163,0.38,0.817,0.267,1.172,59.2,0.274,True,True
M-001 London 4pm fix,GBPUSD,1,745,156,-0.183,0.042,0.107,1.195,25.2,1.6,False,False
M-001 London 4pm fix,GBPUSD,4,745,156,-0.085,0.144,0.067,1.403,47.0,1.6,False,False
M-001 London 4pm fix,GBPUSD,24,745,156,-0.533,0.89,-0.223,1.254,37.0,1.6,False,False
M-001 London 4pm fix,XAUUSD,1,772,166,1.103,0.372,0.323,1.816,79.9,1.83,True,False
M-001 London 4pm fix,XAUUSD,4,772,166,1.204,1.594,1.563,6.274,47.4,1.83,True,False
M-001 London 4pm fix,XAUUSD,24,772,166,10.2,9.502,9.73,13.129,60.4,1.83,True,True
M-002 Month-end rebalance,EURUSD,1,85,19,-0.026,0.033,0.123,2.146,46.8,0.274,True,False
M-002 Month-end rebalance,EURUSD,4,85,19,-1.659,0.136,0.023,2.984,19.5,0.274,True,False
M-002 Month-end rebalance,EURUSD,24,85,19,-7.134,0.832,-0.143,6.44,3.0,0.274,True,False
M-002 Month-end rebalance,GBPUSD,1,79,19,-0.245,0.035,0.043,1.971,38.0,1.6,False,False
M-002 Month-end rebalance,GBPUSD,4,79,19,-0.251,0.137,0.041,3.551,45.8,1.6,False,False
M-002 Month-end rebalance,GBPUSD,24,79,19,-6.046,0.866,-0.284,7.008,11.2,1.6,False,False
M-002 Month-end rebalance,XAUUSD,1,84,20,4.651,0.381,0.679,5.924,91.1,1.83,True,True
M-002 Month-end rebalance,XAUUSD,4,84,20,2.268,1.578,1.447,10.878,57.9,1.83,True,True
M-002 Month-end rebalance,XAUUSD,24,84,20,10.494,9.522,8.613,30.192,58.5,1.83,True,True
M-003 Quarter-end,EURUSD,1,531,261,0.128,0.031,0.055,0.579,58.8,0.274,True,False
M-003 Quarter-end,EURUSD,4,531,261,0.335,0.124,-0.011,2.205,62.7,0.274,True,True
M-003 Quarter-end,EURUSD,24,531,261,-1.584,0.86,-0.176,10.196,39.8,0.274,True,False
M-003 Quarter-end,XAUUSD,1,469,323,0.618,0.393,0.278,2.719,62.0,1.83,True,False
M-003 Quarter-end,XAUUSD,4,469,323,1.99,1.572,1.042,9.999,56.2,1.83,True,True
M-003 Quarter-end,XAUUSD,24,469,323,24.417,9.209,8.188,52.629,75.5,1.83,True,True
M-004 Turn of month,EURUSD,1,2592,696,-0.107,0.051,0.046,0.264,16.2,0.274,True,False
M-004 Turn of month,EURUSD,4,2592,696,-0.236,0.177,0.064,0.986,29.0,0.274,True,False
M-004 Turn of month,EURUSD,24,2592,696,1.111,0.762,0.467,5.14,59.5,0.274,True,True
M-004 Turn of month,XAUUSD,1,2367,921,0.184,0.422,0.33,1.252,40.5,1.83,True,False
M-004 Turn of month,XAUUSD,4,2367,921,1.858,1.548,1.242,4.315,65.0,1.83,True,True
M-004 Turn of month,XAUUSD,24,2367,921,12.596,9.165,9.588,25.6,65.2,1.83,True,True
M-005 Monthly options expiry,XAUUSD,1,708,156,0.046,0.409,0.265,1.81,38.2,1.83,True,False
M-005 Monthly options expiry,XAUUSD,4,708,156,0.247,1.624,1.025,7.121,39.8,1.83,True,False
M-005 Monthly options expiry,XAUUSD,24,708,156,-0.844,9.863,9.833,42.739,26.0,1.83,True,False
M-005 Monthly options expiry,EURUSD,1,732,132,-0.117,0.038,0.066,0.741,30.0,0.274,True,False
M-005 Monthly options expiry,EURUSD,4,732,132,-0.362,0.146,0.145,2.336,36.5,0.274,True,False
M-005 Monthly options expiry,EURUSD,24,732,132,-2.104,0.9,0.334,10.703,34.5,0.274,True,False
M-006 Crypto funding settlement,BTCUSDT,1,3288,0,1.202,0.45,0.528,1.401,74.8,14.0,True,False
M-006 Crypto funding settlement,BTCUSDT,4,3288,0,2.675,2.093,2.174,3.213,73.8,14.0,True,False
M-006 Crypto funding settlement,BTCUSDT,24,3288,0,12.868,12.958,12.945,13.007,0.0,14.0,True,False
M-007 FX weekly open,EURUSD,1,1033,3359,0.762,-0.002,0.06,0.659,97.5,0.274,True,True
M-007 FX weekly open,EURUSD,4,1033,3359,1.926,0.043,0.129,1.788,96.5,0.274,True,True
M-007 FX weekly open,EURUSD,24,1033,3359,2.759,0.708,0.689,5.17,82.7,0.274,True,True
M-007 FX weekly open,XAUUSD,1,873,3519,0.516,0.393,0.27,2.062,55.8,1.83,True,False
M-007 FX weekly open,XAUUSD,4,873,3519,1.931,1.567,1.228,6.652,60.8,1.83,True,True
M-007 FX weekly open,XAUUSD,24,873,3519,13.583,9.362,13.244,34.509,57.4,1.83,True,True
M-007 FX weekly open,GBPUSD,1,977,3211,1.0,-0.011,0.063,0.61,99.5,1.6,False,False
M-007 FX weekly open,GBPUSD,4,977,3211,2.37,0.031,0.038,1.767,98.5,1.6,False,True
M-007 FX weekly open,GBPUSD,24,977,3211,7.74,0.515,-0.022,5.652,98.2,1.6,False,True
M-008 NY cash open,XAUUSD,1,772,166,-0.12,0.416,0.245,1.684,29.9,1.83,True,False
M-008 NY cash open,XAUUSD,4,772,166,-1.247,1.681,1.685,7.708,11.2,1.83,True,False
M-008 NY cash open,XAUUSD,24,772,166,8.931,9.547,9.762,13.739,36.3,1.83,True,True
M-008 NY cash open,EURUSD,1,775,163,0.753,0.007,0.049,1.028,92.2,0.274,True,True
M-008 NY cash open,EURUSD,4,775,163,-0.212,0.142,0.125,1.304,34.0,0.274,True,False
M-008 NY cash open,EURUSD,24,775,163,0.026,0.83,0.303,1.246,32.0,0.274,True,False
