BASE median PF, no filter: 0.679

                  filter  configs  median_pf_filtered  median_lift  share_improved  trades_kept  median_tpd  best_pf
 breakout-bar rvol > 2.0     5730               0.768        0.052           0.606        0.782       0.573    2.296
          ATR rank > 0.7     5415               0.745        0.050           0.753        0.356       0.331    1.610
          against 20-EMA     5535               0.753        0.039           0.769        0.935       0.638    1.829
opening-range rvol > 2.0     4779               0.723        0.038           0.639        0.289       0.238    1.762
 breakout-bar rvol > 1.5     5760               0.741        0.032           0.597        0.897       0.647    1.555
opening-range rvol > 1.5     5760               0.713        0.027           0.659        0.404       0.290    2.206
 breakout-bar rvol > 1.2     5760               0.729        0.022           0.609        0.952       0.667    1.286
opening-range rvol > 1.2     5760               0.710        0.020           0.681        0.537       0.414    1.822
          ATR rank > 0.5     5760               0.709        0.019           0.727        0.665       0.510    2.136
            with 200-EMA     5760               0.684        0.008           0.554        0.838       0.591    1.353
        with 5-day trend     5760               0.684        0.008           0.552        0.739       0.538    1.373
     entry window 4 bars     5760               0.682        0.002           0.544        0.820       0.594    1.313
     entry window 8 bars     5760               0.680        0.001           0.541        0.938       0.661    1.276
    entry window 16 bars     5760               0.679        0.000           0.328        0.996       0.683    1.263
        range > 0.5x ATR     5760               0.679        0.000           0.151        1.000       0.698    1.275
        range > 1.0x ATR     5760               0.679        0.000           0.359        0.986       0.658    1.355
       breakeven at 1.5R     5760               0.661       -0.002           0.126        1.000       0.698    1.214
        range < 1.0x ATR     1980               0.605       -0.006           0.467        0.262       0.199    1.696
        range < 1.5x ATR     3834               0.645       -0.008           0.448        0.427       0.303    1.892
       breakeven at 1.0R     5760               0.643       -0.015           0.077        1.000       0.698    1.188
             with 20-EMA     5610               0.590       -0.020           0.184        0.997       0.676    1.188
         against 200-EMA     5760               0.659       -0.025           0.340        0.708       0.518    1.173
     against 5-day trend     5760               0.651       -0.027           0.314        0.743       0.539    1.196
         retest, 16 bars     5760               0.649       -0.028           0.371        0.868       0.619    1.168
          retest, 4 bars     5760               0.648       -0.029           0.372        0.857       0.612    1.141
          retest, 8 bars     5760               0.649       -0.029           0.369        0.863       0.617    1.137
          ATR rank < 0.5     3930               0.577       -0.050           0.220        0.476       0.403    1.509
       breakeven at 0.5R     5760               0.582       -0.078           0.054        1.000       0.698    1.162
          ATR rank < 0.3     2955               0.484       -0.098           0.173        0.303       0.255    1.735
