filter,symbol,configs,median_pf_base,median_pf_filtered,median_lift,share_improved,trades_kept,best_pf,median_tpd
breakout-bar rvol > 2.0,ALL,5730,0.679,0.768,0.052,0.606,0.782,2.296,0.573
ATR rank > 0.7,ALL,5415,0.686,0.745,0.05,0.753,0.356,1.61,0.331
against 20-EMA,ALL,5535,0.68,0.753,0.039,0.769,0.935,1.829,0.638
opening-range rvol > 2.0,ALL,4779,0.692,0.723,0.038,0.639,0.289,1.762,0.238
breakout-bar rvol > 1.5,ALL,5760,0.678,0.741,0.032,0.597,0.897,1.555,0.647
opening-range rvol > 1.5,ALL,5760,0.678,0.713,0.027,0.659,0.404,2.206,0.29
breakout-bar rvol > 1.2,ALL,5760,0.678,0.729,0.022,0.609,0.952,1.286,0.667
opening-range rvol > 1.2,ALL,5760,0.678,0.71,0.02,0.681,0.537,1.822,0.414
ATR rank > 0.5,ALL,5760,0.678,0.709,0.019,0.727,0.665,2.136,0.51
with 200-EMA,ALL,5760,0.678,0.684,0.008,0.554,0.838,1.353,0.591
with 5-day trend,ALL,5760,0.678,0.684,0.008,0.552,0.739,1.373,0.538
entry window 4 bars,ALL,5760,0.678,0.682,0.002,0.544,0.82,1.313,0.594
entry window 8 bars,ALL,5760,0.678,0.68,0.001,0.541,0.938,1.276,0.661
entry window 16 bars,ALL,5760,0.678,0.679,0.0,0.328,0.996,1.263,0.683
range > 0.5x ATR,ALL,5760,0.678,0.679,0.0,0.151,1.0,1.275,0.698
range > 1.0x ATR,ALL,5760,0.678,0.679,0.0,0.359,0.986,1.355,0.658
breakeven at 1.5R,ALL,5760,0.678,0.661,-0.002,0.126,1.0,1.214,0.698
range < 1.0x ATR,ALL,1980,0.637,0.605,-0.006,0.467,0.262,1.696,0.199
range < 1.5x ATR,ALL,3834,0.671,0.645,-0.008,0.448,0.427,1.892,0.303
breakeven at 1.0R,ALL,5760,0.678,0.643,-0.015,0.077,1.0,1.188,0.698
with 20-EMA,ALL,5610,0.679,0.59,-0.02,0.184,0.997,1.188,0.676
against 200-EMA,ALL,5760,0.678,0.659,-0.025,0.34,0.708,1.173,0.518
against 5-day trend,ALL,5760,0.678,0.651,-0.027,0.314,0.743,1.196,0.539
"retest, 16 bars",ALL,5760,0.678,0.649,-0.028,0.371,0.868,1.168,0.619
"retest, 4 bars",ALL,5760,0.678,0.648,-0.029,0.372,0.857,1.141,0.612
"retest, 8 bars",ALL,5760,0.678,0.649,-0.029,0.369,0.863,1.137,0.617
ATR rank < 0.5,ALL,3930,0.628,0.577,-0.05,0.22,0.476,1.509,0.403
breakeven at 0.5R,ALL,5760,0.678,0.582,-0.078,0.054,1.0,1.162,0.698
ATR rank < 0.3,ALL,2955,0.587,0.484,-0.098,0.173,0.303,1.735,0.255
breakout-bar rvol > 2.0,BTCUSDT,1440,0.529,0.927,0.4235,0.6,0.72,2.296,0.701
breakout-bar rvol > 1.5,BTCUSDT,1440,0.529,0.768,0.2925,0.6,0.82,1.555,0.796
breakout-bar rvol > 1.2,BTCUSDT,1440,0.529,0.663,0.202,0.6,0.876,1.246,0.853
ATR rank > 0.7,BTCUSDT,1440,0.529,0.653,0.129,0.919,0.33,1.149,0.322
opening-range rvol > 2.0,BTCUSDT,1404,0.531,0.628,0.104,0.825,0.195,1.488,0.165
opening-range rvol > 1.5,BTCUSDT,1440,0.529,0.629,0.094,0.85,0.226,1.412,0.189
ATR rank > 0.5,BTCUSDT,1440,0.529,0.627,0.094,0.918,0.524,0.983,0.51
opening-range rvol > 1.2,BTCUSDT,1440,0.529,0.617,0.087,0.905,0.319,1.131,0.271
with 200-EMA,BTCUSDT,1440,0.529,0.56,0.028,0.74,0.842,1.016,0.8
against 20-EMA,BTCUSDT,1404,0.53,0.561,0.015,0.717,0.963,1.096,0.891
entry window 4 bars,BTCUSDT,1440,0.529,0.531,0.003,0.575,0.817,0.991,0.791
with 5-day trend,BTCUSDT,1440,0.529,0.533,0.003,0.523,0.756,0.967,0.741
entry window 8 bars,BTCUSDT,1440,0.529,0.532,0.002,0.629,0.932,1.009,0.912
entry window 16 bars,BTCUSDT,1440,0.529,0.53,0.0,0.367,0.995,1.005,0.951
range > 0.5x ATR,BTCUSDT,1440,0.529,0.53,0.0,0.205,1.0,1.011,0.96
range > 1.0x ATR,BTCUSDT,1440,0.529,0.538,0.0,0.458,0.954,1.114,0.889
breakeven at 1.5R,BTCUSDT,1440,0.529,0.513,-0.006,0.072,1.0,0.971,0.97
with 20-EMA,BTCUSDT,1416,0.531,0.469,-0.013,0.18,0.998,0.897,0.942
range < 1.5x ATR,BTCUSDT,1044,0.53,0.486,-0.023,0.314,0.492,1.016,0.472
breakeven at 1.0R,BTCUSDT,1440,0.529,0.496,-0.025,0.024,1.0,0.964,0.97
against 5-day trend,BTCUSDT,1440,0.529,0.508,-0.026,0.283,0.761,0.843,0.744
range < 1.0x ATR,BTCUSDT,720,0.522,0.463,-0.03,0.354,0.226,1.696,0.223
"retest, 4 bars",BTCUSDT,1440,0.529,0.496,-0.0405,0.294,0.863,0.918,0.838
"retest, 8 bars",BTCUSDT,1440,0.529,0.496,-0.042,0.299,0.869,0.924,0.843
"retest, 16 bars",BTCUSDT,1440,0.529,0.497,-0.042,0.297,0.873,0.917,0.845
against 200-EMA,BTCUSDT,1440,0.529,0.469,-0.049,0.126,0.737,0.845,0.7
