hour,minute,or_bars,hold_bars,entry_mode,stop_mode,stop_atr_mult,rr,fade,min_break_rvol,min_atr_rank,fast_trend_mode,symbol,window,pf,trades,win_rate,avg_r,trades_per_day,avg_hold_h,max_dd,sharpe,days_to_target
13,0,1,16,0,0,0.0,0.0,0,0.0,0.0,0,BTCUSDT,IS,0.586,731,0.2175,-0.491,1.0,1.54,-3.8103,-3.703,39.1
13,0,1,16,0,0,0.0,0.0,0,0.0,0.0,2,BTCUSDT,IS,0.794,441,0.2608,-0.214,0.603,1.39,-1.5397,-1.195,38.6
13,0,1,16,0,0,0.0,0.0,0,0.0,0.5,0,BTCUSDT,IS,0.711,313,0.2428,-0.304,0.428,1.59,-1.1985,-1.419,59.3
13,0,1,16,0,0,0.0,0.0,0,0.0,0.5,2,BTCUSDT,IS,0.991,200,0.295,-0.0084,0.274,1.49,-0.6747,-0.03,62.7
13,0,1,16,0,0,0.0,0.0,0,0.0,0.7,0,BTCUSDT,IS,0.742,170,0.2824,-0.2505,0.233,1.73,-0.4268,-0.87,101.3
13,0,1,16,0,0,0.0,0.0,0,0.0,0.7,2,BTCUSDT,IS,0.802,105,0.3238,-0.1716,0.144,1.66,-0.3873,-0.61,292.8
13,0,1,16,0,0,0.0,0.0,0,1.5,0.0,0,BTCUSDT,IS,1.038,593,0.3339,0.0339,0.811,1.55,-0.7085,0.228,22.6
13,0,1,16,0,0,0.0,0.0,0,1.5,0.0,2,BTCUSDT,IS,1.014,212,0.2972,0.0131,0.29,1.39,-0.3101,0.051,60.6
13,0,1,16,0,0,0.0,0.0,0,1.5,0.5,0,BTCUSDT,IS,1.081,292,0.3288,0.0714,0.399,1.6,-0.3292,0.312,37.9
13,0,1,16,0,0,0.0,0.0,0,1.5,0.5,2,BTCUSDT,IS,1.238,129,0.3411,0.2024,0.176,1.58,-0.2862,0.59,76.2
13,0,1,16,0,0,0.0,0.0,0,1.5,0.7,0,BTCUSDT,IS,1.08,161,0.354,0.0676,0.22,1.72,-0.1644,0.213,65.0
13,0,1,16,0,0,0.0,0.0,0,1.5,0.7,2,BTCUSDT,IS,1.155,77,0.3766,0.1177,0.105,1.7,-0.1957,0.329,199.5
13,0,1,16,0,0,0.0,0.0,0,2.0,0.0,0,BTCUSDT,IS,1.211,544,0.3713,0.1704,0.744,1.54,-0.5197,1.086,20.8
13,0,1,16,0,0,0.0,0.0,0,2.0,0.0,2,BTCUSDT,IS,1.152,149,0.3356,0.1345,0.204,1.39,-0.2861,0.448,77.4
13,0,1,16,0,0,0.0,0.0,0,2.0,0.5,0,BTCUSDT,IS,1.277,280,0.3643,0.2191,0.383,1.57,-0.3034,0.906,32.5
13,0,1,16,0,0,0.0,0.0,0,2.0,0.5,2,BTCUSDT,IS,1.336,97,0.3814,0.2647,0.133,1.55,-0.2456,0.693,99.6
13,0,1,16,0,0,0.0,0.0,0,2.0,0.7,0,BTCUSDT,IS,1.174,157,0.3631,0.1368,0.215,1.63,-0.1492,0.403,56.8
13,0,1,16,0,0,0.0,0.0,0,2.0,0.7,2,BTCUSDT,IS,1.37,59,0.4407,0.2502,0.081,1.7,-0.1809,0.608,205.0
13,0,1,16,0,0,0.0,1.0,0,0.0,0.0,0,BTCUSDT,IS,0.302,731,0.4514,-0.5488,1.0,0.5,-4.0149,-9.99,42212.7
13,0,1,16,0,0,0.0,1.0,0,0.0,0.0,2,BTCUSDT,IS,0.371,441,0.4875,-0.4143,0.603,0.41,-1.8346,-5.965,16387.4
13,0,1,16,0,0,0.0,1.0,0,0.0,0.5,0,BTCUSDT,IS,0.444,313,0.5016,-0.381,0.428,0.49,-1.1994,-4.491,10828.8
13,0,1,16,0,0,0.0,1.0,0,0.0,0.5,2,BTCUSDT,IS,0.608,200,0.57,-0.2122,0.274,0.41,-0.4412,-2.175,4707.0
13,0,1,16,0,0,0.0,1.0,0,0.0,0.7,0,BTCUSDT,IS,0.582,170,0.5471,-0.2512,0.233,0.52,-0.4301,-2.255,5607.8
13,0,1,16,0,0,0.0,1.0,0,0.0,0.7,2,BTCUSDT,IS,0.742,105,0.6,-0.1278,0.144,0.46,-0.164,-0.975,3558.4
13,0,1,16,0,0,0.0,1.0,0,1.5,0.0,0,BTCUSDT,IS,0.686,593,0.597,-0.1665,0.811,0.31,-0.994,-2.914,840.4
13,0,1,16,0,0,0.0,1.0,0,1.5,0.0,2,BTCUSDT,IS,0.69,212,0.6132,-0.1595,0.29,0.21,-0.35,-1.682,2250.0
13,0,1,16,0,0,0.0,1.0,0,1.5,0.5,0,BTCUSDT,IS,0.785,292,0.6096,-0.109,0.399,0.35,-0.343,-1.346,917.3
13,0,1,16,0,0,0.0,1.0,0,1.5,0.5,2,BTCUSDT,IS,0.877,129,0.6357,-0.0572,0.176,0.29,-0.1281,-0.483,1347.3
13,0,1,16,0,0,0.0,1.0,0,1.5,0.7,0,BTCUSDT,IS,0.829,161,0.6149,-0.0861,0.22,0.43,-0.1468,-0.783,1260.3
13,0,1,16,0,0,0.0,1.0,0,1.5,0.7,2,BTCUSDT,IS,0.855,77,0.6104,-0.0692,0.105,0.41,-0.0773,-0.45,2490.7
13,0,1,16,0,0,0.0,1.0,0,2.0,0.0,0,BTCUSDT,IS,0.76,544,0.6085,-0.1199,0.744,0.33,-0.7413,-2.045,590.9
13,0,1,16,0,0,0.0,1.0,0,2.0,0.0,2,BTCUSDT,IS,0.738,149,0.6174,-0.1312,0.204,0.15,-0.2468,-1.176,2431.4
13,0,1,16,0,0,0.0,1.0,0,2.0,0.5,0,BTCUSDT,IS,0.819,280,0.6036,-0.0873,0.383,0.37,-0.3044,-1.082,840.5
13,0,1,16,0,0,0.0,1.0,0,2.0,0.5,2,BTCUSDT,IS,0.894,97,0.6289,-0.0482,0.133,0.21,-0.1246,-0.36,1714.3
13,0,1,16,0,0,0.0,1.0,0,2.0,0.7,0,BTCUSDT,IS,0.857,157,0.6178,-0.068,0.215,0.4,-0.1257,-0.628,1186.4
13,0,1,16,0,0,0.0,1.0,0,2.0,0.7,2,BTCUSDT,IS,0.968,59,0.6271,-0.0137,0.081,0.31,-0.0849,-0.082,2053.8
13,0,1,16,0,0,0.0,2.0,0,0.0,0.0,0,BTCUSDT,IS,0.5,731,0.3584,-0.4876,1.0,0.83,-3.5966,-6.509,723.2
13,0,1,16,0,0,0.0,2.0,0,0.0,0.0,2,BTCUSDT,IS,0.608,441,0.3946,-0.3302,0.603,0.72,-1.4973,-3.475,532.4
13,0,1,16,0,0,0.0,2.0,0,0.0,0.5,0,BTCUSDT,IS,0.636,313,0.377,-0.3149,0.428,0.82,-1.0439,-2.742,617.6
13,0,1,16,0,0,0.0,2.0,0,0.0,0.5,2,BTCUSDT,IS,0.869,200,0.44,-0.0955,0.274,0.73,-0.4295,-0.671,343.6
13,0,1,16,0,0,0.0,2.0,0,0.0,0.7,0,BTCUSDT,IS,0.76,170,0.4118,-0.1921,0.233,0.92,-0.3618,-1.234,590.1
13,0,1,16,0,0,0.0,2.0,0,0.0,0.7,2,BTCUSDT,IS,0.972,105,0.4571,-0.0195,0.144,0.84,-0.2573,-0.1,472.2
13,0,1,16,0,0,0.0,2.0,0,1.5,0.0,0,BTCUSDT,IS,0.942,593,0.4654,-0.0412,0.811,0.71,-0.5714,-0.497,89.5
13,0,1,16,0,0,0.0,2.0,0,1.5,0.0,2,BTCUSDT,IS,0.992,212,0.4717,-0.0054,0.29,0.52,-0.2495,-0.039,213.3
