quarter,train_pf,train_trades,test_trades,test_pf,test_win_rate,test_avg_r,test_expectancy_r,test_trades_per_day,test_trades_per_week,test_avg_hold_h,test_max_dd,test_max_dd_r,test_sharpe,test_total_r,test_days_to_target,test_days_to_breach,test_p_target_first,test_long_share,test_pct_stop,test_pct_target,test_pct_time
2019-01-01,3.236,50,9,6.681,0.5556,3.2214,3.2214,0.1,0.7,4.14,-0.0345,-3.45,3.74,28.99,15.8,74.2,0.824,0.333,0.333,0.0,0.667
2019-04-01,5.465,40,8,2.484,0.625,0.6301,0.6301,0.088,0.62,2.22,-0.0222,-2.22,2.688,5.04,86.2,2905.6,0.9712,0.375,0.375,0.0,0.625
2019-07-01,4.828,40,11,3.849,0.4545,2.0961,2.0961,0.12,0.84,1.8,-0.0302,-3.02,3.141,23.06,21.2,93.2,0.8149,0.545,0.545,0.0,0.455
2019-10-01,3.53,40,10,0.778,0.3,-0.1528,-0.1528,0.109,0.76,1.62,-0.0362,-3.62,-0.682,-1.53,369.3,168.2,0.313,0.4,0.5,0.0,0.5
2020-01-01,3.225,43,15,1.157,0.4,0.1254,0.1254,0.165,1.15,1.22,-0.0681,-6.81,0.382,1.88,58.2,73.1,0.5568,0.6,0.6,0.0,0.4
2020-04-01,2.742,41,3,0.0,0.0,-0.8471,-0.8471,0.033,0.23,2.75,-0.0254,-2.54,-7.174,-2.54,3226973563.1,63.0,0.0,0.667,0.667,0.0,0.333
2020-07-01,3.5,50,8,0.435,0.375,-0.3622,-0.3622,0.087,0.61,1.91,-0.0513,-5.13,-2.493,-2.9,33352.8,156.7,0.0047,0.25,0.5,0.0,0.5
2020-10-01,2.708,56,38,0.787,0.3947,-0.0633,-0.0633,0.413,2.89,2.47,-0.0374,-3.74,-1.181,-2.41,1765.6,231.2,0.1158,0.711,0.132,0.0,0.868
2021-01-01,2.287,41,6,0.622,0.5,-0.1449,-0.1449,0.067,0.47,1.46,-0.0122,-1.22,-1.079,-0.87,12261.0,486.0,0.0381,0.0,0.333,0.0,0.667
2021-04-01,2.498,71,22,1.006,0.5,0.0014,0.0014,0.242,1.69,2.1,-0.039,-3.9,0.019,0.03,763.4,794.1,0.5098,0.455,0.136,0.091,0.773
2021-07-01,2.472,44,9,0.756,0.5556,-0.0934,-0.0934,0.098,0.68,3.17,-0.024,-2.4,-0.803,-0.84,7052.0,624.5,0.0814,0.667,0.222,0.0,0.778
2021-10-01,2.651,43,4,0.113,0.25,-0.3774,-0.3774,0.043,0.3,1.0,-0.0161,-1.61,-4.552,-1.51,451922006.8,132.5,0.0,0.25,0.25,0.0,0.75
2022-01-01,2.618,155,50,1.594,0.58,0.3248,0.3248,0.556,3.89,0.45,-0.0584,-5.84,3.294,16.24,37.9,443.3,0.9213,0.46,0.42,0.5,0.08
2022-04-01,2.555,43,10,1.001,0.3,0.0006,0.0006,0.11,0.77,1.88,-0.0305,-3.05,0.003,0.01,394.4,396.1,0.5011,0.4,0.5,0.0,0.5
2022-07-01,2.817,48,10,0.69,0.5,-0.0898,-0.0898,0.109,0.76,1.77,-0.0188,-1.88,-0.951,-0.9,37406.7,767.7,0.0201,0.4,0.1,0.0,0.9
2022-10-01,2.455,54,8,0.653,0.125,-0.4596,-0.4596,0.087,0.61,1.06,-0.1059,-10.59,-0.992,-3.68,245.6,99.6,0.2885,0.75,0.875,0.0,0.125
2023-01-01,2.655,50,16,0.554,0.3125,-0.3149,-0.3149,0.178,1.24,1.06,-0.0893,-8.93,-2.307,-5.04,3494.3,113.7,0.0315,0.312,0.5,0.188,0.312
2023-04-01,2.638,66,16,0.805,0.1875,-0.2211,-0.2211,0.176,1.23,6.72,-0.0711,-7.11,-0.796,-3.54,158.3,84.4,0.3478,0.5,0.812,0.0,0.188
2023-07-01,3.009,47,11,0.783,0.3636,-0.124,-0.124,0.12,0.84,3.32,-0.0413,-4.13,-0.707,-1.36,1405.1,364.8,0.2061,0.273,0.364,0.0,0.636
2023-10-01,2.316,80,32,2.433,0.5625,0.6584,0.6584,0.348,2.44,5.41,-0.0478,-4.78,3.384,21.07,27.6,204.2,0.881,0.5,0.375,0.0,0.625
2024-01-01,2.02,93,30,0.179,0.1,-0.7928,-0.7928,0.33,2.31,2.25,-0.2499,-24.99,-8.471,-23.78,1223589.1,27.2,0.0,0.4,0.833,0.0,0.167
2024-04-01,1.883,53,9,0.202,0.4444,-0.2803,-0.2803,0.099,0.69,3.36,-0.0313,-3.13,-3.226,-2.52,223692444.2,241.0,0.0,0.333,0.222,0.0,0.778
2024-07-01,1.859,113,27,1.944,0.5556,0.1147,0.1147,0.294,2.05,2.29,-0.0143,-1.43,2.46,3.1,201.3,160272.0,0.9987,0.593,0.0,0.0,1.0
2024-10-01,1.921,120,38,1.175,0.5789,0.0326,0.0326,0.413,2.89,2.47,-0.0482,-4.82,0.81,1.24,464.4,3254.8,0.8751,0.605,0.079,0.0,0.921
2025-01-01,1.862,40,8,1.622,0.625,0.1881,0.1881,0.089,0.62,0.28,-0.0163,-1.63,1.349,1.5,408.1,25505.6,0.9843,0.5,0.25,0.625,0.125
2025-04-01,2.956,61,8,0.025,0.125,-0.8884,-0.8884,0.088,0.62,2.0,-0.0711,-7.11,-5.835,-7.11,238489192.4,79.9,0.0,0.75,0.75,0.0,0.25
2025-07-01,2.587,52,9,1.176,0.2222,0.1491,0.1491,0.098,0.68,3.28,-0.0394,-3.94,0.434,1.34,127.6,190.3,0.5985,0.556,0.667,0.0,0.333
2025-10-01,2.133,44,14,1.875,0.4286,0.5774,0.5774,0.152,1.07,3.09,-0.0811,-8.11,1.99,8.08,45.2,171.1,0.7912,0.5,0.5,0.0,0.5
2026-01-01,2.915,44,7,0.019,0.1429,-0.7632,-0.7632,0.078,0.54,1.96,-0.0534,-5.34,-6.261,-5.34,724209279.0,74.9,0.0,0.286,0.571,0.0,0.429
2026-04-01,2.65,52,12,0.788,0.4167,-0.1341,-0.1341,0.132,0.92,1.81,-0.0372,-3.72,-0.776,-1.61,1280.0,317.6,0.1988,0.417,0.5,0.0,0.5
2026-07-01,2.847,44,12,0.827,0.25,-0.1441,-0.1441,0.196,1.37,1.81,-0.0853,-8.53,-0.717,-1.73,243.7,122.2,0.334,0.417,0.667,0.0,0.333
