hour,or_bars,hold_bars,entry_mode,stop_mode,stop_atr_mult,rr,fade,symbol,pf,trades,win_rate,avg_r,trades_per_day,max_dd,days_to_target
0,1,8,0,0,0.0,0.0,0,EURUSD,0.482,777,0.3166,-0.4307,0.71,-3.3467,894.7
0,1,8,0,0,0.0,1.0,0,EURUSD,0.416,777,0.4788,-0.3824,0.71,-2.9716,16920.5
0,1,8,0,0,0.0,1.5,0,EURUSD,0.473,777,0.3912,-0.3975,0.71,-3.0896,3876.3
0,1,8,0,0,0.0,2.0,0,EURUSD,0.496,777,0.3514,-0.4005,0.71,-3.1127,1833.9
0,1,8,0,0,0.0,3.0,0,EURUSD,0.524,777,0.3243,-0.3916,0.71,-3.0433,789.0
0,1,8,0,1,0.0,0.0,0,EURUSD,0.301,762,0.2126,-0.7614,0.696,-5.8025,4177.4
0,1,8,0,1,0.0,1.0,0,EURUSD,0.203,762,0.3688,-0.7073,0.696,-5.3972,585305.5
0,1,8,0,1,0.0,1.5,0,EURUSD,0.289,762,0.311,-0.6858,0.696,-5.2433,43189.5
0,1,8,0,1,0.0,2.0,0,EURUSD,0.333,762,0.2743,-0.6796,0.696,-5.179,10207.1
0,1,8,0,1,0.0,3.0,0,EURUSD,0.328,762,0.227,-0.7207,0.696,-5.4927,5130.3
0,1,8,0,2,1.0,0.0,0,EURUSD,0.392,708,0.2373,-0.6212,0.647,-4.3991,1372.6
0,1,8,0,2,1.0,0.0,1,EURUSD,0.578,708,0.3037,-0.3891,0.647,-2.7725,245.8
0,1,8,0,2,1.0,1.0,0,EURUSD,0.29,708,0.4153,-0.584,0.647,-4.1345,93431.6
0,1,8,0,2,1.0,1.0,1,EURUSD,0.492,708,0.5523,-0.3176,0.647,-2.2685,5843.0
0,1,8,0,2,1.0,1.5,0,EURUSD,0.363,708,0.3206,-0.5966,0.647,-4.2238,12542.4
0,1,8,0,2,1.0,1.5,1,EURUSD,0.519,708,0.4138,-0.384,0.647,-2.7385,1967.6
0,1,8,0,2,1.0,2.0,0,EURUSD,0.38,708,0.2754,-0.6113,0.647,-4.3283,5679.5
0,1,8,0,2,1.0,2.0,1,EURUSD,0.554,708,0.3531,-0.3863,0.647,-2.7645,851.4
0,1,8,0,2,1.0,3.0,0,EURUSD,0.405,708,0.25,-0.5982,0.647,-4.235,2111.2
0,1,8,0,2,1.0,3.0,1,EURUSD,0.578,708,0.3192,-0.381,0.647,-2.7829,419.0
0,1,8,0,2,2.0,0.0,0,EURUSD,0.514,776,0.3698,-0.2781,0.709,-2.1739,2938.6
0,1,8,0,2,2.0,0.0,1,EURUSD,0.608,776,0.3982,-0.2144,0.709,-1.6724,1158.2
0,1,8,0,2,2.0,1.0,0,EURUSD,0.497,776,0.4278,-0.2663,0.709,-2.0729,13327.1
