dir_mode,entry_mode,stop_mode,stop_atr_mult,rr,buffer_bps,one_trade,min_or_atr,max_or_atr,trend_mode,fade,min_rvol,use_datr,min_risk_bps,hour,or_bars,hold_bars,trades,pf,win_rate,avg_r,expectancy_r,trades_per_day,trades_per_week,avg_hold_h,max_dd,max_dd_r,sharpe,total_r,days_to_target,days_to_breach,p_target_first,long_share,pct_stop,pct_target,pct_time,label,cost_mult
0,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2156,1.184,0.41,0.0878,0.0878,0.984,6.89,1.23,-0.7346,-73.46,0.96,189.4,34.5,55.1,0.6147,0.503,0.423,0.0,0.577,IS_cost0x,0.0
0,0,0,0.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2156,1.053,0.5065,0.0217,0.0217,0.984,6.89,0.77,-0.8236,-82.36,0.462,46.77,132.9,205.8,0.6077,0.503,0.364,0.395,0.242,IS_cost0x,0.0
0,0,0,0.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2156,1.068,0.4522,0.0301,0.0301,0.984,6.89,0.96,-0.8972,-89.72,0.556,64.86,99.4,157.1,0.6126,0.503,0.392,0.257,0.351,IS_cost0x,0.0
0,0,0,0.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2156,1.076,0.4314,0.0348,0.0348,0.984,6.89,1.05,-0.9137,-91.37,0.59,75.1,84.0,131.2,0.6097,0.503,0.407,0.174,0.419,IS_cost0x,0.0
0,0,0,0.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2156,1.092,0.4179,0.0432,0.0432,0.984,6.89,1.14,-1.0129,-101.29,0.664,93.09,68.8,108.4,0.6118,0.503,0.416,0.083,0.5,IS_cost0x,0.0
0,0,1,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2147,0.738,0.2296,-0.1921,-0.1921,0.98,6.86,0.61,-4.7875,-478.75,-1.685,-412.47,39.8,20.6,0.3404,0.505,0.714,0.0,0.286,IS_cost0x,0.0
0,0,1,0.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2147,0.583,0.3731,-0.2539,-0.2539,0.98,6.86,0.22,-5.5318,-553.18,-5.083,-545.18,3016.6,31.8,0.0104,0.505,0.599,0.347,0.054,IS_cost0x,0.0
0,0,1,0.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2147,0.635,0.3153,-0.2394,-0.2394,0.98,6.86,0.31,-5.2299,-522.99,-4.134,-514.0,797.3,32.7,0.0394,0.505,0.643,0.263,0.095,IS_cost0x,0.0
0,0,1,0.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2147,0.652,0.2832,-0.2382,-0.2382,0.98,6.86,0.39,-5.2194,-521.94,-3.726,-511.37,430.4,31.7,0.0687,0.505,0.67,0.2,0.13,IS_cost0x,0.0
0,0,1,0.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2147,0.658,0.2492,-0.2442,-0.2442,0.98,6.86,0.49,-5.3041,-530.41,-3.366,-524.28,233.1,29.2,0.1115,0.505,0.698,0.122,0.18,IS_cost0x,0.0
0,0,2,1.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2138,1.075,0.3775,0.0407,0.0407,0.976,6.83,1.12,-1.5856,-158.56,0.433,86.99,37.6,46.3,0.5515,0.501,0.507,0.0,0.493,IS_cost0x,0.0
0,0,2,1.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,2138,1.018,0.3985,0.0096,0.0096,0.976,6.83,1.11,-0.948,-94.8,0.128,20.57,62.7,67.7,0.5191,0.499,0.508,0.0,0.492,IS_cost0x,0.0
0,0,2,1.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2138,0.934,0.4827,-0.0307,-0.0307,0.976,6.83,0.64,-1.3875,-138.75,-0.618,-65.67,199.6,114.2,0.3639,0.501,0.443,0.416,0.14,IS_cost0x,0.0
0,0,2,1.0,1.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,2138,1.004,0.5028,0.0017,0.0017,0.976,6.83,0.64,-0.91,-91.0,0.034,3.67,146.6,151.2,0.5078,0.499,0.431,0.429,0.14,IS_cost0x,0.0
0,0,2,1.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2138,0.962,0.4233,-0.0194,-0.0194,0.976,6.83,0.83,-1.4875,-148.75,-0.338,-41.45,128.5,98.5,0.4341,0.501,0.478,0.278,0.244,IS_cost0x,0.0
0,0,2,1.0,1.5,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,2138,0.946,0.428,-0.0278,-0.0278,0.976,6.83,0.85,-1.2316,-123.16,-0.487,-59.49,137.2,93.6,0.4056,0.499,0.487,0.27,0.243,IS_cost0x,0.0
0,0,2,1.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2138,0.984,0.3999,-0.0082,-0.0082,0.976,6.83,0.93,-1.5108,-151.08,-0.131,-17.55,98.4,89.6,0.4765,0.501,0.49,0.196,0.314,IS_cost0x,0.0
0,0,2,1.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,2138,0.962,0.4093,-0.0202,-0.0202,0.976,6.83,0.96,-0.975,-97.5,-0.325,-43.14,108.0,85.3,0.4414,0.499,0.5,0.179,0.321,IS_cost0x,0.0
0,0,2,1.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2138,0.989,0.3821,-0.0059,-0.0059,0.976,6.83,1.03,-1.6852,-168.52,-0.086,-12.67,79.4,75.1,0.4861,0.501,0.503,0.099,0.398,IS_cost0x,0.0
0,0,2,1.0,3.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,2138,0.991,0.3994,-0.005,-0.005,0.976,6.83,1.05,-0.9199,-91.99,-0.074,-10.76,82.0,78.0,0.4877,0.499,0.507,0.082,0.411,IS_cost0x,0.0
0,0,2,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,2156,1.112,0.4699,0.0353,0.0353,0.984,6.89,1.52,-0.5309,-53.09,0.662,76.11,97.9,170.4,0.635,0.5,0.219,0.0,0.781,IS_cost0x,0.0
0,0,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,2156,1.004,0.493,0.0014,0.0014,0.984,6.89,1.48,-0.6308,-63.08,0.031,2.97,184.8,190.7,0.5079,0.5,0.236,0.0,0.764,IS_cost0x,0.0
