dir_mode,entry_mode,stop_mode,stop_atr_mult,rr,buffer_bps,one_trade,min_or_atr,max_or_atr,trend_mode,fade,min_rvol,use_datr,min_risk_bps,hour,or_bars,hold_bars,trades,pf,win_rate,avg_r,expectancy_r,trades_per_day,trades_per_week,avg_hold_h,max_dd,max_dd_r,sharpe,total_r,days_to_target,days_to_breach,p_target_first,long_share,pct_stop,pct_target,pct_time,label,cost_mult
0,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,968,0.872,0.3202,-0.0793,-0.0793,0.995,6.96,1.0,-1.0862,-108.62,-0.787,-76.73,41.8,29.6,0.4146,0.477,0.59,0.0,0.41,OOS_cost0x,0.0
0,0,0,0.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,968,0.889,0.4731,-0.0547,-0.0547,0.995,6.96,0.53,-0.6862,-68.62,-1.094,-52.96,238.8,91.0,0.276,0.477,0.475,0.417,0.107,OOS_cost0x,0.0
0,0,0,0.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,968,0.88,0.4019,-0.066,-0.066,0.995,6.96,0.71,-0.9116,-91.16,-1.14,-63.92,168.5,70.7,0.2956,0.477,0.528,0.281,0.191,OOS_cost0x,0.0
0,0,0,0.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,968,0.847,0.3657,-0.0888,-0.0888,0.995,6.96,0.82,-0.9648,-96.48,-1.417,-85.96,155.1,57.2,0.2695,0.477,0.555,0.187,0.258,OOS_cost0x,0.0
0,0,0,0.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,968,0.816,0.3347,-0.1123,-0.1123,0.995,6.96,0.91,-1.1483,-114.83,-1.627,-108.72,130.9,46.3,0.2614,0.477,0.58,0.099,0.321,OOS_cost0x,0.0
0,0,1,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,958,0.577,0.1848,-0.3337,-0.3337,0.984,6.89,0.5,-3.202,-320.2,-3.354,-319.69,85.1,18.9,0.1821,0.474,0.776,0.0,0.224,OOS_cost0x,0.0
0,0,1,0.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,958,0.522,0.3455,-0.3058,-0.3058,0.984,6.89,0.18,-2.978,-297.8,-6.198,-292.92,7156.7,26.5,0.0037,0.474,0.633,0.325,0.043,OOS_cost0x,0.0
0,0,1,0.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,958,0.589,0.2954,-0.2815,-0.2815,0.984,6.89,0.25,-2.7424,-274.24,-4.882,-269.69,1228.0,28.2,0.0225,0.474,0.676,0.256,0.068,OOS_cost0x,0.0
0,0,1,0.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,958,0.571,0.2495,-0.3127,-0.3127,0.984,6.89,0.32,-3.006,-300.6,-4.977,-299.6,861.8,25.2,0.0285,0.474,0.719,0.187,0.094,OOS_cost0x,0.0
0,0,1,0.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,958,0.579,0.214,-0.3202,-0.3202,0.984,6.89,0.4,-3.0817,-308.17,-4.486,-306.78,392.6,23.9,0.0573,0.474,0.749,0.115,0.136,OOS_cost0x,0.0
0,0,2,1.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,948,0.819,0.3238,-0.113,-0.113,0.974,6.82,1.02,-1.0739,-107.39,-1.288,-107.09,68.2,35.2,0.3405,0.467,0.594,0.0,0.406,OOS_cost0x,0.0
0,0,2,1.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,948,0.967,0.3513,-0.0199,-0.0199,0.974,6.82,1.08,-0.7334,-73.34,-0.243,-18.83,59.3,51.9,0.4666,0.533,0.569,0.0,0.431,OOS_cost0x,0.0
0,0,2,1.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,948,0.868,0.4652,-0.0667,-0.0667,0.974,6.82,0.56,-0.7631,-76.31,-1.304,-63.21,265.3,84.2,0.2409,0.467,0.491,0.427,0.082,OOS_cost0x,0.0
0,0,2,1.0,1.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,948,1.106,0.5243,0.0477,0.0477,0.974,6.82,0.56,-0.1943,-19.43,0.931,45.21,96.4,218.7,0.6941,0.533,0.437,0.481,0.082,OOS_cost0x,0.0
0,0,2,1.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,948,0.778,0.3787,-0.1292,-0.1292,0.974,6.82,0.75,-1.2803,-128.03,-2.235,-122.45,299.5,52.5,0.1491,0.467,0.559,0.255,0.186,OOS_cost0x,0.0
0,0,2,1.0,1.5,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,948,0.992,0.4209,-0.0042,-0.0042,0.974,6.82,0.77,-0.3858,-38.58,-0.069,-3.97,104.6,99.3,0.487,0.533,0.518,0.32,0.162,OOS_cost0x,0.0
0,0,2,1.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,948,0.773,0.3534,-0.1359,-0.1359,0.974,6.82,0.85,-1.3339,-133.39,-2.19,-128.84,236.0,48.1,0.1694,0.467,0.573,0.173,0.254,OOS_cost0x,0.0
0,0,2,1.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,948,0.964,0.3797,-0.0208,-0.0208,0.974,6.82,0.89,-0.3622,-36.22,-0.314,-19.69,94.3,76.2,0.4468,0.533,0.551,0.22,0.229,OOS_cost0x,0.0
0,0,2,1.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,948,0.765,0.3344,-0.1444,-0.1444,0.974,6.82,0.94,-1.4255,-142.55,-2.131,-136.89,177.8,43.1,0.1952,0.467,0.585,0.091,0.324,OOS_cost0x,0.0
0,0,2,1.0,3.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,948,0.946,0.3586,-0.0317,-0.0317,0.974,6.82,1.0,-0.5696,-56.96,-0.44,-30.03,82.4,62.5,0.4315,0.533,0.563,0.098,0.339,OOS_cost0x,0.0
0,0,2,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,970,0.949,0.4608,-0.0189,-0.0189,0.997,6.98,1.48,-0.3012,-30.12,-0.355,-18.37,144.6,107.9,0.4272,0.476,0.292,0.0,0.708,OOS_cost0x,0.0
0,0,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,970,1.12,0.4742,0.0393,0.0393,0.997,6.98,1.5,-0.3475,-34.75,0.821,38.16,108.1,229.9,0.6801,0.524,0.239,0.0,0.761,OOS_cost0x,0.0
0,0,2,2.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,970,0.89,0.4918,-0.039,-0.039,0.997,6.98,1.27,-0.4667,-46.67,-0.976,-37.83,398.2,135.8,0.2543,0.476,0.276,0.231,0.493,OOS_cost0x,0.0
0,0,2,2.0,1.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,970,1.124,0.5072,0.039,0.039,0.997,6.98,1.27,-0.1582,-15.82,0.976,37.83,135.8,398.2,0.7457,0.524,0.231,0.276,0.493,OOS_cost0x,0.0
0,0,2,2.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,970,0.885,0.4711,-0.0419,-0.0419,0.997,6.98,1.39,-0.5163,-51.63,-0.971,-40.66,324.0,120.4,0.271,0.476,0.285,0.12,0.596,OOS_cost0x,0.0
0,0,2,2.0,1.5,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,970,1.099,0.4804,0.0321,0.0321,0.997,6.98,1.41,-0.216,-21.6,0.744,31.14,133.1,284.5,0.6812,0.524,0.236,0.126,0.638,OOS_cost0x,0.0
0,0,2,2.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,970,0.923,0.467,-0.0283,-0.0283,0.997,6.98,1.43,-0.4163,-41.63,-0.615,-27.44,227.3,126.2,0.3571,0.476,0.287,0.072,0.641,OOS_cost0x,0.0
0,0,2,2.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,970,1.131,0.4763,0.0428,0.0428,0.997,6.98,1.45,-0.1992,-19.92,0.938,41.49,111.9,276.6,0.7121,0.524,0.237,0.072,0.691,OOS_cost0x,0.0
0,0,2,2.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,970,0.927,0.4629,-0.0271,-0.0271,0.997,6.98,1.46,-0.377,-37.7,-0.558,-26.3,194.7,117.5,0.3763,0.476,0.291,0.028,0.681,OOS_cost0x,0.0
0,0,2,2.0,3.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,970,1.114,0.4742,0.0375,0.0375,0.997,6.98,1.49,-0.3395,-33.95,0.796,36.36,112.4,236.5,0.6778,0.524,0.239,0.023,0.738,OOS_cost0x,0.0
0,1,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,954,0.743,0.3574,-0.1288,-0.1288,0.98,6.86,0.92,-1.248,-124.8,-2.008,-122.84,194.0,47.8,0.1977,0.468,0.421,0.0,0.579,OOS_cost0x,0.0
0,1,0,0.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,954,0.784,0.4371,-0.0952,-0.0952,0.98,6.86,0.68,-0.9519,-95.19,-2.12,-90.81,624.8,75.4,0.1077,0.468,0.368,0.301,0.331,OOS_cost0x,0.0
0,1,0,0.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,954,0.747,0.3889,-0.1207,-0.1207,0.98,6.86,0.8,-1.195,-119.5,-2.431,-115.19,536.7,60.1,0.1007,0.468,0.4,0.17,0.43,OOS_cost0x,0.0
0,1,0,0.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,954,0.725,0.37,-0.1355,-0.1355,0.98,6.86,0.85,-1.3308,-133.08,-2.585,-129.23,488.5,53.7,0.099,0.468,0.413,0.102,0.485,OOS_cost0x,0.0
0,1,0,0.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,954,0.719,0.3616,-0.1402,-0.1402,0.98,6.86,0.89,-1.3962,-139.62,-2.522,-133.77,385.4,50.6,0.1161,0.468,0.42,0.041,0.539,OOS_cost0x,0.0
0,1,1,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,944,0.714,0.2987,-0.1806,-0.1806,0.97,6.79,0.71,-1.7199,-171.99,-2.313,-170.5,128.9,33.7,0.2075,0.467,0.591,0.0,0.409,OOS_cost0x,0.0
0,1,1,0.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,944,0.795,0.4417,-0.1032,-0.1032,0.97,6.79,0.39,-1.0708,-107.08,-2.08,-97.39,452.8,68.0,0.1306,0.467,0.475,0.379,0.146,OOS_cost0x,0.0
0,1,1,0.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,944,0.79,0.3729,-0.1187,-0.1187,0.97,6.79,0.51,-1.1728,-117.28,-2.068,-112.02,285.5,55.9,0.1638,0.467,0.531,0.26,0.21,OOS_cost0x,0.0
0,1,1,0.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,944,0.765,0.3379,-0.1401,-0.1401,0.97,6.79,0.59,-1.4095,-140.95,-2.256,-132.21,246.1,47.6,0.1619,0.467,0.559,0.176,0.265,OOS_cost0x,0.0
0,1,1,0.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,944,0.759,0.3136,-0.1488,-0.1488,0.97,6.79,0.65,-1.4892,-148.92,-2.172,-140.51,177.1,42.2,0.1926,0.467,0.578,0.091,0.331,OOS_cost0x,0.0
0,1,2,1.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,933,0.819,0.3344,-0.1062,-0.1062,0.959,6.71,0.8,-1.1366,-113.66,-1.281,-99.07,80.9,39.9,0.3301,0.461,0.541,0.0,0.459,OOS_cost0x,0.0
0,1,2,1.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,933,1.328,0.4459,0.1602,0.1602,0.959,6.71,0.88,-0.2616,-26.16,1.957,149.46,34.7,103.5,0.7491,0.539,0.452,0.0,0.548,OOS_cost0x,0.0
0,1,2,1.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,933,0.798,0.4469,-0.1004,-0.1004,0.959,6.71,0.49,-0.9953,-99.53,-2.031,-93.63,462.8,70.5,0.1322,0.461,0.462,0.368,0.17,OOS_cost0x,0.0
0,1,2,1.0,1.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,933,1.188,0.5413,0.0768,0.0768,0.959,6.71,0.49,-0.1569,-15.69,1.55,71.63,82.8,346.9,0.8073,0.539,0.379,0.45,0.17,OOS_cost0x,0.0
0,1,2,1.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,933,0.779,0.3869,-0.1202,-0.1202,0.959,6.71,0.62,-1.1421,-114.21,-2.152,-112.19,335.3,57.5,0.1465,0.461,0.503,0.236,0.262,OOS_cost0x,0.0
0,1,2,1.0,1.5,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,933,1.238,0.4855,0.1079,0.1079,0.959,6.71,0.64,-0.2062,-20.62,1.845,100.67,59.1,250.4,0.809,0.539,0.419,0.309,0.272,OOS_cost0x,0.0
0,1,2,1.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,933,0.788,0.3633,-0.1198,-0.1198,0.959,6.71,0.68,-1.1675,-116.75,-1.972,-111.76,238.4,53.9,0.1845,0.461,0.522,0.163,0.315,OOS_cost0x,0.0
0,1,2,1.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,933,1.265,0.4641,0.1252,0.1252,0.959,6.71,0.74,-0.2402,-24.02,1.939,116.8,49.8,197.1,0.7982,0.539,0.438,0.209,0.353,OOS_cost0x,0.0
0,1,2,1.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,933,0.782,0.3419,-0.1265,-0.1265,0.959,6.71,0.74,-1.264,-126.4,-1.902,-118.02,178.2,48.2,0.2128,0.461,0.536,0.081,0.383,OOS_cost0x,0.0
0,1,2,1.0,3.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,933,1.31,0.4534,0.1495,0.1495,0.959,6.71,0.83,-0.2127,-21.27,2.085,139.47,41.1,155.4,0.7909,0.539,0.447,0.093,0.46,OOS_cost0x,0.0
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,955,0.773,0.4126,-0.0842,-0.0842,0.981,6.87,1.1,-0.851,-85.1,-1.744,-80.43,390.4,77.6,0.1659,0.466,0.258,0.0,0.742,OOS_cost0x,0.0
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,955,1.375,0.5361,0.104,0.104,0.981,6.87,1.13,-0.1226,-12.26,2.251,99.36,69.5,614.0,0.8983,0.534,0.196,0.0,0.804,OOS_cost0x,0.0
0,1,2,2.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,955,0.742,0.4398,-0.0914,-0.0914,0.981,6.87,0.97,-0.9241,-92.41,-2.413,-87.28,1452.2,84.1,0.0547,0.466,0.246,0.187,0.566,OOS_cost0x,0.0
0,1,2,2.0,1.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,955,1.348,0.5602,0.0914,0.0914,0.981,6.87,0.97,-0.1216,-12.16,2.413,87.28,84.1,1452.2,0.9453,0.534,0.187,0.246,0.566,OOS_cost0x,0.0
0,1,2,2.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,955,0.744,0.4199,-0.0937,-0.0937,0.981,6.87,1.04,-0.9597,-95.97,-2.295,-89.52,985.2,80.0,0.0751,0.466,0.253,0.097,0.649,OOS_cost0x,0.0
0,1,2,2.0,1.5,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,955,1.358,0.5435,0.0983,0.0983,0.981,6.87,1.07,-0.1113,-11.13,2.362,93.83,76.5,969.1,0.9268,0.534,0.195,0.112,0.693,OOS_cost0x,0.0
0,1,2,2.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,955,0.733,0.4147,-0.0984,-0.0984,0.981,6.87,1.07,-0.9992,-99.92,-2.332,-93.96,898.7,75.9,0.0779,0.466,0.257,0.049,0.694,OOS_cost0x,0.0
0,1,2,2.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,955,1.366,0.5382,0.1012,0.1012,0.981,6.87,1.1,-0.1192,-11.92,2.332,96.61,73.4,810.6,0.917,0.534,0.196,0.057,0.748,OOS_cost0x,0.0
0,1,2,2.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,8,955,0.762,0.4126,-0.0882,-0.0882,0.981,6.87,1.08,-0.8864,-88.64,-1.958,-84.19,554.5,79.3,0.1251,0.466,0.258,0.023,0.719,OOS_cost0x,0.0
0,1,2,2.0,3.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,8,955,1.364,0.5361,0.1008,0.1008,0.981,6.87,1.12,-0.1226,-12.26,2.242,96.27,72.2,671.1,0.9028,0.534,0.196,0.018,0.786,OOS_cost0x,0.0
0,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,972,0.867,0.2634,-0.0948,-0.0948,0.999,6.99,1.69,-1.0696,-106.96,-0.832,-92.1,32.0,23.2,0.4205,0.477,0.701,0.0,0.299,OOS_cost0x,0.0
0,0,0,0.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,972,0.867,0.465,-0.0696,-0.0696,0.999,6.99,0.66,-0.8171,-81.71,-1.35,-67.65,248.6,78.7,0.2405,0.477,0.516,0.45,0.034,OOS_cost0x,0.0
