dir_mode,entry_mode,stop_mode,stop_atr_mult,rr,buffer_bps,one_trade,min_or_atr,max_or_atr,trend_mode,fade,min_rvol,use_datr,min_risk_bps,hour,or_bars,hold_bars,trades,pf,win_rate,avg_r,expectancy_r,trades_per_day,trades_per_week,avg_hold_h,max_dd,max_dd_r,sharpe,total_r,days_to_target,days_to_breach,p_target_first,long_share,pct_stop,pct_target,pct_time,label,window,cost_mult
0,0,2,0.05,0.0,0.0,1,0.0,0.0,0,0,0.0,1,10.0,0,1,96,2175,0.968,0.0621,-0.0304,-0.0304,0.993,6.95,2.78,-4.1126,-411.26,-0.099,-66.15,3.8,3.8,0.4964,0.498,0.938,0.0,0.062,IS_cost0x,IS,0.0
0,0,2,0.05,0.0,0.0,1,0.0,0.0,1,0,0.0,1,10.0,0,1,96,2151,1.172,0.0651,0.1605,0.1605,0.982,6.87,2.64,-2.1534,-215.34,0.466,345.3,3.0,3.2,0.5151,0.513,0.935,0.0,0.065,IS_cost0x,IS,0.0
0,2,2,0.05,0.0,0.0,1,0.0,0.0,0,0,0.0,1,10.0,0,1,96,2172,1.277,0.0769,0.2558,0.2558,0.991,6.94,3.67,-1.5729,-157.29,0.76,555.56,3.0,3.3,0.525,0.508,0.923,0.0,0.077,IS_cost0x,IS,0.0
0,2,2,0.05,0.0,0.0,1,0.0,0.0,1,0,0.0,1,10.0,0,1,96,1180,1.581,0.0746,0.537,0.537,0.539,3.77,3.45,-1.1435,-114.35,0.95,633.7,3.5,4.0,0.5341,0.536,0.925,0.0,0.075,IS_cost0x,IS,0.0
0,0,2,0.05,3.0,0.0,1,0.0,0.0,0,0,0.0,1,10.0,0,1,96,2175,0.616,0.1706,-0.3184,-0.3184,0.993,6.95,0.81,-7.0748,-707.48,-4.03,-692.48,215.4,22.6,0.0952,0.498,0.829,0.17,0.0,IS_cost0x,IS,0.0
0,0,2,0.05,3.0,0.0,1,0.0,0.0,1,0,0.0,1,10.0,0,1,96,2151,0.675,0.1841,-0.2654,-0.2654,0.982,6.87,0.7,-5.8985,-589.85,-3.244,-570.85,149.8,25.5,0.1454,0.513,0.816,0.183,0.001,IS_cost0x,IS,0.0
0,2,2,0.05,3.0,0.0,1,0.0,0.0,0,0,0.0,1,10.0,0,1,96,2172,0.93,0.2366,-0.0534,-0.0534,0.991,6.94,0.93,-1.47,-147.0,-0.597,-116.0,52.0,38.7,0.4267,0.508,0.763,0.237,0.0,IS_cost0x,IS,0.0
0,2,2,0.05,3.0,0.0,1,0.0,0.0,1,0,0.0,1,10.0,0,1,96,1180,0.916,0.2339,-0.0644,-0.0644,0.539,3.77,0.78,-1.17,-117.0,-0.533,-76.0,99.5,69.5,0.4112,0.536,0.766,0.234,0.0,IS_cost0x,IS,0.0
0,0,2,0.05,5.0,0.0,1,0.0,0.0,0,0,0.0,1,10.0,0,1,96,2175,0.588,0.1057,-0.3684,-0.3684,0.993,6.95,1.27,-8.1427,-814.27,-3.811,-801.27,102.9,18.0,0.1491,0.498,0.894,0.105,0.001,IS_cost0x,IS,0.0
0,0,2,0.05,5.0,0.0,1,0.0,0.0,1,0,0.0,1,10.0,0,1,96,2151,0.671,0.119,-0.2896,-0.2896,0.982,6.87,1.11,-6.2785,-627.85,-2.829,-622.85,68.6,20.0,0.2254,0.513,0.881,0.118,0.001,IS_cost0x,IS,0.0
