dir_mode,entry_mode,stop_mode,stop_atr_mult,rr,buffer_bps,one_trade,min_or_atr,max_or_atr,trend_mode,fade,min_rvol,use_datr,min_risk_bps,hour,or_bars,hold_bars,test_trades,test_pf,test_win_rate,test_avg_r,test_expectancy_r,test_trades_per_day,test_trades_per_week,test_avg_hold_h,test_max_dd,test_max_dd_r,test_sharpe,test_total_r,test_days_to_target,test_days_to_breach,test_p_target_first,test_long_share,test_pct_stop,test_pct_target,test_pct_time,quarter,train_pf,train_trades
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,20,16,96,86,0.999,0.314,-0.0005,-0.0005,0.956,6.69,7.99,-0.3038,-30.38,-0.003,-0.05,15.2,15.2,0.4998,0.43,0.628,0.0,0.372,2019-01-01,1.456,349
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,20,16,96,82,0.496,0.2439,-0.4253,-0.4253,0.901,6.31,7.73,-0.3487,-34.87,-5.511,-34.87,621.1,20.0,0.0312,0.329,0.72,0.0,0.28,2019-04-01,1.361,348
0,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,4,1,96,91,1.431,0.1868,0.4906,0.4906,0.989,6.92,7.24,-0.1621,-16.21,1.773,44.64,4.1,5.4,0.5705,0.352,0.813,0.0,0.187,2019-07-01,1.365,361
0,0,2,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,4,2,96,91,0.577,0.1538,-0.431,-0.431,0.989,6.92,7.57,-0.4304,-43.04,-3.955,-39.22,75.0,15.0,0.1668,0.451,0.824,0.0,0.176,2019-10-01,1.388,360
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,8,16,32,74,0.744,0.2703,-0.2047,-0.2047,0.813,5.69,2.65,-0.2276,-22.76,-1.883,-15.15,70.1,28.1,0.2865,0.527,0.635,0.0,0.365,2020-01-01,1.415,289
0,1,1,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,96,90,0.764,0.1333,-0.2787,-0.2787,0.989,6.92,6.94,-0.416,-41.6,-1.59,-25.08,14.4,9.6,0.4009,0.467,0.844,0.0,0.156,2020-04-01,1.724,366
0,1,1,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,8,96,92,1.51,0.3261,0.4235,0.4235,1.0,7.0,10.93,-0.1805,-18.05,2.643,38.96,9.7,20.0,0.6733,0.446,0.598,0.0,0.402,2020-07-01,1.513,354
0,1,1,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,8,96,92,0.92,0.2283,-0.0738,-0.0738,1.0,7.0,7.8,-0.2296,-22.96,-0.56,-6.79,22.2,18.4,0.4535,0.522,0.75,0.0,0.25,2020-10-01,1.486,357
0,1,1,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,4,96,90,0.845,0.2444,-0.133,-0.133,1.0,7.0,8.51,-0.2804,-28.04,-1.058,-11.97,26.8,18.5,0.4089,0.467,0.756,0.0,0.244,2021-01-01,1.488,362
0,0,2,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,4,4,96,90,1.434,0.2778,0.339,0.339,0.989,6.92,10.62,-0.1275,-12.75,2.349,30.51,12.3,25.2,0.6729,0.522,0.7,0.0,0.3,2021-04-01,1.312,360
0,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,4,4,96,91,0.838,0.1978,-0.1533,-0.1533,0.989,6.92,8.58,-0.241,-24.1,-1.536,-13.95,51.6,26.1,0.3358,0.495,0.78,0.0,0.22,2021-07-01,1.25,361
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,8,1,96,91,0.56,0.1758,-0.4139,-0.4139,0.989,6.92,9.03,-0.3767,-37.67,-4.274,-37.67,118.5,16.8,0.124,0.484,0.78,0.0,0.22,2021-10-01,1.432,363
0,1,2,2.0,3.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,32,90,0.862,0.4333,-0.0702,-0.0702,1.0,7.0,4.86,-0.1569,-15.69,-1.14,-6.32,142.5,63.3,0.3077,0.511,0.378,0.078,0.544,2022-01-01,1.269,365
0,0,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,12,8,96,91,1.111,0.2967,0.0906,0.0906,1.0,7.0,8.7,-0.2591,-25.91,0.753,8.24,21.2,27.9,0.5682,0.637,0.692,0.0,0.308,2022-04-01,1.183,365
0,0,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,2,96,92,0.468,0.2174,-0.4681,-0.4681,1.0,7.0,10.96,-0.4496,-44.96,-5.917,-43.06,436.6,16.4,0.0363,0.511,0.75,0.0,0.25,2022-07-01,1.278,365
0,1,2,1.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,12,8,96,81,0.6,0.1111,-0.5724,-0.5724,0.881,6.16,3.58,-0.534,-53.4,-3.107,-46.37,20.3,8.9,0.3035,0.42,0.889,0.0,0.111,2022-10-01,1.215,361
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,8,8,96,90,0.478,0.1667,-0.5616,-0.5616,1.0,7.0,6.25,-0.5973,-59.73,-5.635,-50.55,155.6,13.0,0.0774,0.489,0.822,0.0,0.178,2023-01-01,1.182,365
0,1,1,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,13,4,96,90,0.912,0.2222,-0.0932,-0.0932,0.989,6.92,9.47,-0.2982,-29.82,-0.535,-8.39,12.3,10.8,0.4664,0.467,0.733,0.0,0.267,2023-04-01,1.196,356
0,1,1,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,16,2,96,92,0.159,0.1087,-1.2541,-1.2541,1.0,7.0,5.49,-1.1538,-115.38,-16.143,-115.38,57587.2,6.4,0.0001,0.5,0.891,0.0,0.109,2023-07-01,1.206,362
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,4,96,92,0.816,0.2283,-0.1763,-0.1763,1.0,7.0,9.8,-0.1987,-19.87,-1.363,-16.22,26.7,16.8,0.3865,0.478,0.728,0.0,0.272,2023-10-01,0.989,360
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,20,1,96,91,0.482,0.1758,-0.4975,-0.4975,1.0,7.0,10.56,-0.4977,-49.77,-5.455,-45.27,205.2,14.9,0.0677,0.527,0.791,0.0,0.209,2024-01-01,1.097,363
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,4,2,96,91,0.875,0.2198,-0.1226,-0.1226,1.0,7.0,8.87,-0.3629,-36.29,-0.88,-11.16,20.4,15.5,0.4319,0.484,0.758,0.0,0.242,2024-04-01,0.983,361
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,4,4,96,92,0.837,0.2174,-0.1541,-0.1541,1.0,7.0,9.77,-0.4571,-45.71,-1.325,-14.17,33.6,20.4,0.3777,0.5,0.761,0.0,0.239,2024-07-01,1.072,360
0,0,2,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,4,4,96,92,0.725,0.2065,-0.2676,-0.2676,1.0,7.0,8.87,-0.416,-41.6,-2.318,-24.62,42.2,17.5,0.2931,0.554,0.772,0.0,0.228,2024-10-01,1.105,366
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,13,1,96,90,0.556,0.1778,-0.47,-0.47,1.0,7.0,5.55,-0.5447,-54.47,-5.034,-42.3,157.5,15.2,0.0881,0.467,0.822,0.0,0.178,2025-01-01,1.199,366
0,1,2,1.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,8,16,96,89,0.666,0.1124,-0.5172,-0.5172,0.978,6.85,3.2,-0.5431,-54.31,-2.463,-46.03,10.9,6.5,0.3716,0.517,0.888,0.0,0.112,2025-04-01,1.074,353
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,2,96,92,0.974,0.2826,-0.0253,-0.0253,1.0,7.0,10.87,-0.3732,-37.32,-0.185,-2.33,19.3,18.2,0.4852,0.554,0.685,0.0,0.315,2025-07-01,1.175,365
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,2,96,92,0.853,0.2174,-0.1367,-0.1367,1.0,7.0,10.56,-0.2761,-27.61,-1.114,-12.57,28.6,19.2,0.4018,0.489,0.728,0.0,0.272,2025-10-01,1.235,365
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,2,96,89,1.18,0.2921,0.1546,0.1546,0.989,6.92,11.12,-0.1568,-15.68,1.032,13.76,13.8,18.7,0.5758,0.528,0.685,0.0,0.315,2026-01-01,1.168,365
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,2,96,91,0.635,0.1978,-0.372,-0.372,1.0,7.0,9.5,-0.4608,-46.08,-3.517,-33.85,70.9,16.5,0.1888,0.571,0.78,0.0,0.22,2026-04-01,1.154,364
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,20,1,96,59,0.54,0.2712,-0.4543,-0.4543,0.962,6.74,10.81,-0.3303,-33.03,-5.078,-26.8,220.2,16.8,0.0709,0.492,0.729,0.0,0.271,2026-07-01,0.986,365
