symbol,seed,signal,look,win,q,band,hold,contrarian,trades,tpd,avg_bps,win_rate,pf_0x,tot_0x,pf_1x,tot_1x,pf_2x,tot_2x,pf_3x,tot_3x
BTCUSDT,0,dcrowd,12,288,0.02,2016,96,True,2169,0.99,-6.71,0.4827,0.8889,-14564.2,0.6958,-44930.2,0.5467,-75296.2,0.4324,-105662.2
BTCUSDT,0,dcrowd,12,288,0.02,2016,96,False,2169,0.99,6.71,0.5173,1.125,14564.2,0.8805,-15801.8,0.6915,-46167.8,0.547,-76533.8
BTCUSDT,0,dcrowd,12,288,0.02,2016,144,True,1810,0.826,-4.35,0.4823,0.9402,-7868.2,0.7716,-33208.2,0.635,-58548.2,0.5245,-83888.2
BTCUSDT,0,dcrowd,12,288,0.02,2016,144,False,1810,0.826,4.35,0.5171,1.0636,7868.2,0.8722,-17471.8,0.7166,-42811.8,0.5907,-68151.8
BTCUSDT,0,dcrowd,12,288,0.02,2016,288,True,1237,0.565,-15.83,0.4762,0.8606,-19583.3,0.7538,-36901.3,0.6608,-54219.3,0.5799,-71537.3
BTCUSDT,0,dcrowd,12,288,0.02,2016,288,False,1237,0.565,15.83,0.5238,1.162,19583.3,1.0175,2265.3,0.8914,-15052.7,0.782,-32370.7
BTCUSDT,0,dcrowd,12,288,0.02,2016,576,True,782,0.357,-27.37,0.4668,0.8386,-21400.9,0.7664,-32348.9,0.7005,-43296.9,0.6404,-54244.9
BTCUSDT,0,dcrowd,12,288,0.02,2016,576,False,782,0.357,27.37,0.5332,1.1925,21400.9,1.0898,10452.9,0.9959,-495.1,0.9102,-11443.1
BTCUSDT,0,dcrowd,12,288,0.02,2016,864,True,579,0.264,6.57,0.513,1.0361,3805.4,0.9607,-4300.6,0.8907,-12406.6,0.8258,-20512.6
BTCUSDT,0,dcrowd,12,288,0.02,2016,864,False,579,0.264,-6.57,0.487,0.9651,-3805.4,0.895,-11911.4,0.83,-20017.4,0.7699,-28123.4
BTCUSDT,1,dcrowd,12,288,0.02,2016,96,True,2118,0.967,0.52,0.4953,1.0096,1098.2,0.78,-28553.8,0.6057,-58205.8,0.4744,-87857.8
BTCUSDT,1,dcrowd,12,288,0.02,2016,96,False,2118,0.967,-0.52,0.5047,0.9904,-1098.2,0.7647,-30750.2,0.5924,-60402.2,0.462,-90054.2
BTCUSDT,1,dcrowd,12,288,0.02,2016,144,True,1773,0.81,7.71,0.5008,1.1164,13674.4,0.9146,-11147.6,0.7516,-35969.6,0.6207,-60791.6
BTCUSDT,1,dcrowd,12,288,0.02,2016,144,False,1773,0.81,-7.71,0.4992,0.8958,-13674.4,0.7335,-38496.4,0.602,-63318.4,0.4954,-88140.4
BTCUSDT,1,dcrowd,12,288,0.02,2016,288,True,1214,0.554,11.85,0.5074,1.1264,14382.8,0.9787,-2613.2,0.8511,-19609.2,0.7412,-36605.2
