symbol,signal,look,win,q,band,hold,contrarian,trades,tpd,avg_bps,win_rate,pf_0x,tot_0x,pf_1x,tot_1x,pf_2x,tot_2x,pf_3x,tot_3x
BTCUSDT,dcrowd,12,288,0.02,2016,96,True,2131,0.973,12.63,0.5209,1.1955,26919.0,0.9809,-2915.0,0.8065,-32749.0,0.6653,-62583.0
BTCUSDT,dcrowd,12,288,0.02,2016,96,False,2131,0.973,-12.63,0.4791,0.8365,-26919.0,0.6861,-56753.0,0.5634,-86587.0,0.4642,-116421.0
BTCUSDT,dcrowd,12,288,0.02,2016,144,True,1792,0.818,16.95,0.5324,1.221,30368.8,1.0353,5280.8,0.8783,-19807.2,0.7461,-44895.2
BTCUSDT,dcrowd,12,288,0.02,2016,144,False,1792,0.818,-16.95,0.4676,0.819,-30368.8,0.6946,-55456.8,0.5899,-80544.8,0.5016,-105632.8
BTCUSDT,dcrowd,12,288,0.02,2016,288,True,1269,0.579,25.22,0.5374,1.2538,32001.1,1.1058,14235.1,0.9754,-3530.9,0.8608,-21296.9
BTCUSDT,dcrowd,12,288,0.02,2016,288,False,1269,0.579,-25.22,0.4626,0.7976,-32001.1,0.7035,-49767.1,0.6206,-67533.1,0.5479,-85299.1
BTCUSDT,dcrowd,12,288,0.02,2016,576,True,796,0.363,10.98,0.5163,1.0756,8742.7,0.9802,-2401.3,0.8932,-13545.3,0.8142,-24689.3
BTCUSDT,dcrowd,12,288,0.02,2016,576,False,796,0.363,-10.98,0.4837,0.9297,-8742.7,0.8474,-19886.7,0.7725,-31030.7,0.7045,-42174.7
BTCUSDT,dcrowd,12,288,0.02,2016,864,True,586,0.268,19.76,0.5034,1.1143,11581.7,1.032,3377.7,0.956,-4826.3,0.8859,-13030.3
BTCUSDT,dcrowd,12,288,0.02,2016,864,False,586,0.268,-19.76,0.4966,0.8975,-11581.7,0.8311,-19785.7,0.7697,-27989.7,0.7128,-36193.7
BTCUSDT,dcrowd,12,288,0.02,8640,96,True,1978,0.903,12.02,0.5101,1.177,23768.9,0.9736,-3923.1,0.8068,-31615.1,0.6705,-59307.1
BTCUSDT,dcrowd,12,288,0.02,8640,96,False,1978,0.903,-12.02,0.4899,0.8496,-23768.9,0.7023,-51460.9,0.5811,-79152.9,0.482,-106844.9
BTCUSDT,dcrowd,12,288,0.02,8640,144,True,1675,0.765,21.86,0.5307,1.2805,36621.2,1.0928,13171.2,0.9334,-10278.8,0.7987,-33728.8
BTCUSDT,dcrowd,12,288,0.02,8640,144,False,1675,0.765,-21.86,0.4693,0.7809,-36621.2,0.6664,-60071.2,0.5689,-83521.2,0.4863,-106971.2
BTCUSDT,dcrowd,12,288,0.02,8640,288,True,1210,0.553,34.71,0.5364,1.3589,41996.8,1.2003,25056.8,1.0608,8116.8,0.9381,-8823.2
BTCUSDT,dcrowd,12,288,0.02,8640,288,False,1210,0.553,-34.71,0.4636,0.7359,-41996.8,0.6499,-58936.8,0.5741,-75876.8,0.5075,-92816.8
BTCUSDT,dcrowd,12,288,0.02,8640,576,True,759,0.347,19.89,0.5217,1.1362,15096.7,1.0385,4470.7,0.9494,-6155.3,0.8682,-16781.3
BTCUSDT,dcrowd,12,288,0.02,8640,576,False,759,0.347,-19.89,0.4783,0.8801,-15096.7,0.8045,-25722.7,0.7354,-36348.7,0.6725,-46974.7
BTCUSDT,dcrowd,12,288,0.02,8640,864,True,563,0.257,41.62,0.4938,1.2319,23431.0,1.1479,15549.0,1.0702,7667.0,0.9981,-215.0
BTCUSDT,dcrowd,12,288,0.02,8640,864,False,563,0.257,-41.62,0.5062,0.8118,-23431.0,0.7563,-31313.0,0.7044,-39195.0,0.6561,-47077.0
BTCUSDT,dcrowd,12,288,0.05,2016,96,True,3441,1.571,12.51,0.5158,1.215,43059.8,0.9772,-5114.2,0.7881,-53288.2,0.6382,-101462.2
BTCUSDT,dcrowd,12,288,0.05,2016,96,False,3441,1.571,-12.51,0.4842,0.8231,-43059.8,0.6616,-91233.8,0.5328,-139407.8,0.4311,-187581.8
BTCUSDT,dcrowd,12,288,0.05,2016,144,True,2649,1.21,14.86,0.5281,1.2035,39355.6,1.0107,2269.6,0.8497,-34816.4,0.7157,-71902.4
BTCUSDT,dcrowd,12,288,0.05,2016,144,False,2649,1.21,-14.86,0.4719,0.8309,-39355.6,0.698,-76441.6,0.587,-113527.6,0.4947,-150613.6
BTCUSDT,dcrowd,12,288,0.05,2016,288,True,1673,0.764,16.94,0.514,1.1686,28343.6,1.0274,4921.6,0.9037,-18500.4,0.7955,-41922.4
BTCUSDT,dcrowd,12,288,0.05,2016,288,False,1673,0.764,-16.94,0.486,0.8558,-28343.6,0.7522,-51765.6,0.661,-75187.6,0.5814,-98609.6
BTCUSDT,dcrowd,12,288,0.05,2016,576,True,938,0.428,8.2,0.5043,1.0547,7687.7,0.963,-5444.3,0.8794,-18576.3,0.8033,-31708.3
BTCUSDT,dcrowd,12,288,0.05,2016,576,False,938,0.428,-8.2,0.4957,0.9481,-7687.7,0.8657,-20819.7,0.7904,-33951.7,0.7219,-47083.7
BTCUSDT,dcrowd,12,288,0.05,2016,864,True,649,0.296,43.11,0.5223,1.2591,27978.0,1.1681,18892.0,1.0838,9806.0,1.0059,720.0
BTCUSDT,dcrowd,12,288,0.05,2016,864,False,649,0.296,-43.11,0.4777,0.7942,-27978.0,0.7366,-37064.0,0.6832,-46150.0,0.6336,-55236.0
BTCUSDT,dcrowd,12,288,0.05,8640,96,True,3239,1.479,15.22,0.5227,1.2565,49285.1,1.0183,3939.1,0.8273,-41406.9,0.6746,-86752.9
BTCUSDT,dcrowd,12,288,0.05,8640,96,False,3239,1.479,-15.22,0.4773,0.7959,-49285.1,0.6446,-94631.1,0.5231,-139977.1,0.4263,-185323.1
BTCUSDT,dcrowd,12,288,0.05,8640,144,True,2529,1.155,14.3,0.5223,1.1887,36165.0,1.0036,759.0,0.8481,-34647.0,0.7178,-70053.0
BTCUSDT,dcrowd,12,288,0.05,8640,144,False,2529,1.155,-14.3,0.4777,0.8412,-36165.0,0.7103,-71571.0,0.6005,-106977.0,0.5086,-142383.0
BTCUSDT,dcrowd,12,288,0.05,8640,288,True,1605,0.733,14.73,0.519,1.1439,23636.5,1.0067,1166.5,0.8861,-21303.5,0.7805,-43773.5
BTCUSDT,dcrowd,12,288,0.05,8640,288,False,1605,0.733,-14.73,0.481,0.8742,-23636.5,0.7693,-46106.5,0.6769,-68576.5,0.596,-91046.5
BTCUSDT,dcrowd,12,288,0.05,8640,576,True,909,0.415,28.75,0.5094,1.2005,26129.7,1.0981,13403.7,1.0047,677.7,0.9198,-12048.3
BTCUSDT,dcrowd,12,288,0.05,8640,576,False,909,0.415,-28.75,0.4906,0.833,-26129.7,0.7618,-38855.7,0.6965,-51581.7,0.6369,-64307.7
BTCUSDT,dcrowd,12,288,0.05,8640,864,True,633,0.289,36.99,0.5276,1.2107,23411.6,1.1261,14549.6,1.0475,5687.6,0.9745,-3174.4
BTCUSDT,dcrowd,12,288,0.05,8640,864,False,633,0.289,-36.99,0.4724,0.826,-23411.6,0.7683,-32273.6,0.7147,-41135.6,0.6649,-49997.6
BTCUSDT,dcrowd,12,288,0.1,2016,96,True,4590,2.096,11.84,0.5194,1.216,54334.6,0.9651,-9925.4,0.7686,-74185.4,0.6153,-138445.4
BTCUSDT,dcrowd,12,288,0.1,2016,96,False,4590,2.096,-11.84,0.4806,0.8224,-54334.6,0.6524,-118594.6,0.519,-182854.6,0.4152,-247114.6
BTCUSDT,dcrowd,12,288,0.1,2016,144,True,3364,1.536,9.83,0.5137,1.1376,33064.5,0.9469,-14031.5,0.7892,-61127.5,0.6595,-108223.5
BTCUSDT,dcrowd,12,288,0.1,2016,144,False,3364,1.536,-9.83,0.4863,0.879,-33064.5,0.7315,-80160.5,0.6094,-127256.5,0.5089,-174352.5
BTCUSDT,dcrowd,12,288,0.1,2016,288,True,1901,0.868,4.17,0.5029,1.0399,7920.4,0.9118,-18693.6,0.7998,-45307.6,0.7023,-71921.6
BTCUSDT,dcrowd,12,288,0.1,2016,288,False,1901,0.868,-4.17,0.4971,0.9616,-7920.4,0.8431,-34534.4,0.7394,-61148.4,0.6488,-87762.4
BTCUSDT,dcrowd,12,288,0.1,2016,576,True,1007,0.46,9.78,0.4945,1.0661,9851.2,0.9728,-4246.8,0.8881,-18344.8,0.8112,-32442.8
BTCUSDT,dcrowd,12,288,0.1,2016,576,False,1007,0.46,-9.78,0.5055,0.938,-9851.2,0.8557,-23949.2,0.7805,-38047.2,0.712,-52145.2
BTCUSDT,dcrowd,12,288,0.1,2016,864,True,683,0.312,50.63,0.5652,1.3308,34581.8,1.2301,25019.8,1.1367,15457.8,1.0501,5895.8
BTCUSDT,dcrowd,12,288,0.1,2016,864,False,683,0.312,-50.63,0.4348,0.7514,-34581.8,0.6947,-44143.8,0.6425,-53705.8,0.5944,-63267.8
BTCUSDT,dcrowd,12,288,0.1,8640,96,True,4442,2.028,13.73,0.523,1.2505,60979.3,0.9956,-1208.7,0.7952,-63396.7,0.6381,-125584.7
BTCUSDT,dcrowd,12,288,0.1,8640,96,False,4442,2.028,-13.73,0.477,0.7997,-60979.3,0.6363,-123167.3,0.5077,-185355.3,0.407,-247543.3
BTCUSDT,dcrowd,12,288,0.1,8640,144,True,3272,1.494,14.09,0.5275,1.2007,46091.7,1.0011,283.7,0.8355,-45524.3,0.6988,-91332.3
BTCUSDT,dcrowd,12,288,0.1,8640,144,False,3272,1.494,-14.09,0.4725,0.8328,-46091.7,0.6946,-91899.7,0.5801,-137707.7,0.4858,-183515.7
BTCUSDT,dcrowd,12,288,0.1,8640,288,True,1865,0.852,11.89,0.5024,1.1165,22179.7,0.9807,-3930.3,0.8622,-30040.3,0.7589,-56150.3
BTCUSDT,dcrowd,12,288,0.1,8640,288,False,1865,0.852,-11.89,0.4976,0.8956,-22179.7,0.7864,-48289.7,0.6904,-74399.7,0.6065,-100509.7
BTCUSDT,dcrowd,12,288,0.1,8640,576,True,983,0.449,31.28,0.5219,1.2302,30743.7,1.1211,16981.7,1.0219,3219.7,0.9318,-10542.3
BTCUSDT,dcrowd,12,288,0.1,8640,576,False,983,0.449,-31.28,0.4781,0.8128,-30743.7,0.7406,-44505.7,0.6749,-58267.7,0.615,-72029.7
