quarter,signal,look,win,q,band,hold,contrarian,train_pf_2x,train_n,test_trades,test_pf,test_pf_2x,symbol
2021Q3,crowd_z,0,864,0.02,8640,288,True,2.8314,90,27,1.6168,1.4678,BTCUSDT
2021Q4,crowd_z,0,864,0.02,8640,288,True,2.4096,117,22,1.8126,1.5943,BTCUSDT
2022Q1,crowd_z,0,864,0.02,8640,288,True,2.2825,139,15,2.03,1.8809,BTCUSDT
2022Q2,crowd_z,0,864,0.02,8640,288,True,2.2192,154,19,0.4694,0.422,BTCUSDT
2022Q3,crowd_z,0,864,0.02,8640,288,True,1.8841,173,22,1.63,1.455,BTCUSDT
2022Q4,crowd_z,0,864,0.02,8640,288,True,1.8317,195,18,1.9787,1.551,BTCUSDT
2023Q1,crowd_z,0,864,0.02,8640,288,True,1.808,213,20,4.8133,4.0006,BTCUSDT
2023Q2,crowd_z,0,864,0.02,8640,288,True,1.9594,233,19,3.2347,2.7749,BTCUSDT
2023Q3,crowd_z,0,864,0.02,8640,288,True,2.0242,252,21,0.1328,0.0919,BTCUSDT
2023Q4,disagree,0,864,0.1,2016,864,False,1.6959,216,23,3.6456,3.2648,BTCUSDT
2024Q1,disagree,0,864,0.1,2016,864,False,1.8083,239,26,3.8502,3.5344,BTCUSDT
2024Q2,disagree,0,864,0.1,2016,864,False,1.9334,265,26,1.2695,1.1169,BTCUSDT
2024Q3,disagree,0,864,0.1,2016,864,False,1.8653,291,27,0.646,0.5984,BTCUSDT
2024Q4,disagree,0,864,0.1,2016,864,False,1.7055,318,26,0.7561,0.7064,BTCUSDT
2025Q1,disagree,0,864,0.1,2016,864,False,1.5922,344,25,2.1755,1.9674,BTCUSDT
2025Q2,disagree,0,864,0.02,2016,864,False,1.6242,288,17,0.1748,0.1519,BTCUSDT
2025Q3,disagree,0,864,0.1,2016,864,False,1.5739,393,26,2.3294,2.0318,BTCUSDT
2025Q4,disagree,0,864,0.1,2016,864,False,1.6034,419,24,1.8545,1.6993,BTCUSDT
2026Q1,disagree,0,864,0.1,2016,864,False,1.608,443,28,0.2812,0.2494,BTCUSDT
2026Q2,disagree,0,864,0.1,2016,864,False,1.4802,471,21,1.1281,1.0262,BTCUSDT
2026Q3,dcrowd,144,288,0.02,8640,576,True,1.4731,361,10,3.403,3.0553,BTCUSDT
2022Q4,dcrowd,48,288,0.05,8640,864,True,3.8265,67,20,0.6817,0.6357,ETHUSDT
2023Q1,disagree,0,864,0.3,2016,288,False,2.5668,53,82,1.0037,0.8845,ETHUSDT
2023Q2,dcrowd,48,288,0.05,8640,864,True,2.1629,112,21,1.2878,1.1867,ETHUSDT
2023Q3,disagree,0,864,0.1,8640,864,True,2.2503,47,24,1.4001,1.205,ETHUSDT
2023Q4,dcrowd,48,288,0.05,8640,864,True,1.9362,155,23,0.4059,0.369,ETHUSDT
2024Q1,disagree,0,864,0.1,8640,864,True,1.8201,96,23,0.4304,0.4011,ETHUSDT
2024Q2,dcrowd,144,288,0.05,2016,864,True,1.5125,187,24,1.149,0.9973,ETHUSDT
2024Q3,dcrowd,48,288,0.05,8640,864,True,1.5058,228,25,0.9343,0.8728,ETHUSDT
2024Q4,dcrowd,48,288,0.05,8640,864,True,1.4196,253,24,0.5124,0.4839,ETHUSDT
2025Q1,dcrowd,12,288,0.2,8640,864,True,1.3976,350,30,1.1103,1.0441,ETHUSDT
2025Q2,dcrowd,144,288,0.05,8640,864,True,1.3719,236,18,0.3316,0.3209,ETHUSDT
2025Q3,dcrowd,12,288,0.2,8640,864,True,1.4464,410,30,1.1546,1.0946,ETHUSDT
2025Q4,dcrowd,12,288,0.2,8640,864,True,1.4105,440,30,0.5392,0.5032,ETHUSDT
