symbol,seed,signal,look,win,q,band,hold,stop_k,contrarian,trades,tpd,avg_bps,win_rate,avg_hold_bars,pf_0x,pf_1x,maxdd_r_1x,total_r_1x,pf_2x,maxdd_r_2x,total_r_2x,pf_3x
BTCUSDT,0,crowd_z,0,864,0.02,8640,288,0.0,True,574,0.262,-4.53,0.5087,288.0,1.0223,0.878,-99.76,-73.3,0.7542,-170.09,-159.1,0.6488
BTCUSDT,0,crowd_z,0,864,0.02,8640,288,1.0,True,822,0.375,-3.5,0.3163,156.8,1.049,0.8256,-116.7,-109.4,0.6646,-248.53,-244.5,0.5443
BTCUSDT,0,crowd_z,0,864,0.02,8640,288,1.5,True,706,0.322,-4.13,0.3938,197.3,1.0396,0.8516,-119.57,-91.7,0.7057,-211.99,-204.9,0.5905
BTCUSDT,0,crowd_z,0,864,0.02,8640,288,2.0,True,654,0.299,-1.13,0.4434,226.1,1.086,0.9062,-78.46,-56.2,0.7611,-168.1,-158.8,0.6433
BTCUSDT,0,crowd_z,0,864,0.02,8640,288,3.0,True,613,0.28,1.81,0.491,256.1,1.1215,0.948,-60.08,-29.8,0.8034,-130.41,-123.4,0.6831
BTCUSDT,0,crowd_z,0,864,0.02,8640,576,0.0,True,465,0.212,6.13,0.4989,576.0,1.095,0.987,-123.04,-8.5,0.8902,-166.53,-75.8,0.8035
BTCUSDT,0,crowd_z,0,864,0.02,8640,576,1.0,True,725,0.331,9.49,0.2607,256.2,1.2116,1.0008,-78.46,0.5,0.8426,-152.24,-110.2,0.7196
BTCUSDT,0,crowd_z,0,864,0.02,8640,576,1.5,True,609,0.278,9.91,0.3366,336.1,1.1696,1.006,-72.1,3.8,0.8735,-134.46,-88.1,0.7642
BTCUSDT,0,crowd_z,0,864,0.02,8640,576,2.0,True,556,0.254,12.64,0.3957,395.5,1.1869,1.0428,-79.86,27.4,0.9207,-135.01,-55.0,0.8163
BTCUSDT,0,crowd_z,0,864,0.02,8640,576,3.0,True,506,0.231,2.8,0.4407,473.8,1.0881,0.9671,-115.98,-21.1,0.8616,-165.15,-94.7,0.7694
BTCUSDT,0,crowd_z,0,864,0.02,8640,864,0.0,True,371,0.169,-6.8,0.4663,864.0,0.9207,0.8436,-193.15,-103.8,0.7734,-239.72,-157.3,0.7093
BTCUSDT,0,crowd_z,0,864,0.02,8640,864,1.0,True,676,0.309,8.67,0.2056,315.7,1.0408,0.8638,-133.42,-84.1,0.7314,-225.09,-189.7,0.6286
BTCUSDT,0,crowd_z,0,864,0.02,8640,864,1.5,True,541,0.247,7.17,0.2773,433.9,1.0446,0.9115,-124.91,-55.0,0.8025,-181.73,-135.0,0.7117
BTCUSDT,0,crowd_z,0,864,0.02,8640,864,2.0,True,480,0.219,10.05,0.3458,536.3,1.0594,0.9427,-131.51,-35.3,0.8431,-177.72,-104.4,0.7573
BTCUSDT,0,crowd_z,0,864,0.02,8640,864,3.0,True,432,0.197,9.33,0.412,652.3,1.0017,0.9041,-161.2,-61.7,0.8182,-212.66,-124.4,0.7421
BTCUSDT,1,crowd_z,0,864,0.02,8640,288,0.0,True,557,0.254,-2.49,0.4937,288.0,1.0501,0.9018,-86.9,-54.4,0.7757,-140.51,-134.4,0.6689
BTCUSDT,1,crowd_z,0,864,0.02,8640,288,1.0,True,756,0.345,3.28,0.336,165.1,1.1299,0.8914,-68.26,-59.7,0.7192,-185.17,-179.5,0.5899
BTCUSDT,1,crowd_z,0,864,0.02,8640,288,1.5,True,660,0.301,4.17,0.4121,208.1,1.1207,0.9218,-55.77,-42.7,0.7663,-152.53,-143.5,0.6426
BTCUSDT,1,crowd_z,0,864,0.02,8640,288,2.0,True,610,0.279,4.75,0.4475,235.7,1.1251,0.9418,-48.64,-31.2,0.7935,-127.92,-122.6,0.6727
BTCUSDT,1,crowd_z,0,864,0.02,8640,288,3.0,True,587,0.268,-4.0,0.477,259.3,1.0675,0.9092,-61.6,-51.2,0.7768,-144.56,-137.3,0.6661
BTCUSDT,1,crowd_z,0,864,0.02,8640,576,0.0,True,446,0.204,-17.25,0.4888,576.0,0.896,0.8033,-147.94,-126.5,0.7199,-205.32,-189.3,0.6454
BTCUSDT,1,crowd_z,0,864,0.02,8640,576,1.0,True,675,0.308,-3.85,0.2593,271.0,0.9782,0.8032,-120.92,-110.5,0.6718,-218.04,-210.5,0.57
BTCUSDT,1,crowd_z,0,864,0.02,8640,576,1.5,True,573,0.262,-4.91,0.3473,351.5,0.9873,0.8433,-99.18,-89.8,0.7266,-179.92,-173.1,0.631
BTCUSDT,1,crowd_z,0,864,0.02,8640,576,2.0,True,519,0.237,-8.33,0.3911,413.9,0.9568,0.8322,-122.47,-96.9,0.7274,-182.94,-170.9,0.6391
BTCUSDT,1,crowd_z,0,864,0.02,8640,576,3.0,True,483,0.221,-13.93,0.441,473.7,0.96,0.8491,-108.02,-90.8,0.7523,-174.02,-159.2,0.6683
BTCUSDT,1,crowd_z,0,864,0.02,8640,864,0.0,True,366,0.167,-39.56,0.4699,864.0,0.7957,0.7309,-214.22,-191.7,0.6718,-263.92,-243.5,0.6178
BTCUSDT,1,crowd_z,0,864,0.02,8640,864,1.0,True,643,0.294,-14.81,0.2022,329.3,0.8732,0.7274,-171.67,-158.6,0.617,-263.3,-253.5,0.5306
BTCUSDT,1,crowd_z,0,864,0.02,8640,864,1.5,True,532,0.243,-0.96,0.2876,448.8,0.9779,0.8514,-112.51,-88.4,0.7479,-184.8,-164.9,0.6619
BTCUSDT,1,crowd_z,0,864,0.02,8640,864,2.0,True,472,0.216,-13.22,0.3347,539.6,0.9525,0.847,-107.61,-93.0,0.7571,-171.71,-159.4,0.6797
BTCUSDT,1,crowd_z,0,864,0.02,8640,864,3.0,True,423,0.193,-8.83,0.4137,658.4,0.9935,0.8976,-94.04,-63.3,0.8129,-151.14,-122.7,0.7379
BTCUSDT,2,crowd_z,0,864,0.02,8640,288,0.0,True,557,0.254,7.8,0.5081,288.0,1.1838,1.0195,-45.48,11.0,0.8788,-96.84,-73.8,0.759
BTCUSDT,2,crowd_z,0,864,0.02,8640,288,1.0,True,767,0.35,7.39,0.309,162.7,1.1814,0.9293,-99.47,-41.4,0.7495,-210.61,-171.1,0.6153
BTCUSDT,2,crowd_z,0,864,0.02,8640,288,1.5,True,656,0.3,6.08,0.404,206.6,1.1935,0.9785,-71.44,-12.0,0.812,-160.11,-118.3,0.68
BTCUSDT,2,crowd_z,0,864,0.02,8640,288,2.0,True,614,0.28,4.24,0.443,231.3,1.2003,1.0054,-60.06,3.0,0.8485,-138.02,-94.5,0.7206
BTCUSDT,2,crowd_z,0,864,0.02,8640,288,3.0,True,583,0.266,9.23,0.4871,261.4,1.2517,1.0611,-48.51,33.2,0.9032,-97.84,-57.7,0.7717
BTCUSDT,2,crowd_z,0,864,0.02,8640,576,0.0,True,442,0.202,16.25,0.5,576.0,1.1143,1.0042,-146.1,2.5,0.9052,-167.26,-59.6,0.8164
BTCUSDT,2,crowd_z,0,864,0.02,8640,576,1.0,True,681,0.311,10.0,0.257,266.3,1.049,0.8596,-119.18,-80.2,0.7184,-215.31,-184.4,0.6094
BTCUSDT,2,crowd_z,0,864,0.02,8640,576,1.5,True,582,0.266,9.22,0.3402,343.1,1.045,0.8928,-110.53,-63.1,0.7697,-173.63,-149.8,0.6686
BTCUSDT,2,crowd_z,0,864,0.02,8640,576,2.0,True,523,0.239,21.0,0.4149,417.1,1.1721,1.0214,-77.8,11.8,0.8947,-122.45,-63.4,0.787
BTCUSDT,2,crowd_z,0,864,0.02,8640,576,3.0,True,485,0.221,14.78,0.4474,484.0,1.1176,0.9918,-76.71,-4.8,0.8823,-99.4,-73.2,0.7866
BTCUSDT,2,crowd_z,0,864,0.02,8640,864,0.0,True,364,0.166,37.6,0.5165,864.0,1.2085,1.1125,-129.68,66.9,1.0245,-146.65,15.2,0.9439
BTCUSDT,2,crowd_z,0,864,0.02,8640,864,1.0,True,622,0.284,18.92,0.2283,349.0,1.3395,1.1228,-83.87,67.2,0.9587,-135.79,-25.7,0.8302
BTCUSDT,2,crowd_z,0,864,0.02,8640,864,1.5,True,528,0.241,18.96,0.2973,459.1,1.2572,1.1045,-110.11,61.8,0.9786,-152.73,-13.9,0.8733
BTCUSDT,2,crowd_z,0,864,0.02,8640,864,2.0,True,476,0.217,19.27,0.355,540.6,1.2466,1.1178,-110.02,71.8,1.0072,-140.4,4.8,0.9116
BTCUSDT,2,crowd_z,0,864,0.02,8640,864,3.0,True,418,0.191,20.88,0.4402,673.2,1.2056,1.0946,-110.42,55.7,0.996,-133.63,-2.5,0.9082
BTCUSDT,0,crowd_z,0,864,0.05,8640,288,0.0,True,884,0.404,-7.62,0.4887,288.0,0.8956,0.7621,-239.56,-222.4,0.6496,-361.93,-354.6,0.5553
BTCUSDT,0,crowd_z,0,864,0.05,8640,288,1.0,True,1401,0.64,2.25,0.3219,155.5,1.0632,0.8332,-180.04,-176.9,0.6679,-412.44,-410.1,0.5449
BTCUSDT,0,crowd_z,0,864,0.05,8640,288,1.5,True,1171,0.535,1.58,0.3945,196.8,1.0203,0.8334,-174.67,-170.3,0.6884,-362.86,-358.9,0.5743
BTCUSDT,0,crowd_z,0,864,0.05,8640,288,2.0,True,1067,0.487,-5.37,0.4274,221.3,0.9764,0.815,-201.75,-189.9,0.6847,-365.15,-358.1,0.5791
BTCUSDT,0,crowd_z,0,864,0.05,8640,288,3.0,True,969,0.442,-2.37,0.4706,254.3,0.9848,0.8334,-176.03,-162.6,0.7075,-321.64,-311.8,0.603
BTCUSDT,0,crowd_z,0,864,0.05,8640,576,0.0,True,639,0.292,0.68,0.507,576.0,1.0633,0.9558,-102.51,-40.1,0.8595,-152.05,-134.5,0.7733
BTCUSDT,0,crowd_z,0,864,0.05,8640,576,1.0,True,1155,0.527,3.93,0.2502,250.2,1.0963,0.9026,-136.87,-96.2,0.7574,-277.72,-274.1,0.6449
BTCUSDT,0,crowd_z,0,864,0.05,8640,576,1.5,True,943,0.431,-3.41,0.3319,332.8,1.1212,0.9638,-92.67,-35.4,0.8358,-182.41,-177.4,0.7301
BTCUSDT,0,crowd_z,0,864,0.05,8640,576,2.0,True,826,0.377,1.4,0.3959,395.5,1.189,1.0414,-75.79,38.8,0.9167,-129.5,-84.6,0.8106
BTCUSDT,0,crowd_z,0,864,0.05,8640,576,3.0,True,733,0.335,-6.07,0.4475,466.7,1.0462,0.9301,-102.69,-66.0,0.8288,-189.53,-172.7,0.7402
BTCUSDT,0,crowd_z,0,864,0.05,8640,864,0.0,True,491,0.224,-5.48,0.4684,864.0,0.9431,0.8643,-176.79,-117.1,0.7926,-233.32,-187.2,0.7273
BTCUSDT,0,crowd_z,0,864,0.05,8640,864,1.0,True,1040,0.475,8.13,0.2087,315.7,1.0704,0.8872,-160.52,-106.5,0.7499,-286.62,-269.9,0.6434
BTCUSDT,0,crowd_z,0,864,0.05,8640,864,1.5,True,818,0.374,1.63,0.2812,425.9,0.9881,0.8585,-184.46,-132.0,0.7526,-269.21,-254.1,0.6647
BTCUSDT,0,crowd_z,0,864,0.05,8640,864,2.0,True,709,0.324,8.54,0.3484,524.6,1.0377,0.9206,-158.23,-71.9,0.8211,-225.74,-175.3,0.7357
BTCUSDT,0,crowd_z,0,864,0.05,8640,864,3.0,True,600,0.274,7.96,0.4217,649.4,1.0557,0.9542,-114.93,-39.9,0.8646,-159.6,-125.2,0.7851
BTCUSDT,1,crowd_z,0,864,0.05,8640,288,0.0,True,887,0.405,-4.17,0.5017,288.0,1.0379,0.8874,-112.39,-98.9,0.7593,-238.15,-228.5,0.6503
BTCUSDT,1,crowd_z,0,864,0.05,8640,288,1.0,True,1304,0.595,-3.52,0.3252,163.0,1.0896,0.8598,-143.67,-136.1,0.6933,-350.5,-345.5,0.5677
BTCUSDT,1,crowd_z,0,864,0.05,8640,288,1.5,True,1095,0.5,-3.77,0.4027,206.2,1.067,0.8754,-128.3,-115.4,0.7258,-293.56,-285.5,0.6066
BTCUSDT,1,crowd_z,0,864,0.05,8640,288,2.0,True,1011,0.462,-2.14,0.4431,234.5,1.105,0.9205,-86.73,-71.2,0.7718,-230.76,-226.5,0.6506
BTCUSDT,1,crowd_z,0,864,0.05,8640,288,3.0,True,943,0.431,-2.63,0.4783,260.2,1.0889,0.9214,-114.48,-69.3,0.7818,-221.83,-210.1,0.6652
BTCUSDT,1,crowd_z,0,864,0.05,8640,576,0.0,True,640,0.292,-17.05,0.5016,576.0,0.9478,0.8498,-190.52,-135.9,0.7618,-262.51,-226.9,0.6829
BTCUSDT,1,crowd_z,0,864,0.05,8640,576,1.0,True,1091,0.498,-11.36,0.2557,261.9,0.9742,0.8012,-200.39,-181.9,0.671,-349.14,-343.5,0.5697
BTCUSDT,1,crowd_z,0,864,0.05,8640,576,1.5,True,906,0.414,-14.35,0.3344,341.7,0.9147,0.7807,-221.73,-203.6,0.672,-342.42,-336.1,0.5828
BTCUSDT,1,crowd_z,0,864,0.05,8640,576,2.0,True,795,0.363,-18.58,0.3912,405.0,0.9525,0.8294,-168.01,-152.5,0.7255,-271.31,-266.0,0.6374
BTCUSDT,1,crowd_z,0,864,0.05,8640,576,3.0,True,719,0.328,-21.51,0.4506,469.4,0.9482,0.8397,-196.55,-145.3,0.7449,-283.01,-246.6,0.662
BTCUSDT,1,crowd_z,0,864,0.05,8640,864,0.0,True,486,0.222,-26.37,0.4774,864.0,1.0575,0.9748,-209.57,-22.8,0.8988,-230.86,-95.3,0.8292
BTCUSDT,1,crowd_z,0,864,0.05,8640,864,1.0,True,975,0.445,-15.74,0.2041,325.4,1.132,0.9503,-168.77,-43.6,0.8119,-214.75,-187.5,0.7031
BTCUSDT,1,crowd_z,0,864,0.05,8640,864,1.5,True,768,0.351,-7.14,0.3008,455.0,1.2035,1.0511,-134.47,42.6,0.926,-165.75,-67.9,0.8217
BTCUSDT,1,crowd_z,0,864,0.05,8640,864,2.0,True,658,0.3,-18.24,0.3602,551.4,1.1277,1.0057,-156.05,4.6,0.901,-183.47,-86.2,0.8105
BTCUSDT,1,crowd_z,0,864,0.05,8640,864,3.0,True,582,0.266,-14.62,0.4107,665.1,1.1352,1.0309,-178.56,25.9,0.9383,-201.32,-54.7,0.8556
BTCUSDT,2,crowd_z,0,864,0.05,8640,288,0.0,True,901,0.411,1.54,0.5139,288.0,0.9876,0.8453,-191.86,-148.4,0.724,-319.21,-285.8,0.6214
BTCUSDT,2,crowd_z,0,864,0.05,8640,288,1.0,True,1366,0.624,3.89,0.3192,158.2,1.1107,0.8677,-187.74,-138.1,0.695,-403.53,-372.5,0.5667
BTCUSDT,2,crowd_z,0,864,0.05,8640,288,1.5,True,1134,0.518,0.87,0.3977,201.9,1.0694,0.8726,-197.54,-125.8,0.7206,-350.9,-311.5,0.601
BTCUSDT,2,crowd_z,0,864,0.05,8640,288,2.0,True,1049,0.479,0.04,0.4404,226.6,1.0382,0.8616,-188.02,-135.1,0.7204,-336.35,-303.4,0.6063
BTCUSDT,2,crowd_z,0,864,0.05,8640,288,3.0,True,958,0.437,1.86,0.4875,257.9,1.0696,0.8993,-164.19,-92.1,0.7587,-279.95,-242.2,0.6427
BTCUSDT,2,crowd_z,0,864,0.05,8640,576,0.0,True,633,0.289,10.55,0.5118,576.0,1.1476,1.0318,-150.26,26.4,0.9279,-189.76,-63.3,0.8347
BTCUSDT,2,crowd_z,0,864,0.05,8640,576,1.0,True,1135,0.518,6.07,0.2511,250.1,1.1028,0.8982,-155.92,-98.4,0.7475,-323.82,-281.2,0.6327
BTCUSDT,2,crowd_z,0,864,0.05,8640,576,1.5,True,913,0.417,8.72,0.3494,341.4,1.1412,0.9724,-104.04,-25.3,0.8369,-200.38,-166.1,0.7263
BTCUSDT,2,crowd_z,0,864,0.05,8640,576,2.0,True,799,0.365,9.66,0.3955,400.4,1.0923,0.9489,-127.86,-45.6,0.8292,-213.77,-166.3,0.7283
BTCUSDT,2,crowd_z,0,864,0.05,8640,576,3.0,True,720,0.329,-5.26,0.4389,467.3,1.0128,0.8945,-139.46,-95.7,0.7922,-233.29,-202.2,0.7034
BTCUSDT,2,crowd_z,0,864,0.05,8640,864,0.0,True,483,0.221,17.98,0.4928,864.0,1.1414,1.0484,-146.7,39.9,0.9634,-169.6,-31.6,0.8858
BTCUSDT,2,crowd_z,0,864,0.05,8640,864,1.0,True,997,0.455,12.0,0.2116,326.7,1.2087,1.0073,-105.31,6.6,0.856,-212.09,-148.5,0.7383
BTCUSDT,2,crowd_z,0,864,0.05,8640,864,1.5,True,780,0.356,18.22,0.2962,444.8,1.216,1.0592,-80.16,52.2,0.9314,-135.82,-66.6,0.8253
BTCUSDT,2,crowd_z,0,864,0.05,8640,864,2.0,True,672,0.307,18.26,0.3527,541.1,1.1887,1.0588,-77.14,50.8,0.9482,-133.23,-48.4,0.8531
BTCUSDT,2,crowd_z,0,864,0.05,8640,864,3.0,True,578,0.264,9.98,0.4239,658.0,1.1656,1.0582,-116.91,49.0,0.9627,-145.7,-33.4,0.8775
BTCUSDT,0,crowd_z,0,864,0.1,8640,288,0.0,True,1209,0.552,-13.38,0.493,288.0,0.8845,0.7573,-335.33,-321.8,0.6482,-513.44,-501.2,0.5558
BTCUSDT,0,crowd_z,0,864,0.1,8640,288,1.0,True,2007,0.916,2.5,0.3169,156.4,1.0718,0.8433,-250.52,-240.5,0.6782,-583.14,-573.7,0.5548
BTCUSDT,0,crowd_z,0,864,0.1,8640,288,1.5,True,1669,0.762,1.71,0.3972,195.2,1.0498,0.8613,-219.46,-206.0,0.714,-489.32,-477.0,0.5974
BTCUSDT,0,crowd_z,0,864,0.1,8640,288,2.0,True,1476,0.674,-0.74,0.437,222.8,1.0381,0.8703,-198.24,-184.8,0.7337,-430.67,-418.4,0.6221
BTCUSDT,0,crowd_z,0,864,0.1,8640,288,3.0,True,1343,0.613,-5.55,0.4773,252.7,0.9461,0.8036,-287.86,-274.4,0.6842,-491.99,-479.7,0.5845
BTCUSDT,0,crowd_z,0,864,0.1,8640,576,0.0,True,783,0.358,15.12,0.5057,576.0,1.1749,1.0585,-96.78,62.2,0.9542,-153.01,-51.5,0.8608
BTCUSDT,0,crowd_z,0,864,0.1,8640,576,1.0,True,1531,0.699,9.63,0.2619,252.3,1.167,0.956,-192.34,-56.8,0.7989,-350.64,-297.7,0.6778
BTCUSDT,0,crowd_z,0,864,0.1,8640,576,1.5,True,1225,0.559,4.94,0.3437,332.2,1.1475,0.9844,-167.2,-19.6,0.8522,-267.67,-205.7,0.7432
BTCUSDT,0,crowd_z,0,864,0.1,8640,576,2.0,True,1055,0.482,7.08,0.4133,398.9,1.1822,1.0355,-127.87,41.2,0.9111,-194.86,-111.8,0.8049
BTCUSDT,0,crowd_z,0,864,0.1,8640,576,3.0,True,922,0.421,-5.91,0.4458,465.1,1.0336,0.919,-165.1,-96.6,0.8191,-267.58,-230.6,0.7317
BTCUSDT,0,crowd_z,0,864,0.1,8640,864,0.0,True,580,0.265,45.23,0.5207,864.0,1.2091,1.1116,-83.13,105.4,1.0222,-125.22,21.9,0.9402
BTCUSDT,0,crowd_z,0,864,0.1,8640,864,1.0,True,1313,0.6,7.68,0.2133,323.2,1.0585,0.8794,-226.87,-143.2,0.7448,-385.19,-345.9,0.64
BTCUSDT,0,crowd_z,0,864,0.1,8640,864,1.5,True,1033,0.472,4.67,0.2846,430.9,1.0029,0.8689,-229.81,-153.4,0.76,-366.72,-309.8,0.6697
BTCUSDT,0,crowd_z,0,864,0.1,8640,864,2.0,True,893,0.408,1.21,0.3404,511.3,0.9431,0.8343,-271.17,-194.4,0.7421,-390.72,-327.6,0.6632
BTCUSDT,0,crowd_z,0,864,0.1,8640,864,3.0,True,729,0.333,14.27,0.4307,654.1,1.0963,0.9895,-89.32,-10.8,0.8952,-156.3,-114.7,0.8116
BTCUSDT,1,crowd_z,0,864,0.1,8640,288,0.0,True,1215,0.555,1.15,0.5095,288.0,1.0759,0.9171,-155.28,-100.5,0.7824,-322.26,-285.8,0.6689
BTCUSDT,1,crowd_z,0,864,0.1,8640,288,1.0,True,1980,0.904,1.61,0.3253,157.7,1.1289,0.8804,-251.31,-180.2,0.7034,-561.99,-522.4,0.5723
BTCUSDT,1,crowd_z,0,864,0.1,8640,288,1.5,True,1625,0.742,-0.58,0.4098,200.0,1.1159,0.9056,-182.27,-132.9,0.7436,-445.77,-408.4,0.6165
BTCUSDT,1,crowd_z,0,864,0.1,8640,288,2.0,True,1464,0.668,4.77,0.4549,226.7,1.1191,0.9265,-173.29,-98.9,0.7727,-391.03,-340.8,0.6487
BTCUSDT,1,crowd_z,0,864,0.1,8640,288,3.0,True,1332,0.608,1.32,0.4835,255.8,1.0931,0.9206,-175.81,-103.2,0.7779,-366.38,-316.4,0.6599
BTCUSDT,1,crowd_z,0,864,0.1,8640,576,0.0,True,777,0.355,-1.62,0.4916,576.0,0.9882,0.8909,-184.97,-125.7,0.8034,-283.82,-238.4,0.7249
