symbol,signal,look,win,q,band,hold,stop_k,contrarian,trades,tpd,avg_bps,win_rate,avg_hold_bars,pf_0x,pf_1x,maxdd_r_1x,total_r_1x,pf_2x,maxdd_r_2x,total_r_2x,pf_3x
BTCUSDT,crowd_z,0,864,0.02,8640,288,0.0,True,498,0.227,56.61,0.5542,288.0,1.6907,1.469,-51.33,231.0,1.2781,-58.42,148.1,1.1135
BTCUSDT,crowd_z,0,864,0.02,8640,288,1.0,True,702,0.321,37.05,0.3348,157.5,1.6458,1.3063,-38.29,164.0,1.064,-97.68,40.0,0.8829
BTCUSDT,crowd_z,0,864,0.02,8640,288,1.5,True,603,0.275,39.6,0.4146,198.6,1.5533,1.2875,-46.48,154.3,1.0813,-84.1,49.2,0.9173
BTCUSDT,crowd_z,0,864,0.02,8640,288,2.0,True,564,0.258,49.09,0.4645,226.7,1.6394,1.3837,-39.78,200.1,1.1778,-76.61,103.1,1.0095
BTCUSDT,crowd_z,0,864,0.02,8640,288,3.0,True,528,0.241,51.5,0.517,255.6,1.6667,1.4338,-42.64,224.2,1.2385,-68.35,134.6,1.0734
BTCUSDT,crowd_z,0,864,0.02,8640,576,0.0,True,419,0.191,55.23,0.5179,576.0,1.2883,1.1646,-93.74,98.8,1.0538,-105.08,34.2,0.9545
BTCUSDT,crowd_z,0,864,0.02,8640,576,1.0,True,649,0.296,31.47,0.2681,262.9,1.4401,1.1762,-39.37,96.5,0.9823,-63.87,-11.2,0.8341
BTCUSDT,crowd_z,0,864,0.02,8640,576,1.5,True,562,0.257,41.29,0.3488,346.1,1.3744,1.1721,-51.07,99.4,1.0113,-66.09,7.3,0.8806
BTCUSDT,crowd_z,0,864,0.02,8640,576,2.0,True,521,0.238,47.76,0.4127,402.0,1.3202,1.1479,-58.32,85.9,1.0047,-83.94,3.0,0.8842
BTCUSDT,crowd_z,0,864,0.02,8640,576,3.0,True,472,0.216,54.63,0.4831,474.6,1.479,1.3166,-34.97,181.3,1.1753,-41.97,107.6,1.0517
BTCUSDT,crowd_z,0,864,0.02,8640,864,0.0,True,373,0.17,72.32,0.5282,864.0,1.4296,1.3235,-66.59,183.9,1.2258,-76.02,134.0,1.1358
BTCUSDT,crowd_z,0,864,0.02,8640,864,1.0,True,604,0.276,46.93,0.2533,368.5,1.659,1.4034,-37.83,205.9,1.2074,-48.33,119.9,1.0526
BTCUSDT,crowd_z,0,864,0.02,8640,864,1.5,True,510,0.233,60.09,0.3451,497.6,1.5633,1.3738,-42.53,194.5,1.217,-55.96,123.7,1.0854
BTCUSDT,crowd_z,0,864,0.02,8640,864,2.0,True,468,0.214,56.64,0.3974,574.8,1.5344,1.3791,-44.66,209.5,1.245,-52.74,145.6,1.1283
