book,trades,pf,total_r,maxdd_r,ret_over_dd,r_per_day,win_rate,signal,thr,cut
dcrowd/48/288 — all trades,5071,1.79,2367.2,-48.73,48.58,1.1129,0.424,dcrowd,0.0,baseline
dcrowd/48/288 — crowd agrees (fade),3354,2.159,2113.2,-35.61,59.35,0.9935,0.456,dcrowd,0.0,fade
dcrowd/48/288 — inverted (control),1717,1.217,254.0,-51.93,4.89,0.1194,0.362,dcrowd,0.0,control
dcrowd/48/288 — all trades,5071,1.79,2367.2,-48.73,48.58,1.1129,0.424,dcrowd,0.5,baseline
dcrowd/48/288 — crowd agrees (fade),1784,2.063,972.4,-22.53,43.15,0.4571,0.452,dcrowd,0.5,fade
dcrowd/48/288 — inverted (control),583,0.912,-33.5,-57.32,-0.58,-0.0157,0.348,dcrowd,0.5,control
dcrowd/48/288 — all trades,5071,1.79,2367.2,-48.73,48.58,1.1129,0.424,dcrowd,1.0,baseline
dcrowd/48/288 — crowd agrees (fade),846,1.51,213.5,-17.33,12.32,0.1004,0.444,dcrowd,1.0,fade
dcrowd/48/288 — inverted (control),219,1.039,4.8,-21.54,0.22,0.0023,0.393,dcrowd,1.0,control
dcrowd/144/288 — all trades,5071,1.79,2367.2,-48.73,48.58,1.1129,0.424,dcrowd,0.0,baseline
dcrowd/144/288 — crowd agrees (fade),3218,2.116,1976.9,-28.79,68.66,0.9294,0.459,dcrowd,0.0,fade
dcrowd/144/288 — inverted (control),1853,1.319,390.3,-73.82,5.29,0.1835,0.364,dcrowd,0.0,control
dcrowd/144/288 — all trades,5071,1.79,2367.2,-48.73,48.58,1.1129,0.424,dcrowd,0.5,baseline
dcrowd/144/288 — crowd agrees (fade),1817,2.021,939.7,-30.06,31.26,0.4418,0.47,dcrowd,0.5,fade
dcrowd/144/288 — inverted (control),784,0.975,-13.2,-71.54,-0.18,-0.0062,0.335,dcrowd,0.5,control
dcrowd/144/288 — all trades,5071,1.79,2367.2,-48.73,48.58,1.1129,0.424,dcrowd,1.0,baseline
dcrowd/144/288 — crowd agrees (fade),901,1.709,312.6,-19.66,15.9,0.1469,0.451,dcrowd,1.0,fade
dcrowd/144/288 — inverted (control),319,0.713,-62.7,-79.72,-0.79,-0.0295,0.332,dcrowd,1.0,control
crowd_z/0/288 — all trades,6571,1.863,3105.6,-48.73,63.74,1.4601,0.438,crowd_z,0.0,baseline
crowd_z/0/288 — crowd agrees (fade),4445,2.298,2920.8,-33.65,86.8,1.3732,0.474,crowd_z,0.0,fade
crowd_z/0/288 — inverted (control),2126,1.137,184.8,-64.69,2.86,0.0869,0.363,crowd_z,0.0,control
crowd_z/0/288 — all trades,6571,1.863,3105.6,-48.73,63.74,1.4601,0.438,crowd_z,0.5,baseline
crowd_z/0/288 — crowd agrees (fade),3822,2.329,2544.8,-31.61,80.5,1.1964,0.479,crowd_z,0.5,fade
crowd_z/0/288 — inverted (control),1552,1.073,73.7,-92.49,0.8,0.0346,0.355,crowd_z,0.5,control
crowd_z/0/288 — all trades,6571,1.863,3105.6,-48.73,63.74,1.4601,0.438,crowd_z,1.0,baseline
crowd_z/0/288 — crowd agrees (fade),3010,2.33,1939.2,-25.91,74.84,0.9117,0.49,crowd_z,1.0,fade
crowd_z/0/288 — inverted (control),1048,1.055,38.6,-88.07,0.44,0.0182,0.337,crowd_z,1.0,control
crowd_z/0/864 — all trades,6560,1.855,3076.4,-48.73,63.14,1.4471,0.438,crowd_z,0.0,baseline
crowd_z/0/864 — crowd agrees (fade),4434,2.166,2656.7,-33.69,78.86,1.2496,0.468,crowd_z,0.0,fade
crowd_z/0/864 — inverted (control),2126,1.318,419.7,-46.27,9.07,0.1974,0.374,crowd_z,0.0,control
crowd_z/0/864 — all trades,6560,1.855,3076.4,-48.73,63.14,1.4471,0.438,crowd_z,0.5,baseline
crowd_z/0/864 — crowd agrees (fade),3746,2.13,2183.0,-29.67,73.57,1.0268,0.469,crowd_z,0.5,fade
crowd_z/0/864 — inverted (control),1526,1.048,46.3,-101.22,0.46,0.0218,0.362,crowd_z,0.5,control
crowd_z/0/864 — all trades,6560,1.855,3076.4,-48.73,63.14,1.4471,0.438,crowd_z,1.0,baseline
crowd_z/0/864 — crowd agrees (fade),2913,2.209,1779.1,-29.25,60.83,0.8368,0.478,crowd_z,1.0,fade
crowd_z/0/864 — inverted (control),1002,0.954,-30.4,-105.48,-0.29,-0.0143,0.343,crowd_z,1.0,control
