sym,hold,stop_k,configs,median_dd_r,median_tot_r,median_pf2x,median_n
BTCUSDT,24,0.0,140,3882.34,-3880.32,0.3283,7091
BTCUSDT,24,2.0,140,4276.52,-4275.49,0.3317,7616
BTCUSDT,24,3.0,140,4075.96,-4073.95,0.3334,7323
BTCUSDT,48,0.0,140,1909.87,-1909.04,0.4491,4588
BTCUSDT,48,2.0,140,2131.67,-2131.17,0.4569,5056
BTCUSDT,48,3.0,140,2024.86,-2024.35,0.449,4785
BTCUSDT,96,0.0,140,1002.49,-987.21,0.5517,2963
BTCUSDT,96,2.0,140,1147.15,-1146.48,0.5534,3425
BTCUSDT,96,3.0,140,1069.99,-1065.09,0.5542,3174
BTCUSDT,144,0.0,140,736.43,-732.77,0.6145,2343
BTCUSDT,144,2.0,140,877.67,-871.67,0.6239,2752
BTCUSDT,144,3.0,140,809.31,-801.97,0.6266,2559
BTCUSDT,288,0.0,140,446.17,-401.47,0.7409,1457
BTCUSDT,288,2.0,140,506.62,-480.2,0.7186,1894
BTCUSDT,288,3.0,140,449.94,-383.12,0.7556,1664
BTCUSDT,576,0.0,140,327.2,-287.73,0.8111,835
BTCUSDT,576,2.0,140,280.56,-245.43,0.8566,1238
BTCUSDT,576,3.0,140,290.35,-204.08,0.8547,1039
BTCUSDT,864,0.0,140,248.32,-149.41,0.8586,585
BTCUSDT,864,2.0,140,281.08,-222.01,0.8425,998
BTCUSDT,864,3.0,140,225.98,-155.4,0.8811,803
ETHUSDT,24,0.0,140,2465.73,-2460.81,0.3751,5429
ETHUSDT,24,2.0,140,2702.99,-2701.71,0.3822,5842
ETHUSDT,24,3.0,140,2587.4,-2586.13,0.3829,5591
ETHUSDT,48,0.0,140,1180.06,-1175.16,0.4952,3509
ETHUSDT,48,2.0,140,1347.19,-1343.78,0.4956,3866
ETHUSDT,48,3.0,140,1284.86,-1279.86,0.5021,3669
ETHUSDT,96,0.0,140,684.94,-661.68,0.6133,2292
ETHUSDT,96,2.0,140,774.13,-752.19,0.6251,2613
ETHUSDT,96,3.0,140,728.57,-697.64,0.6354,2452
ETHUSDT,144,0.0,140,492.48,-475.39,0.6729,1788
ETHUSDT,144,2.0,140,584.21,-558.31,0.6761,2084
ETHUSDT,144,3.0,140,520.15,-487.39,0.6875,1936
ETHUSDT,288,0.0,140,307.68,-260.45,0.7739,1102
ETHUSDT,288,2.0,140,364.32,-309.27,0.7951,1453
ETHUSDT,288,3.0,140,332.42,-283.67,0.7887,1278
ETHUSDT,576,0.0,140,245.77,-163.79,0.8412,638
ETHUSDT,576,2.0,140,229.89,-154.81,0.8614,952
ETHUSDT,576,3.0,140,211.92,-137.47,0.8727,809
ETHUSDT,864,0.0,140,204.48,-122.69,0.871,451
ETHUSDT,864,2.0,140,173.26,-57.42,0.9493,742
ETHUSDT,864,3.0,140,148.98,-28.65,0.9692,617
SOLUSDT,24,0.0,140,1680.18,-1677.63,0.5254,5663
SOLUSDT,24,2.0,140,1855.25,-1852.7,0.5261,6029
SOLUSDT,24,3.0,140,1768.22,-1765.42,0.5255,5782
SOLUSDT,48,0.0,140,830.55,-825.39,0.6295,3642
SOLUSDT,48,2.0,140,912.94,-902.14,0.6215,3961
SOLUSDT,48,3.0,140,863.5,-855.69,0.6333,3760
SOLUSDT,96,0.0,140,441.05,-424.43,0.7224,2360
SOLUSDT,96,2.0,140,514.28,-499.41,0.7124,2634
SOLUSDT,96,3.0,140,467.67,-447.54,0.7312,2475
SOLUSDT,144,0.0,140,334.42,-319.29,0.7712,1804
SOLUSDT,144,2.0,140,354.98,-343.11,0.7894,2079
SOLUSDT,144,3.0,140,329.17,-314.55,0.7907,1925
SOLUSDT,288,0.0,140,216.43,-174.11,0.8403,1123
SOLUSDT,288,2.0,140,220.31,-171.05,0.8457,1408
SOLUSDT,288,3.0,140,223.83,-186.0,0.8506,1266
SOLUSDT,576,0.0,140,170.14,-97.01,0.8824,645
SOLUSDT,576,2.0,140,149.76,-102.67,0.8941,937
SOLUSDT,576,3.0,140,172.33,-98.18,0.8884,801
SOLUSDT,864,0.0,140,154.63,-74.58,0.9099,449
SOLUSDT,864,2.0,140,110.58,4.8,1.0065,729
SOLUSDT,864,3.0,140,107.75,-14.69,0.9861,603
