quarter,signal,look,win,q,band,hold,contrarian,stop_k,train_pf_2x,train_n,test_trades,test_pf,test_pf_2x,symbol
2021Q3,crowd_z,0,864,0.02,8640,48,True,2.0,1.4284,178,51,1.3104,0.9125,BTCUSDT
2021Q4,crowd_z,0,864,0.02,8640,48,True,2.0,1.3308,229,41,1.1965,0.8633,BTCUSDT
2022Q1,crowd_z,0,864,0.02,8640,48,True,2.0,1.2523,270,28,1.2391,0.9495,BTCUSDT
2022Q2,crowd_z,0,864,0.02,8640,48,True,2.0,1.2234,298,46,0.9326,0.7347,BTCUSDT
2022Q3,crowd_z,0,864,0.02,8640,48,True,2.0,1.1468,344,45,0.8585,0.6358,BTCUSDT
2022Q4,crowd_z,0,864,0.02,8640,48,True,0.0,1.1379,376,41,0.8514,0.54,BTCUSDT
2023Q1,disagree,0,864,0.05,8640,48,False,0.0,1.1087,555,82,0.9942,0.6743,BTCUSDT
2023Q2,crowd_z,0,864,0.02,8640,48,True,0.0,1.045,451,43,1.6102,0.9556,BTCUSDT
2023Q3,crowd_z,0,864,0.02,8640,48,True,0.0,1.038,494,41,0.3105,0.2028,BTCUSDT
2023Q4,crowd_z,0,864,0.02,8640,48,True,3.0,0.8871,545,37,0.8956,0.5864,BTCUSDT
2024Q1,crowd_z,0,864,0.02,8640,48,True,3.0,0.863,582,43,1.0839,0.7979,BTCUSDT
2024Q2,crowd_z,0,864,0.02,8640,48,True,0.0,0.8635,614,37,0.772,0.5041,BTCUSDT
2024Q3,crowd_z,0,864,0.02,8640,48,True,0.0,0.845,651,50,1.3538,0.8519,BTCUSDT
2024Q4,crowd_z,0,864,0.02,8640,48,True,0.0,0.8454,701,33,1.2524,0.8695,BTCUSDT
2025Q1,crowd_z,0,864,0.02,8640,48,True,0.0,0.8465,734,41,0.9864,0.6192,BTCUSDT
2025Q2,crowd_z,0,864,0.02,8640,48,True,0.0,0.8339,775,37,0.4496,0.2876,BTCUSDT
2025Q3,crowd_z,0,864,0.02,8640,48,True,0.0,0.7936,812,45,0.8488,0.4567,BTCUSDT
2025Q4,crowd_z,0,864,0.02,8640,48,True,0.0,0.7753,857,35,0.8361,0.6284,BTCUSDT
2026Q1,crowd_z,0,864,0.02,8640,48,True,0.0,0.7686,892,39,0.3912,0.2715,BTCUSDT
2026Q2,crowd_z,0,288,0.02,8640,48,True,0.0,0.7439,1320,49,0.6303,0.4143,BTCUSDT
2026Q3,crowd_z,0,288,0.02,8640,48,True,0.0,0.7295,1369,40,1.4122,0.8218,BTCUSDT
2022Q4,disagree,0,864,0.02,2016,48,False,3.0,1.5914,45,15,1.1005,0.7223,ETHUSDT
2023Q1,disagree,0,864,0.2,8640,48,False,0.0,1.3344,41,285,0.7309,0.5211,ETHUSDT
2023Q2,dcrowd,144,288,0.02,8640,48,True,0.0,1.0887,190,36,1.6595,1.0531,ETHUSDT
2023Q3,dcrowd,144,288,0.02,8640,48,True,0.0,1.0835,226,34,0.5444,0.4013,ETHUSDT
2023Q4,dcrowd,144,288,0.02,8640,48,True,0.0,0.9189,260,38,0.6336,0.4368,ETHUSDT
2024Q1,dcrowd,144,288,0.02,8640,48,True,0.0,0.8432,298,45,0.5719,0.4417,ETHUSDT
2024Q2,dcrowd,144,288,0.02,8640,48,True,0.0,0.767,343,44,1.3745,1.0241,ETHUSDT
2024Q3,crowd_z,0,864,0.02,8640,48,True,0.0,0.7982,388,43,1.2223,0.8829,ETHUSDT
2024Q4,crowd_z,0,864,0.02,8640,48,True,0.0,0.8053,431,38,0.3672,0.2844,ETHUSDT
2025Q1,dcrowd,144,288,0.02,8640,48,True,0.0,0.812,469,46,1.2947,0.9917,ETHUSDT
2025Q2,dcrowd,144,288,0.02,8640,48,True,0.0,0.8261,515,42,0.9913,0.7928,ETHUSDT
2025Q3,crowd_z,0,864,0.02,8640,48,True,0.0,0.8479,563,45,0.9993,0.7704,ETHUSDT
2025Q4,crowd_z,0,864,0.02,8640,48,True,0.0,0.8421,608,40,0.9309,0.7695,ETHUSDT
2026Q1,crowd_z,0,864,0.02,8640,48,True,0.0,0.837,648,45,1.6567,1.2703,ETHUSDT
2026Q2,crowd_z,0,864,0.02,8640,48,True,0.0,0.8612,693,29,1.2899,0.8677,ETHUSDT
2026Q3,crowd_z,0,864,0.02,8640,48,True,0.0,0.8614,722,27,0.8425,0.5537,ETHUSDT
2023Q1,disagree,0,864,0.2,8640,48,False,0.0,1.6566,50,281,0.6825,0.5714,SOLUSDT
2023Q2,disagree,0,864,0.02,8640,48,True,3.0,1.1127,56,44,0.4129,0.3107,SOLUSDT
2023Q3,crowd_z,0,864,0.02,8640,48,True,1.5,0.9835,257,45,0.8587,0.6932,SOLUSDT
2023Q4,crowd_z,0,864,0.02,8640,48,True,0.0,0.9338,271,33,2.2604,1.9,SOLUSDT
2024Q1,crowd_z,0,864,0.02,8640,48,True,0.0,1.0026,304,48,0.5598,0.4399,SOLUSDT
2024Q2,crowd_z,0,864,0.02,8640,48,True,0.0,0.9208,352,43,1.044,0.8319,SOLUSDT
2024Q3,crowd_z,0,864,0.02,8640,48,True,0.0,0.9123,395,51,1.6294,1.3104,SOLUSDT
2024Q4,crowd_z,0,864,0.02,8640,48,True,0.0,0.9479,446,45,1.3266,1.091,SOLUSDT
2025Q1,crowd_z,0,864,0.02,8640,48,True,0.0,0.961,491,43,2.4462,1.9612,SOLUSDT
2025Q2,crowd_z,0,864,0.02,8640,48,True,0.0,1.0127,534,51,0.5081,0.4007,SOLUSDT
2025Q3,crowd_z,0,864,0.02,8640,48,True,3.0,0.9574,594,41,1.7354,1.2801,SOLUSDT
2025Q4,crowd_z,0,864,0.02,8640,48,True,3.0,0.9694,635,38,0.6257,0.5095,SOLUSDT
2026Q1,crowd_z,0,864,0.02,8640,48,True,3.0,0.9367,673,42,1.5418,1.2704,SOLUSDT
2026Q2,crowd_z,0,864,0.02,8640,48,True,3.0,0.9583,715,41,0.4376,0.2993,SOLUSDT
2026Q3,crowd_z,0,864,0.02,8640,48,True,3.0,0.9208,756,27,1.1492,0.8149,SOLUSDT
