symbol,tf,level,min_pen,max_pen,close_frac,conf,stop_buf,target_mode,rr,min_risk_bps,revert,trades,tpd,win_rate,pf_0x,pf_1x,pf_2x,maxdd_r_2x,total_r_2x,pf_3x
BTCUSDT,15m,day,0.0,0.0,1.0,none,0.1,0,0.0,25.0,1,1776,0.73,0.3339,1.0588,0.718,0.5055,-912.7,-906.3,0.3637
BTCUSDT,15m,day,0.0,0.0,1.0,none,0.1,1,1.0,100.0,1,526,0.216,0.5057,1.0806,0.8762,0.707,-98.36,-85.4,0.5648
BTCUSDT,15m,day,0.0,0.0,1.0,none,0.1,2,0.0,25.0,1,1599,0.657,0.2195,1.2233,0.8946,0.6872,-619.52,-605.9,0.5452
BTCUSDT,15m,day,0.0,0.0,1.0,none,0.35,0,0.0,100.0,1,649,0.267,0.4499,0.9277,0.758,0.62,-153.24,-151.5,0.5075
BTCUSDT,15m,day,0.0,0.0,1.0,none,0.35,1,2.0,25.0,1,1813,0.745,0.3574,1.0623,0.7351,0.5186,-830.1,-826.4,0.3652
BTCUSDT,15m,day,0.0,0.0,1.0,none,0.35,2,0.0,100.0,1,608,0.25,0.3224,0.9969,0.8561,0.7404,-125.83,-121.1,0.6441
BTCUSDT,15m,day,0.0,0.0,1.0,oi,0.1,1,1.0,25.0,1,1142,0.469,0.521,1.0964,0.6006,0.2905,-611.83,-611.1,0.1303
BTCUSDT,15m,day,0.0,0.0,1.0,oi,0.1,1,2.0,100.0,1,236,0.097,0.411,1.1497,0.9753,0.8311,-39.18,-27.1,0.7104
BTCUSDT,15m,day,0.0,0.0,1.0,oi,0.35,0,0.0,25.0,1,1221,0.502,0.3497,0.9775,0.6587,0.457,-666.2,-655.9,0.3223
BTCUSDT,15m,day,0.0,0.0,1.0,oi,0.35,1,1.0,100.0,1,324,0.133,0.5216,1.0929,0.8895,0.7208,-54.52,-50.3,0.5793
BTCUSDT,15m,day,0.0,0.0,1.0,oi,0.35,2,0.0,25.0,1,1126,0.463,0.2256,1.0795,0.7948,0.6108,-533.95,-516.7,0.483
BTCUSDT,15m,day,0.0,0.0,1.0,flow,0.1,0,0.0,100.0,1,384,0.158,0.4583,1.1504,0.9536,0.7931,-55.68,-47.5,0.6618
BTCUSDT,15m,day,0.0,0.0,1.0,flow,0.1,1,2.0,25.0,1,1471,0.604,0.3678,1.1191,0.744,0.505,-720.1,-711.4,0.3401
BTCUSDT,15m,day,0.0,0.0,1.0,flow,0.1,2,0.0,100.0,1,368,0.151,0.337,1.133,0.9758,0.8465,-58.91,-42.3,0.7389
BTCUSDT,15m,day,0.0,0.0,1.0,flow,0.35,1,1.0,25.0,1,1551,0.637,0.519,1.0884,0.6492,0.3593,-712.37,-710.9,0.1867
BTCUSDT,15m,day,0.0,0.0,1.0,flow,0.35,1,2.0,100.0,1,494,0.203,0.3887,1.1356,0.9676,0.8291,-64.24,-58.9,0.7131
BTCUSDT,15m,day,0.0,0.0,1.0,crowd,0.1,0,0.0,25.0,1,509,0.209,0.3851,1.4009,0.9748,0.701,-167.83,-138.4,0.5141
BTCUSDT,15m,day,0.0,0.0,1.0,crowd,0.1,1,1.0,100.0,1,166,0.068,0.5723,1.4071,1.1511,0.9386,-19.44,-4.9,0.7596
BTCUSDT,15m,day,0.0,0.0,1.0,crowd,0.1,2,0.0,25.0,1,498,0.205,0.2671,1.5974,1.1899,0.9259,-112.54,-40.5,0.7414
BTCUSDT,15m,day,0.0,0.0,1.0,crowd,0.35,0,0.0,100.0,1,198,0.081,0.4596,1.1237,0.9406,0.7898,-38.15,-25.0,0.6645
BTCUSDT,15m,day,0.0,0.0,1.0,crowd,0.35,1,2.0,25.0,1,538,0.221,0.3959,1.2686,0.8973,0.6464,-169.31,-164.0,0.4658
BTCUSDT,15m,day,0.0,0.0,1.0,crowd,0.35,2,0.0,100.0,1,196,0.081,0.3367,1.0629,0.9198,0.8012,-32.06,-28.9,0.7019
BTCUSDT,15m,day,0.0,0.0,1.0,crowd+oi,0.1,1,1.0,25.0,1,340,0.14,0.5294,1.1472,0.6693,0.3604,-156.78,-153.9,0.1898
BTCUSDT,15m,day,0.0,0.0,1.0,crowd+oi,0.1,1,2.0,100.0,1,94,0.039,0.4362,1.3694,1.1721,1.0086,-10.53,0.5,0.8717
BTCUSDT,15m,day,0.0,0.0,1.0,crowd+oi,0.35,0,0.0,25.0,1,375,0.154,0.384,1.1693,0.8111,0.5776,-143.66,-139.8,0.418
