quarter,level,min_pen,max_pen,close_frac,conf,stop_buf,target_mode,rr,min_risk_bps,train_pf_2x,test_trades,test_pf,test_pf_2x,symbol,tf
2021Q1,day,0.0,1.5,1.0,crowd,0.1,2,0.0,25.0,1.6587,40,1.6574,1.4062,BTCUSDT,15m
2021Q2,week,0.5,0.0,1.0,flow,0.1,1,1.0,100.0,1.6386,14,0.7023,0.5878,BTCUSDT,15m
2021Q3,day,0.0,1.5,1.0,crowd+oi,0.1,2,0.0,100.0,1.4538,2,2.0848,1.613,BTCUSDT,15m
2021Q4,week,0.5,1.5,0.5,flow,0.1,2,0.0,100.0,1.5235,6,1.8282,1.5879,BTCUSDT,15m
2022Q1,week,0.5,0.0,0.5,crowd,0.1,2,0.0,100.0,1.9026,6,0.6483,0.5438,BTCUSDT,15m
2022Q2,week,0.25,0.0,0.5,crowd+oi,0.35,2,0.0,100.0,1.715,1,0.0,0.0,BTCUSDT,15m
2022Q3,week,0.5,1.5,0.5,crowd,0.1,2,0.0,100.0,1.6918,5,0.3498,0.3047,BTCUSDT,15m
2022Q4,week,0.5,0.0,0.5,crowd,0.1,2,0.0,100.0,1.5975,1,0.0,0.0,BTCUSDT,15m
2023Q1,week,0.5,0.0,0.5,crowd,0.1,2,0.0,100.0,1.5359,1,0.0,0.0,BTCUSDT,15m
2023Q2,week,0.5,0.0,0.5,crowd,0.1,2,0.0,100.0,1.5294,2,1.6188,1.404,BTCUSDT,15m
2024Q1,week,0.5,0.0,0.5,crowd,0.1,2,0.0,100.0,1.5249,5,0.4165,0.3034,BTCUSDT,15m
2024Q2,week,0.5,0.0,0.5,crowd,0.1,2,0.0,100.0,1.4425,3,0.873,0.7479,BTCUSDT,15m
2024Q3,week,0.5,0.0,0.5,crowd,0.1,2,0.0,100.0,1.4007,4,1.4331,1.2627,BTCUSDT,15m
2025Q1,week,0.5,0.0,0.5,crowd,0.1,2,0.0,100.0,1.3888,4,1.9627,1.7805,BTCUSDT,15m
2025Q2,week,0.5,0.0,0.5,crowd,0.1,2,0.0,100.0,1.4084,1,0.0,0.0,BTCUSDT,15m
2025Q4,week,0.5,0.0,0.5,crowd,0.1,2,0.0,100.0,1.3705,1,0.0,0.0,BTCUSDT,15m
2026Q2,week,0.5,0.0,0.5,crowd,0.1,2,0.0,100.0,1.3388,3,11.4276,7.5158,BTCUSDT,15m
2021Q1,day,0.25,0.0,0.5,crowd,0.1,2,0.0,25.0,2.1698,32,0.2699,0.2364,BTCUSDT,30m
2021Q2,day,0.0,0.0,1.0,crowd,0.1,2,0.0,25.0,1.4721,40,0.4601,0.3897,BTCUSDT,30m
2021Q3,week,0.5,0.0,0.5,crowd,0.35,2,0.0,25.0,1.6803,12,1.3069,1.1512,BTCUSDT,30m
2021Q4,week,0.5,0.0,0.5,crowd,0.35,2,0.0,25.0,1.534,10,0.5069,0.4267,BTCUSDT,30m
2022Q1,week,0.5,0.0,1.0,crowd+oi,0.35,2,0.0,25.0,1.529,6,1.4049,1.2264,BTCUSDT,30m
2022Q2,week,0.0,0.0,0.5,crowd+oi,0.1,2,0.0,100.0,1.7329,1,inf,inf,BTCUSDT,30m
2022Q3,week,0.25,0.0,1.0,crowd+oi,0.1,2,0.0,100.0,2.058,8,1.1113,0.9987,BTCUSDT,30m
2022Q4,week,0.25,0.0,1.0,crowd+oi,0.1,2,0.0,100.0,1.76,1,inf,inf,BTCUSDT,30m
2023Q1,week,0.5,0.0,0.5,crowd+oi,0.35,2,0.0,25.0,1.8612,3,9.4176,8.642,BTCUSDT,30m
2023Q2,week,0.25,0.0,1.0,crowd+oi,0.1,2,0.0,100.0,2.1273,2,0.0,0.0,BTCUSDT,30m
2024Q1,week,0.25,0.0,1.0,crowd+oi,0.1,2,0.0,100.0,1.9567,6,0.2609,0.2348,BTCUSDT,30m
2024Q2,week,0.5,1.5,1.0,crowd+oi,0.35,1,1.0,100.0,1.6807,3,0.4048,0.3217,BTCUSDT,30m
2024Q4,week,0.25,0.0,1.0,crowd+oi,0.1,2,0.0,100.0,1.6143,3,3.2227,2.833,BTCUSDT,30m
2025Q1,week,0.25,0.0,1.0,crowd+oi,0.1,2,0.0,100.0,1.6914,4,3.7312,3.3448,BTCUSDT,30m
2025Q2,week,0.25,0.0,1.0,crowd+oi,0.1,2,0.0,100.0,1.7352,1,inf,inf,BTCUSDT,30m
