tpd,avg_R,sd_R,sharpe_ann,risk,pass_rate,p_any3,median_days,p25_days,fail_daily,fail_max,exp_days_1,exp_days_any3,bps_at_stop50,bps_at_stop100,bps_at_stop200
0.5,0.01,1.0,0.11224972160321825,0.03,0.3332,0.703525890368,15.0,11.0,0.5965,0.066,45.01800720288115,15.006002400960384,0.5,1.0,2.0
0.5,0.02,1.0,0.2244994432064365,0.04,0.2795,0.6259738598750002,14.0,11.0,0.6873,0.0323,50.089445438282645,16.696481812760883,1.0,2.0,4.0
0.5,0.03,1.0,0.3367491648096547,0.03,0.3367,0.708169961863,16.0,12.0,0.6025,0.0597,47.52004752004752,15.84001584001584,1.5,3.0,6.0
0.5,0.05,1.0,0.5612486080160912,0.03,0.3172,0.6816678244479999,15.0,11.0,0.6392,0.0425,47.28877679697352,15.762925598991174,2.5,5.0,10.0
0.5,0.08,1.0,0.897997772825746,0.03,0.3058,0.6654555511120002,14.0,10.0,0.6308,0.0615,45.78155657292348,15.26051885764116,4.0,8.0,16.0
0.5,0.12,1.0,1.3469966592386189,0.03,0.5005,0.875374625125,16.0,11.0,0.452,0.046,31.968031968031973,10.656010656010658,6.0,12.0,24.0
0.5,0.2,1.0,2.244994432064365,0.03,0.5242,0.892285712488,15.0,12.0,0.4407,0.0323,28.61503243037009,9.538344143456696,10.0,20.0,40.0
1.0,0.01,1.0,0.15874507866387544,0.03,0.262,0.5980527280000001,9.0,7.0,0.6863,0.0493,34.351145038167935,11.450381679389311,0.5,1.0,2.0
1.0,0.02,1.0,0.3174901573277509,0.025,0.3623,0.7406720953670001,11.0,8.0,0.5593,0.0747,30.361578802097707,10.120526267365902,1.0,2.0,4.0
1.0,0.03,1.0,0.4762352359916263,0.03,0.3305,0.6999098476250001,9.0,7.0,0.6055,0.0638,27.23146747352496,9.07715582450832,1.5,3.0,6.0
1.0,0.05,1.0,0.7937253933193773,0.03,0.3735,0.754097340375,9.0,7.0,0.5833,0.0387,24.096385542168676,8.032128514056225,2.5,5.0,10.0
1.0,0.08,1.0,1.2699606293110035,0.03,0.3965,0.780197907125,9.0,7.0,0.5717,0.0302,22.69861286254729,7.566204287515763,4.0,8.0,16.0
1.0,0.12,1.0,1.9049409439665053,0.03,0.4045,0.788823641125,9.0,7.0,0.5405,0.053,22.249690976514213,7.416563658838071,6.0,12.0,24.0
1.0,0.2,1.0,3.174901573277509,0.025,0.5753,0.923396822777,10.0,7.0,0.3648,0.0575,17.38223535546671,5.794078451822237,10.0,20.0,40.0
2.0,0.01,1.0,0.2244994432064365,0.03,0.257,0.589827593,6.0,5.0,0.7137,0.028,23.346303501945524,7.782101167315175,0.5,1.0,2.0
2.0,0.02,1.0,0.448998886412873,0.03,0.2772,0.622380483648,6.0,5.0,0.6863,0.0352,21.645021645021647,7.2150072150072155,1.0,2.0,4.0
2.0,0.03,1.0,0.6734983296193094,0.03,0.3053,0.664732159877,6.0,5.0,0.6705,0.0235,19.652800524074678,6.550933508024893,1.5,3.0,6.0
2.0,0.05,1.0,1.1224972160321824,0.03,0.3202,0.685845358408,6.0,5.0,0.6583,0.0215,18.738288569643974,6.2460961898813245,2.5,5.0,10.0
2.0,0.08,1.0,1.795995545651492,0.025,0.3815,0.763397618375,6.0,5.0,0.5635,0.054,15.727391874180865,5.242463958060289,4.0,8.0,16.0
2.0,0.12,1.0,2.6939933184772378,0.02,0.529,0.895512889,7.0,6.0,0.4052,0.0633,13.232514177693762,4.410838059231254,6.0,12.0,24.0
2.0,0.2,1.0,4.48998886412873,0.025,0.544,0.905181184,6.0,5.0,0.4253,0.0297,11.029411764705882,3.676470588235294,10.0,20.0,40.0
4.0,0.01,1.0,0.3174901573277509,0.02,0.3152,0.6788623278079999,5.0,5.0,0.6475,0.0357,15.862944162436548,5.287648054145516,0.5,1.0,2.0
4.0,0.02,1.0,0.6349803146555018,0.02,0.3177,0.682366636233,5.0,5.0,0.6328,0.0485,15.738117721120554,5.246039240373518,1.0,2.0,4.0
4.0,0.03,1.0,0.9524704719832526,0.02,0.3065,0.666466549625,5.0,5.0,0.6647,0.0275,16.31321370309951,5.43773790103317,1.5,3.0,6.0
4.0,0.05,1.0,1.5874507866387546,0.02,0.37,0.749953,5.0,5.0,0.5942,0.0338,13.513513513513514,4.504504504504505,2.5,5.0,10.0
4.0,0.08,1.0,2.539921258622007,0.02,0.4032,0.787437600768,5.0,5.0,0.5685,0.027,12.40079365079365,4.133597883597884,4.0,8.0,16.0
4.0,0.12,1.0,3.8098818879330105,0.02,0.459,0.8416595790000001,5.0,5.0,0.5038,0.0348,10.893246187363834,3.6310820624546114,6.0,12.0,24.0
4.0,0.2,1.0,6.349803146555018,0.0175,0.6783,0.966706980687,5.0,5.0,0.2953,0.0253,7.371369600471768,2.457123200157256,10.0,20.0,40.0
8.0,0.01,1.0,0.448998886412873,0.015,0.2472,0.573382338048,5.0,5.0,0.7137,0.038,20.22653721682848,6.742179072276159,0.5,1.0,2.0
8.0,0.02,1.0,0.897997772825746,0.015,0.315,0.678580875,5.0,5.0,0.6542,0.03,15.873015873015873,5.291005291005291,1.0,2.0,4.0
8.0,0.03,1.0,1.3469966592386189,0.0125,0.3675,0.746964421875,5.0,5.0,0.5787,0.0522,13.60544217687075,4.535147392290249,1.5,3.0,6.0
8.0,0.05,1.0,2.244994432064365,0.0125,0.421,0.805895461,5.0,5.0,0.536,0.0428,11.876484560570072,3.9588281868566906,2.5,5.0,10.0
8.0,0.08,1.0,3.591991091302984,0.0125,0.512,0.883785728,5.0,5.0,0.448,0.0385,9.765625,3.2552083333333335,4.0,8.0,16.0
8.0,0.12,1.0,5.3879866369544755,0.0125,0.6078,0.939671466552,5.0,5.0,0.3675,0.0222,8.226390259953932,2.742130086651311,6.0,12.0,24.0
8.0,0.2,1.0,8.97997772825746,0.01,0.8515,0.996725240875,5.0,5.0,0.1375,0.0085,5.871990604815032,1.9573302016050107,10.0,20.0,40.0
