tpd,risk,pass_rate,p_any3,median_days,fail_daily,fail_max
0.5,0.0025,0.0005,0.0014992501249998513,305.5,0.0,0.0
0.5,0.005,0.167,0.4219904630000001,165.0,0.0,0.352
0.5,0.0075,0.305,0.6642976249999999,129.0,0.0,0.5907
0.5,0.01,0.3083,0.669056902787,73.0,0.0375,0.6382
0.5,0.0125,0.34,0.712504,55.0,0.145,0.499
0.5,0.015,0.3762,0.757262926728,43.0,0.2065,0.4017
0.5,0.0175,0.352,0.7279022079999999,34.0,0.3205,0.312
0.5,0.02,0.305,0.6642976249999999,26.0,0.4233,0.2575
0.5,0.025,0.321,0.6869531609999999,20.0,0.5315,0.1435
0.5,0.03,0.2777,0.6231636014330001,17.0,0.6448,0.0752
0.5,0.04,0.2303,0.544000402127,14.0,0.7388,0.0288
0.5,0.05,0.2018,0.491448229832,13.0,0.7863,0.0097
1.0,0.0025,0.0737,0.20520524555300002,282.0,0.0,0.2283
1.0,0.005,0.3167,0.680967988463,164.0,0.0,0.584
1.0,0.0075,0.3365,0.707905902125,73.0,0.0,0.6358
1.0,0.01,0.3417,0.7147198427129999,42.0,0.0865,0.556
1.0,0.0125,0.3412,0.7140693105279999,29.0,0.169,0.478
1.0,0.015,0.3513,0.7270194566969999,22.0,0.355,0.2873
1.0,0.0175,0.3347,0.705522192923,16.0,0.441,0.2188
1.0,0.02,0.3317,0.701520586013,13.0,0.4893,0.1767
1.0,0.025,0.2833,0.631860673537,10.0,0.6358,0.0788
1.0,0.03,0.2557,0.587670832693,9.0,0.713,0.029
1.0,0.04,0.1995,0.487039399875,8.0,0.7785,0.0198
1.0,0.05,0.168,0.42406963200000003,8.0,0.8177,0.012
2.0,0.0025,0.073,0.20340201699999994,148.5,0.0,0.7943
2.0,0.005,0.1985,0.485114596625,74.0,0.0,0.7933
2.0,0.0075,0.2815,0.629079943375,40.0,0.0945,0.6195
2.0,0.01,0.293,0.6466067569999998,23.0,0.2547,0.449
2.0,0.0125,0.2722,0.614489551048,15.0,0.3535,0.3715
2.0,0.015,0.2662,0.604876261528,10.0,0.5122,0.2198
2.0,0.0175,0.2815,0.629079943375,9.0,0.553,0.1638
2.0,0.02,0.258,0.591481512,8.0,0.6438,0.0965
2.0,0.025,0.245,0.569631125,7.0,0.7145,0.0405
2.0,0.03,0.2167,0.5193993214629999,6.0,0.749,0.0343
2.0,0.04,0.163,0.41362374700000004,6.0,0.8297,0.0073
2.0,0.05,0.1343,0.3512128306069999,6.0,0.8608,0.005
4.0,0.0025,0.4665,0.8481540296250001,161.0,0.0,0.4675
4.0,0.005,0.4695,0.850701252375,44.0,0.0245,0.4858
4.0,0.0075,0.4238,0.8086978892719999,21.0,0.1492,0.4135
4.0,0.01,0.3997,0.783675837973,13.0,0.3202,0.2767
4.0,0.0125,0.3212,0.6872297041279999,8.0,0.5132,0.1623
4.0,0.015,0.3147,0.678158387523,6.0,0.5843,0.0978
4.0,0.0175,0.2965,0.651829232125,6.0,0.65,0.0527
4.0,0.02,0.2732,0.616076447168,5.0,0.6927,0.0333
4.0,0.025,0.2437,0.567404197453,5.0,0.7438,0.0118
4.0,0.03,0.2107,0.508270449043,5.0,0.7817,0.0067
4.0,0.04,0.1638,0.41530350607199984,5.0,0.8307,0.0047
4.0,0.05,0.1373,0.35793441211699994,5.0,0.862,0.0008
8.0,0.0025,0.2392,0.5596363002879999,74.0,0.0,0.7133
8.0,0.005,0.3417,0.7147198427129999,23.0,0.1013,0.531
8.0,0.0075,0.3432,0.7166655175679999,12.0,0.3822,0.2722
8.0,0.01,0.286,0.636005656,7.0,0.586,0.126
8.0,0.0125,0.276,0.6204965760000001,6.0,0.6583,0.0643
8.0,0.015,0.2545,0.5856732786249998,5.0,0.7045,0.0395
8.0,0.0175,0.2315,0.5461298558750001,5.0,0.7425,0.0245
8.0,0.02,0.2042,0.4960217380879999,5.0,0.7802,0.0143
8.0,0.025,0.172,0.4323364479999998,5.0,0.822,0.0047
8.0,0.03,0.1442,0.37321752288800003,5.0,0.8522,0.0022
8.0,0.04,0.105,0.2830826249999999,5.0,0.8918,0.002
8.0,0.05,0.0828,0.228400143552,5.0,0.914,0.002
