symbol,horizon_h,phase,spread_bps,top_bps,bottom_bps,null_bps,n
BTCUSDT,4,qhour,-0.47,1.61,2.08,0.35,233674
BTCUSDT,4,hour,0.97,1.91,0.94,0.78,58420
BTCUSDT,4,other,-1.86,1.16,3.02,0.16,467347
BTCUSDT,8,qhour,0.63,2.92,2.29,-0.71,233658
BTCUSDT,8,hour,2.45,2.76,0.32,-1.63,58416
BTCUSDT,8,other,-3.3,1.65,4.95,-0.24,467315
BTCUSDT,12,qhour,1.83,5.17,3.33,-0.69,233642
BTCUSDT,12,hour,4.21,5.86,1.65,-1.54,58412
BTCUSDT,12,other,-2.95,4.37,7.32,-0.95,467283
ETHUSDT,4,qhour,0.41,1.89,1.48,-0.72,233680
ETHUSDT,4,hour,4.58,3.19,-1.39,-0.88,58421
ETHUSDT,4,other,-1.42,1.09,2.51,0.53,467360
ETHUSDT,8,qhour,0.95,4.69,3.74,-2.12,233664
ETHUSDT,8,hour,3.85,6.01,2.16,-1.92,58417
ETHUSDT,8,other,-1.88,1.97,3.85,0.72,467328
ETHUSDT,12,qhour,0.97,7.09,6.12,-2.41,233648
ETHUSDT,12,hour,8.05,11.69,3.64,-2.03,58413
ETHUSDT,12,other,-1.47,4.72,6.19,0.34,467296
XRPUSDT,4,qhour,-2.14,0.27,2.41,0.03,232683
XRPUSDT,4,hour,-0.85,0.35,1.2,-0.08,58172
XRPUSDT,4,other,-1.98,-0.63,1.35,0.34,465366
XRPUSDT,8,qhour,0.22,2.4,2.17,-0.62,232667
XRPUSDT,8,hour,-2.3,0.24,2.54,-2.68,58168
XRPUSDT,8,other,-0.9,0.55,1.45,0.76,465334
XRPUSDT,12,qhour,1.08,2.92,1.84,0.41,232651
XRPUSDT,12,hour,1.59,3.17,1.58,-0.51,58164
XRPUSDT,12,other,0.68,2.01,1.33,0.44,465302
SOLUSDT,4,qhour,-0.88,1.98,2.86,-0.14,208500
SOLUSDT,4,hour,1.02,3.53,2.51,-0.74,52126
SOLUSDT,4,other,-3.58,0.06,3.64,0.56,417000
SOLUSDT,8,qhour,1.01,3.96,2.95,0.63,208484
SOLUSDT,8,hour,0.12,4.46,4.33,2.36,52122
SOLUSDT,8,other,-4.8,1.32,6.12,-0.88,416968
SOLUSDT,12,qhour,1.27,5.67,4.39,0.45,208468
SOLUSDT,12,hour,1.75,7.02,5.27,3.03,52118
SOLUSDT,12,other,-3.45,3.39,6.85,-0.0,416936
DOGEUSDT,4,qhour,-0.19,1.31,1.5,-0.25,215404
DOGEUSDT,4,hour,-0.1,2.06,2.16,2.78,53852
DOGEUSDT,4,other,-3.14,0.12,3.26,-0.16,430806
DOGEUSDT,8,qhour,-1.45,1.52,2.97,0.18,215388
DOGEUSDT,8,hour,-5.5,-0.37,5.12,3.51,53848
DOGEUSDT,8,other,-3.36,0.23,3.59,-0.11,430774
DOGEUSDT,12,qhour,0.2,1.22,1.02,-1.03,215372
DOGEUSDT,12,hour,-1.53,3.21,4.74,0.04,53844
DOGEUSDT,12,other,-1.57,1.25,2.82,0.75,430742
ADAUSDT,4,qhour,-1.16,-0.28,0.88,-0.95,230862
ADAUSDT,4,hour,1.25,0.78,-0.48,0.05,57717
ADAUSDT,4,other,-1.69,-1.22,0.47,-0.33,461723
ADAUSDT,8,qhour,1.99,1.85,-0.14,-1.76,230846
ADAUSDT,8,hour,1.54,1.52,-0.03,-0.25,57713
ADAUSDT,8,other,-2.02,-1.9,0.13,-0.44,461691
ADAUSDT,12,qhour,2.04,2.22,0.17,-0.83,230830
ADAUSDT,12,hour,3.58,3.55,-0.03,-2.85,57709
ADAUSDT,12,other,-0.57,-0.7,-0.13,-1.5,461659
