entry_bar,exit_bar_ref,dir_ref,entry_px_ref,exit_px_ref,r_ref,exit_bar_nau,dir_nau,entry_px_nau,exit_px_nau,r_nau,reason,_merge
533,533.0,1.0,38114.26,37928.38139968889,-1.2863688928725092,533.0,1.0,38114.3,37928.418969686274,-1.286365441319847,stop,both
566,575.0,1.0,41441.1,44073.32,4.834717799294222,576.0,1.0,41441.100000000006,43736.1,4.201358286410841,session,both
607,622.0,-1.0,42309.57,42601.10911023896,-1.2038747917164414,622.0,-1.0,42309.6,42601.13732675258,-1.2038761787068468,stop,both
664,664.0,1.0,44027.2,43622.368794914364,-1.1515562471115843,664.0,1.0,44027.2,43622.369778232394,-1.1515566169365201,stop,both
739,741.0,1.0,45402.38,44904.014752082476,-1.1268436685555505,741.0,1.0,45402.4,44904.036114121285,-1.126844073318886,stop,both
778,785.0,1.0,44963.04,44752.04861593621,-1.2976451493970447,785.0,1.0,44963.0,44752.01110484037,-1.297648403371524,stop,both
802,815.0,-1.0,44462.0,41732.35,8.579427259927035,816.0,-1.0,44462.0,42566.0,5.898088585877759,session,both
839,839.0,-1.0,41022.33,41251.69894985037,-1.2510881281118058,839.0,-1.0,41022.3,41251.67017131227,-1.2510866116131405,stop,both
863,863.0,-1.0,39820.31,40070.8232340554,-1.223236881974355,863.0,-1.0,39820.3,40070.81307357958,-1.2232369686436526,stop,both
867,867.0,-1.0,38845.56,39279.01198165213,-1.1261666867428104,867.0,-1.0,38845.6,39279.051612165924,-1.1261669228896105,stop,both
970,983.0,1.0,47159.99,48299.99,1.3860998658913157,984.0,1.0,47160.0,48145.0,1.1860502823950612,session,both
988,988.0,1.0,49917.8,49395.34374416206,-1.1330622417553642,988.0,1.0,49917.8,49395.3423990285,-1.133061897367468,stop,both
989,,,,,,993.0,1.0,49532.0,48984.03986351783,-1.1258508116068193,stop,right_only
999,1007.0,1.0,51555.12,51880.0,0.5219311591879462,1008.0,1.0,51555.100000000006,52280.3,1.348919308293073,session,both
1073,1079.0,1.0,54487.1,57037.34,4.827959834287738,1080.0,1.0,54487.100000000006,56916.4,4.591950729635706,session,both
1083,1103.0,1.0,58941.11,61987.28,2.352677964683996,1104.0,1.0,58941.100000000006,61931.100000000006,2.308084607952649,session,both
1113,1113.0,1.0,65229.99,64715.712471069026,-1.17687335458509,1113.0,1.0,65230.0,64715.72469024823,-1.1768741480649305,stop,both
1114,,,,,,1117.0,1.0,66451.7,65737.98068739142,-1.1296486936061323,stop,right_only
1115,1117.0,1.0,67405.25,66479.42968197152,-1.1012283635953906,,,,,,,left_only
1154,,,,,,1162.0,1.0,71020.0,70554.62252620384,-1.2129502207314513,stop,right_only
1175,1175.0,-1.0,69415.09,70037.45187321724,-1.1568489065800702,1175.0,-1.0,69415.1,70037.4616473895,-1.1568489857346287,stop,both
1177,,,,,,1177.0,-1.0,68224.0,68819.15248950923,-1.1611859287050317,stop,right_only
1178,,,,,,1180.0,-1.0,68448.3,69157.02361568945,-1.1359115519768195,stop,right_only
1179,1179.0,-1.0,67757.75,68639.16214970435,-1.1083237150030434,,,,,,,left_only
1203,1203.0,-1.0,63081.34,63903.5557502425,-1.108109613564266,1203.0,-1.0,63081.299999999996,63903.51822070786,-1.1081092227291789,stop,both
1240,1247.0,1.0,69792.06,69988.0,0.1213775366517739,1248.0,1.0,69792.09999999999,70388.0,0.6159233676584749,session,both
1288,1288.0,-1.0,64889.99,65843.70145663967,-1.0959552109629522,1288.0,-1.0,64890.0,65843.71053333706,-1.0959553178605719,stop,both
1323,1323.0,1.0,72404.0,71658.8571330059,-1.135335120900919,1323.0,1.0,72404.0,71658.85863688184,-1.1353353954527852,stop,both
1349,1351.0,-1.0,66843.98,67468.55473024765,-1.1505324659450926,1351.0,-1.0,66844.0,67468.57250372697,-1.1505330449092321,stop,both
1378,1378.0,-1.0,60304.95,60912.142885799345,-1.139744662700316,1378.0,-1.0,60304.99999999999,60912.19095044149,-1.1397452211756625,stop,both
1546,1559.0,1.0,64725.12,67024.0,4.541935929430852,1560.0,1.0,64725.100000000006,66945.1,4.379679621426597,session,both
1578,1581.0,1.0,71446.62,70673.22545398869,-1.1286327817164754,1581.0,1.0,71446.59999999999,70673.20275856294,-1.128632294765025,stop,both
1787,1787.0,-1.0,59306.72,60171.07548079291,-1.0967593295756441,1787.0,-1.0,59306.700000000004,60171.059492894754,-1.0967588513026383,stop,both
1849,,,,,,1851.0,-1.0,55228.0,56403.678742175776,-1.0664655847862903,stop,right_only
2035,2039.0,-1.0,53890.87,54018.81,-0.1175967869227216,2040.0,-1.0,53890.899999999994,55621.1874689562,-1.044303887419652,stop,both
2230,2231.0,-1.0,54045.0,53962.97,0.010301195027908834,2232.0,-1.0,54045.0,53818.899999999994,0.24147101464475781,session,both
2593,,,,,,2593.0,1.0,74348.5,73431.9554352045,-1.1128655635285105,stop,right_only
2618,,,,,,2640.0,1.0,78832.4,89937.0,17.743954828275793,session,right_only
2626,2639.0,1.0,84059.53,90375.2,5.098085761453988,,,,,,,left_only
2767,2767.0,1.0,102964.0,101838.97396085251,-1.127430012092187,2767.0,1.0,102964.0,101838.9735655474,-1.1274299670706263,stop,both
2768,,,,,,2769.0,1.0,102236.09999999999,100941.66979009782,-1.1098741653007391,stop,right_only
2850,2850.0,-1.0,100204.01,101154.84124786567,-1.148239970225953,2850.0,-1.0,100204.0,101154.83167774511,-1.1482398887978584,stop,both
2855,2855.0,-1.0,97199.72,97461.86,-0.291256141832009,2856.0,-1.0,97199.7,97106.0,-0.03093400622639771,session,both
2859,2859.0,-1.0,92723.99,94760.83005633074,-1.0644328324315526,2859.0,-1.0,92724.0,94760.8407747724,-1.0644328168248727,stop,both
3044,3045.0,1.0,107120.65,106052.75119947101,-1.139733634653134,3045.0,1.0,107120.7,106052.798256201,-1.139733313149661,stop,both
3260,3263.0,-1.0,89320.01,88680.4,0.3957445211930237,3264.0,-1.0,89320.0,88900.0,0.22687339902470502,session,both
3269,3271.0,-1.0,83856.98,85540.60633909727,-1.070430301358289,3271.0,-1.0,83857.0,85540.62666979113,-1.070430304292793,stop,both
3277,3279.0,-1.0,80452.89,82253.48719715905,-1.0632537161657865,3279.0,-1.0,80452.9,82253.4977371571,-1.063253705181168,stop,both
3293,3295.0,1.0,93522.01,91736.09287754653,-1.072612928329023,3295.0,1.0,93522.0,91736.08550346918,-1.0726130282856994,stop,both
3340,3344.0,-1.0,80043.84,81518.72324349248,-1.0766798285690975,3344.0,-1.0,80043.8,81518.68355462683,-1.0766797745716643,stop,both
3506,,,,,,3506.0,-1.0,75126.0,76525.84382915401,-1.0758343812856346,stop,right_only
3521,3523.0,1.0,82332.08,81406.36797972053,-1.1238148701484956,3523.0,1.0,82332.09999999999,81406.38635328395,-1.1238146816284902,stop,both
3598,3599.0,1.0,90934.61,93442.99,2.575447764368335,3600.0,1.0,90934.59999999999,93168.9,2.2789820991077487,session,both
3773,3773.0,1.0,108603.79,107757.37727603126,-1.1789349484056293,3773.0,1.0,108603.8,107757.3855023678,-1.1789345885205638,stop,both
