sym,tf,min_rvol,as_is_pf_1x,as_is_trades,as_is_totalr,as_is_pf_2x,fixed_pf_1x,fixed_trades,fixed_totalr,fixed_pf_2x
BTCUSDT,4h,0.0,0.834,567,-254.85,0.649,0.834,567,-254.85,0.649
BTCUSDT,4h,1.5,1.693,194,75.16,1.381,0.749,237,-102.57,0.607
BTCUSDT,4h,2.0,2.549,103,106.95,2.12,0.795,134,-46.76,0.657
BTCUSDT,4h,2.5,3.238,60,91.51,2.765,0.75,82,-29.16,0.627
BTCUSDT,1h,0.0,0.622,2169,-2372.27,0.405,0.622,2169,-2372.27,0.405
BTCUSDT,1h,1.5,1.453,834,9.83,1.009,0.704,955,-714.81,0.492
BTCUSDT,1h,2.0,1.808,566,192.83,1.274,0.772,675,-411.3,0.555
BTCUSDT,1h,2.5,2.18,408,262.43,1.56,0.791,483,-261.98,0.573
BTCUSDT,30m,0.0,0.495,4034,-6013.26,0.294,0.495,4034,-6013.26,0.294
BTCUSDT,30m,1.5,1.078,1695,-902.35,0.681,0.599,1903,-2078.0,0.384
BTCUSDT,30m,2.0,1.377,1194,-206.16,0.888,0.664,1372,-1280.98,0.432
BTCUSDT,30m,2.5,1.788,857,213.17,1.175,0.758,1006,-764.29,0.506
