anchor_hour,anchor_minute,mode,fill_mode,band_k,stop_mode,stop_k,target_mode,rr,max_hold_bars,min_rvol,min_atr_rank,max_atr_rank,warmup_bars,min_risk_bps,kernel_trades,stream_trades,kernel_R,stream_R,matched,kernel_only,stream_only,entry_match,max_entry_px_diff,max_exit_px_diff,max_r_diff,exit_bar_match,tf
-1,1152,2,1,2.5,0,0.5,0,0.0,48,0.0,0.0,0.5,24,3.0,178,178,41.056,41.056,178,0,0,1.0,0.0,2.897195372497663e-08,1.3253521835565607e-08,1.0,5m
-1,1152,2,1,2.0,0,1.0,0,0.0,0,1.5,0.0,0.0,24,3.0,377,377,177.338,177.338,377,0,0,1.0,0.0,1.66264726431109e-07,2.965844636548809e-08,1.0,5m
-1,1152,2,1,2.5,0,0.5,3,1.0,144,0.0,0.0,0.5,24,3.0,204,204,23.943,23.943,204,0,0,1.0,0.0,4.66006895294413e-08,8.915299609668637e-10,1.0,5m
-1,1152,2,1,2.5,0,1.0,0,0.0,144,1.5,0.0,0.0,24,3.0,329,329,60.635,60.635,329,0,0,1.0,0.0,5.873425834579393e-08,1.4118445967881144e-08,1.0,5m
-1,1152,2,1,1.5,0,1.0,0,0.0,0,0.0,0.0,0.5,24,3.0,356,356,105.756,105.756,356,0,0,1.0,0.0,1.4051875041332096e-07,2.40728770251053e-08,1.0,5m
-1,1152,2,1,2.0,0,1.0,3,3.0,144,0.0,0.0,0.5,24,3.0,292,292,35.393,35.393,292,0,0,1.0,0.0,1.4272336557041854e-07,3.844235152428155e-09,1.0,5m
-1,1152,2,1,2.5,0,0.5,0,0.0,144,2.5,0.0,0.0,24,3.0,340,340,18.34,18.34,340,0,0,1.0,0.0,4.573848855216056e-08,1.6215118137097306e-08,1.0,5m
-1,1152,2,1,2.5,1,2.0,0,0.0,0,0.0,0.0,0.5,24,3.0,141,141,34.866,34.866,141,0,0,1.0,0.0,2.2737367544323206e-13,1.6231460620019789e-13,1.0,5m
-1,1152,2,1,2.0,1,2.0,0,0.0,0,2.5,0.0,0.0,24,3.0,446,446,161.355,161.355,446,0,0,1.0,0.0,0.0,1.0658141036401503e-14,1.0,5m
-1,1152,2,1,2.0,0,1.0,0,0.0,0,0.0,0.0,0.5,24,3.0,214,214,96.471,96.471,214,0,0,1.0,0.0,1.468397385906428e-07,2.40728770251053e-08,1.0,5m
-1,1152,2,1,2.0,0,1.0,3,2.0,144,0.0,0.0,0.5,24,3.0,298,298,33.375,33.375,298,0,0,1.0,0.0,1.4030138117959723e-07,3.844235152428155e-09,1.0,5m
-1,1152,2,1,2.5,0,0.5,0,0.0,0,0.0,0.0,0.5,24,3.0,113,113,71.946,71.946,113,0,0,1.0,0.0,2.897195372497663e-08,4.81457540502106e-08,1.0,5m
-1,1152,2,1,2.5,1,2.0,0,0.0,0,0.0,0.0,0.0,24,3.0,375,375,139.13,139.13,375,0,0,1.0,0.0,9.094947017729282e-13,1.3367085216486885e-13,1.0,5m
-1,96,2,1,2.0,1,2.0,0,0.0,0,0.0,0.0,0.5,2,3.0,103,103,97.014,97.014,103,0,0,1.0,0.0,0.0,2.4868995751603507e-14,1.0,1h
-1,96,0,1,2.0,0,6.0,3,3.0,0,0.0,0.7,0.0,2,3.0,524,524,22.314,22.314,524,0,0,1.0,0.0,1.7254660633625463e-07,6.170699506924393e-10,1.0,1h
-1,96,2,1,2.5,0,1.0,3,3.0,12,0.0,0.7,0.0,2,3.0,191,191,38.52,38.52,191,0,0,1.0,0.0,1.4530087355524302e-08,6.434293098322996e-10,1.0,1h
0,0,4,1,2.0,1,2.0,0,0.0,0,2.5,0.0,0.0,2,3.0,258,259,39.477,38.355,258,0,1,1.0,0.0,4.547473508864641e-13,3.730349362740526e-14,1.0,1h
-1,96,2,1,2.5,0,1.0,0,0.0,12,0.0,0.7,0.0,2,3.0,180,180,36.77,36.77,180,0,0,1.0,0.0,1.4530087355524302e-08,6.434293098322996e-10,1.0,1h
-1,96,1,1,2.5,0,0.5,0,0.0,0,2.5,0.0,0.0,2,3.0,106,106,11.295,11.295,106,0,0,1.0,0.0,5.604306352324784e-09,4.463432290435776e-09,1.0,1h
8,0,2,1,2.5,1,1.0,0,0.0,0,0.0,0.7,0.0,2,3.0,366,366,46.909,46.909,366,0,0,1.0,0.0,4.547473508864641e-13,3.26405569239796e-14,1.0,1h
-1,96,3,1,1.5,0,0.5,0,0.0,0,0.0,0.0,0.5,2,3.0,97,97,2.989,2.989,97,0,0,1.0,0.0,6.0517777455970645e-09,2.6641302497409924e-09,1.0,1h
-1,96,2,1,2.0,1,2.0,0,0.0,0,0.0,0.0,0.0,2,3.0,335,335,103.598,103.598,335,0,0,1.0,0.0,9.094947017729282e-13,2.6867397195928788e-14,1.0,1h
-1,96,2,1,2.0,1,2.0,0,0.0,12,0.0,0.0,0.5,2,3.0,122,122,13.085,13.085,122,0,0,1.0,0.0,0.0,8.881784197001252e-15,1.0,1h
0,0,0,1,2.0,1,6.0,3,3.0,0,0.0,0.0,0.5,2,3.0,682,732,-3.706,-9.937,597,85,135,0.8754,0.0,31.539999999999964,0.6415747497704002,0.9933,1h
-1,96,2,1,2.0,1,1.0,0,0.0,0,0.0,0.0,0.0,2,3.0,425,425,180.192,180.192,425,0,0,1.0,0.0,4.547473508864641e-13,8.903988657493755e-14,1.0,1h
-1,24,2,1,2.0,0,1.0,3,2.0,3,0.0,0.7,0.0,2,3.0,271,270,53.017,53.048,270,1,0,0.9963,0.0,2.5725057639647275e-08,3.245868018808551e-10,1.0,4h
-1,24,2,1,1.5,0,0.5,0,0.0,0,0.0,0.5,0.0,2,3.0,426,426,203.934,203.934,426,0,0,1.0,0.0,4.782123141922057e-09,3.2574405395280337e-09,1.0,4h
-1,24,3,1,2.0,0,1.0,3,3.0,3,2.5,0.0,0.0,2,3.0,37,37,-0.224,-0.224,37,0,0,1.0,0.0,6.767777449567802e-09,1.0893419499780066e-10,1.0,4h
