tf,beta_win,L,z_thr,H,hedged,tag,trades,span_days,tpd,tpd_per_coin,pf_0x,pf,pf_2x,pf_3x,win,avg_r,total_r,max_dd_r,hold_h,sharpe,r_per_day,est_days
15m,50,2,1.5,1,True,null0,91234,2209,41.30104119511091,10.325260298777728,1.0048322914685526,0.3872721816259676,0.16560813938403515,0.08019863009009258,0.3085253304689041,-0.15872724218218054,-14481.321213249059,14481.659567493312,0.25,-36.44203311435168,-6.555600368152584,inf
15m,50,2,1.5,1,False,null0,91234,2209,41.30104119511091,10.325260298777728,1.0034325273469455,0.6142195679098051,0.3826363959360701,0.24521813220213293,0.39645307670386043,-0.07837496906221426,-7150.461927422057,7150.835441753184,0.25,-18.39050891576882,-3.236967825904055,inf
15m,50,2,1.5,2,True,null0,45575,2209,20.631507469443186,5.157876867360796,1.0053216674227818,0.4507072740682065,0.21277299424106927,0.10830296831687049,0.34681294569391113,-0.1120894688803194,-5108.477544220556,5108.536908671671,0.5,-22.84378370555538,-2.3125747144502293,inf
15m,50,2,1.5,2,False,null0,45575,2209,20.631507469443186,5.157876867360796,1.0021874517251803,0.6649931965387219,0.4446292245619335,0.3014858304643119,0.4200548546352167,-0.05552399031637048,-2530.5058586685846,2531.0432763043495,0.5,-11.61251225685949,-1.1455436209454888,inf
15m,50,2,1.5,4,True,null0,22858,2209,10.347668628338615,2.586917157084654,1.01856212812261,0.5412341784089649,0.29295479131701735,0.1639186298162743,0.3859042785895529,-0.07744397662296504,-1770.214417647735,1770.8310575379437,1.0,-13.084279118078411,-0.8013646073552444,inf
15m,50,2,1.5,4,False,null0,22858,2209,10.347668628338615,2.586917157084654,1.021934396562122,0.7404540114635556,0.5379201742706993,0.3928619594563503,0.4405897278852043,-0.0368052168764089,-841.2936473609547,842.6384783686254,1.0,-6.3719885893737995,-0.38084818803121534,inf
15m,50,2,2.0,1,True,null0,48068,2209,21.760072430964236,5.440018107741059,1.0197674012417148,0.39512955759954227,0.16962983534051843,0.08240161597865857,0.31120495964050926,-0.15331489437267024,-7369.5403427055135,7369.878696949677,0.25,-26.100991707969236,-3.336143206294936,inf
15m,50,2,2.0,1,False,null0,48068,2209,21.760072430964236,5.440018107741059,1.0177517203011013,0.6246932597888465,0.390092380347396,0.2505440224969415,0.39899725389032203,-0.07462934695796013,-3587.283449575227,3607.6999248843713,0.25,-12.976703979402782,-1.623939995280773,inf
15m,50,2,2.0,2,True,null0,23998,2209,10.863739248528747,2.7159348121321867,1.013081149965646,0.45767251814983123,0.21835939181839767,0.11243516073742586,0.3469039086590549,-0.10886466645592693,-2612.5342656093344,2612.617079945665,0.5,-16.092386835871128,-1.182677349755244,inf
15m,50,2,2.0,2,False,null0,23998,2209,10.863739248528747,2.7159348121321867,1.0073188171610619,0.6709392309652363,0.45086174490253106,0.30737677508735245,0.4184098674889574,-0.05375767875701792,-1290.076774810916,1290.9363382432712,0.5,-8.151284748303777,-0.5840094046224156,inf
15m,50,2,2.0,4,True,null0,12053,2209,5.456315074694432,1.364078768673608,1.0338025165435556,0.5521310306041377,0.30022347755269607,0.1687349111446549,0.38977847838712354,-0.07401182343821498,-892.0645079008052,892.431383163088,1.0,-9.158582886835147,-0.4038318279315551,inf
15m,50,2,2.0,4,False,null0,12053,2209,5.456315074694432,1.364078768673608,1.0405390644910095,0.7562363566447062,0.5510779516759153,0.4035885442577259,0.4448684974695097,-0.03384830064475817,-407.9735676712702,408.6916189295723,1.0,-4.286162798788664,-0.18468699306078323,inf
15m,50,2,2.5,1,True,null0,26851,2209,12.155273879583522,3.0388184698958804,1.0275999147631616,0.39878646561115594,0.17111594586172418,0.08306300199856498,0.31343339168001194,-0.1477942139147533,-3968.422437825041,3968.7607920692317,0.25,-19.228300103238855,-1.7964791479515803,inf
15m,50,2,2.5,1,False,null0,26851,2209,12.155273879583522,3.0388184698958804,1.0240330848004968,0.6289483143286198,0.392650095000765,0.25188354474070956,0.4009534095564411,-0.07156363525219747,-1921.5551701567542,1927.4401970362494,0.25,-9.572459175530229,-0.8698755863090785,inf
15m,50,2,2.5,2,True,null0,13441,2209,6.0846536894522405,1.5211634223630601,1.03165692792359,0.4702197004090784,0.2262222043816172,0.11742981302531096,0.3499739602708132,-0.10331429966773804,-1388.647501834067,1389.1413873205277,0.5,-11.361503950516742,-0.6286317346464767,inf
15m,50,2,2.5,2,False,null0,13441,2209,6.0846536894522405,1.5211634223630601,1.0285230090348645,0.687777467166,0.4640583994851312,0.3177271182525854,0.4213972174689383,-0.04947674624763617,-665.0169463144778,666.5962693157481,0.5,-5.599832527832165,-0.30104886659777175,inf
15m,50,2,2.5,4,True,null0,6801,2209,3.0787686736079674,0.7696921684019918,1.052605469631745,0.5625948629647729,0.30706763937987663,0.17317362228704528,0.3889133950889575,-0.06970420421593795,-474.05829287259405,474.9894741861349,1.0,-6.676883275183471,-0.2146031203588022,inf
15m,50,2,2.5,4,False,null0,6801,2209,3.0787686736079674,0.7696921684019918,1.0669930214236194,0.7744728502659302,0.5640716645730026,0.4134573596265773,0.44684605205116895,-0.029943979902629977,-203.64900731778647,205.16158680491253,1.0,-2.946306960928162,-0.09219058728736372,inf
15m,50,2,3.0,1,True,null0,15629,2209,7.075147125396107,1.7687867813490268,1.0426159350363207,0.40093712412717514,0.17062166468600698,0.08193960337869614,0.313903640667989,-0.14054157685120774,-2196.5243046075257,2196.5679985730508,0.25,-14.914612994834656,-0.9943523334574584,inf
15m,50,2,3.0,1,False,null0,15629,2209,7.075147125396107,1.7687867813490268,1.0330490073656058,0.630520896463014,0.3915794387124388,0.2500334714522595,0.40034551154904346,-0.06784420395115673,-1060.3370635526285,1066.1562680688178,0.25,-7.460157544817835,-0.4800077245598137,inf
15m,50,2,3.0,2,True,null0,7816,2209,3.5382526029877774,0.8845631507469444,1.020033422408334,0.466587482548378,0.22373535826809254,0.11519854397028548,0.35197031729785055,-0.10122413042025168,-791.1678033646871,792.31549137931,0.5,-8.68835754352619,-0.35815654294462973,inf
15m,50,2,3.0,2,False,null0,7816,2209,3.5382526029877774,0.8845631507469444,1.0119810855661437,0.6779169421298774,0.4576984389915213,0.3131094018040754,0.42208290685772776,-0.04982181259261525,-389.40728722388076,395.15222555829075,0.5,-4.417171320993463,-0.1762821580913901,inf
15m,50,2,3.0,4,True,null0,3983,2209,1.8030783159800814,0.45076957899502035,1.057192306589087,0.5644138784907751,0.3072729484310922,0.17280852627198948,0.3884007029876977,-0.06699977929822461,-266.8601209448286,268.22287648309566,1.0,-5.003782417873558,-0.12080584922807995,inf
15m,50,2,3.0,4,False,null0,3983,2209,1.8030783159800814,0.45076957899502035,1.0706138993796452,0.7766047642352457,0.5653474160789089,0.41410893885264327,0.4448907858398192,-0.02863122284692706,-114.03816059931049,116.06216695623317,1.0,-2.2023261650147603,-0.05162433707528768,inf
15m,50,4,1.5,1,True,null0,106344,2209,48.14124038026256,12.03531009506564,1.005223745862704,0.38668585490016283,0.16478160870380332,0.07939293632552513,0.31030429549386895,-0.15692807881237178,-16688.359613222863,16688.61274439835,0.25,-40.42028433322925,-7.554712364519178,inf
15m,50,4,1.5,1,False,null0,106344,2209,48.14124038026256,12.03531009506564,1.006650766556955,0.6156066854653609,0.38280604230312776,0.2447730047029259,0.39930790641691116,-0.07700357852907269,-8188.868555095706,8189.4107545925,0.25,-20.355072759566333,-3.7070477841085134,inf
15m,50,4,1.5,2,True,null0,53260,2209,24.110457220461747,6.027614305115437,1.028365255586903,0.4622102946671435,0.21892131622707378,0.11179828637185134,0.3483477281261735,-0.10771369397774734,-5736.831341254823,5737.0140321096915,0.5,-24.15457260549728,-2.597026410708385,inf
15m,50,4,1.5,2,False,null0,53260,2209,24.110457220461747,6.027614305115437,1.029786888255415,0.684110224221645,0.45809983516685354,0.31117195585711627,0.42221179121291774,-0.051244718785887045,-2729.293722536344,2729.851342206716,0.5,-11.799062413587128,-1.235533600061722,inf
15m,50,4,1.5,4,True,null0,26636,2209,12.057944771389769,3.0144861928474422,1.0527627955424779,0.5566055544934383,0.30055884857822873,0.16875489500642724,0.3893227211292987,-0.07251495956039898,-1931.5084628507873,1932.0826558925246,1.0,-13.207071236296926,-0.8743813774788535,inf
15m,50,4,1.5,4,False,null0,26636,2209,12.057944771389769,3.0144861928474422,1.0538212187593616,0.761965538488945,0.5527085663072445,0.4033408525097618,0.4444736446913951,-0.03271024293040616,-871.2700306942985,873.1923285052029,1.0,-6.093204057935075,-0.39441830271358014,inf
15m,50,4,2.0,1,True,null0,52205,2209,23.632865550022636,5.908216387505659,1.0114541237911898,0.3911344385731519,0.16761683641516342,0.08108021784983678,0.3107748299971267,-0.15177234387386404,-7923.275211935072,7923.613566179288,0.25,-27.765708813953776,-3.5868153969828303,inf
15m,50,4,2.0,1,False,null0,52205,2209,23.632865550022636,5.908216387505659,1.0112137706555848,0.6197249874499984,0.38625573033196686,0.24763997670780918,0.4000574657599847,-0.07423649983659386,-3875.516473969383,3875.9278302125094,0.25,-13.940835006500263,-1.7544212195425002,inf
15m,50,4,2.0,2,True,null0,26120,2209,11.824354911724763,2.9560887279311907,1.0305046374042524,0.4710184482446794,0.22674278769996836,0.11788128805639611,0.3496937212863706,-0.1044322556625004,-2727.7705179045106,2727.7915753396223,0.5,-16.2270527296493,-1.2348440551853828,inf
15m,50,4,2.0,2,False,null0,26120,2209,11.824354911724763,2.9560887279311907,1.0315765621381328,0.6909735096069733,0.46655041586266893,0.3195705372140489,0.42209035222052066,-0.04953906035772453,-1293.960256543765,1295.614352241011,0.5,-7.8993298356039885,-0.5857674316630895,inf
