tf,beta_win,L,z_thr,H,hedged,tag,trades,span_days,tpd,tpd_per_coin,pf_0x,pf,pf_2x,pf_3x,win,avg_r,total_r,max_dd_r,hold_h,sharpe,r_per_day,est_days
15m,50,2,1.5,1,True,real,100188,2209,45.354459031235855,11.338614757808964,1.057977823242618,0.08518632093336138,0.018042473112504634,0.006352398372490822,0.15452948456901025,-0.371580473028374,-37227.904431766736,37227.90443176636,0.25,-108.46289932031718,-16.852831340772628,inf
15m,50,2,1.5,1,False,real,100188,2209,45.354459031235855,11.338614757808964,1.0068799140830642,0.3845185962839962,0.1626913303319966,0.07879961984743271,0.35640994929532477,-0.1176551756282119,-11787.636735839294,11788.043423446565,0.25,-40.85920496832173,-5.336186842842596,inf
15m,50,2,1.5,2,True,real,50033,2209,22.64961521050249,5.662403802625622,1.0791672519672213,0.15003550580737765,0.038385390824515975,0.014749506700625253,0.21671696680191074,-0.26951201223748944,-13484.494508278309,13484.494508278325,0.5,-57.52200807352579,-6.104343371787373,inf
15m,50,2,1.5,2,False,real,50033,2209,22.64961521050249,5.662403802625622,1.0267585533995653,0.5035130744505857,0.2592016809860857,0.1437005947214735,0.39717786261067695,-0.08111446308485491,-4058.3999315245455,4060.0244829410417,0.5,-20.556427661878345,-1.8372113768784724,inf
15m,50,2,1.5,4,True,real,25361,2209,11.480760525124492,2.870190131281123,1.0477996595435257,0.23231407813602498,0.07331411179294896,0.030987337717967675,0.27262331926974487,-0.1940651373907943,-4921.685949367935,4922.090729656809,1.0,-31.331216855532098,-2.228015368659092,inf
15m,50,2,1.5,4,False,real,25361,2209,11.480760525124492,2.870190131281123,1.0088647945490734,0.5994651434660615,0.36458747173748307,0.23100828856099312,0.4172548401088285,-0.05851792463854478,-1484.0730867581342,1487.4807023076778,1.0,-10.928600943064753,-0.6718302792024148,inf
15m,50,2,2.0,1,True,real,46005,2209,20.82616568583069,5.206541421457673,1.0434024820272516,0.11018807281782962,0.025455592874329774,0.009235911690730984,0.18139332681230302,-0.3688986668106796,-16971.183166625317,16971.18316662533,0.25,-63.81727466207391,-7.682744756281266,inf
15m,50,2,2.0,1,False,real,46005,2209,20.82616568583069,5.206541421457673,0.997251098756349,0.4231561467782392,0.19287794906257705,0.09811328747907304,0.3769372894250625,-0.11772829548402446,-5416.090233742545,5416.316685567383,0.25,-24.195008512117074,-2.4518289876607264,inf
15m,50,2,2.0,2,True,real,23010,2209,10.416478044363966,2.6041195110909916,1.0726198377123461,0.18063784884110587,0.04948854605897455,0.019492445905881357,0.24415471534115601,-0.2668937044543729,-6141.224139495121,6141.401670211957,0.5,-34.892219523721664,-2.7800924126279405,inf
15m,50,2,2.0,2,False,real,23010,2209,10.416478044363966,2.6041195110909916,1.0233656549232788,0.5358522099779787,0.28994842742418775,0.16639525880467693,0.4136897001303781,-0.0804893378739462,-1852.059664479502,1854.6900273773176,0.5,-12.629211316569103,-0.8384154207693536,inf
15m,50,2,2.0,4,True,real,11728,2208,5.311594202898551,1.3278985507246377,1.0683184000796544,0.26879472685368894,0.09026472723592055,0.03972165810216379,0.29578785811732605,-0.18903236244239024,-2216.9715467243527,2217.4391853443753,1.0,-19.151428926476704,-1.0040632005092178,inf
15m,50,2,2.0,4,False,real,11728,2208,5.311594202898551,1.3278985507246377,1.0343736580858625,0.6388990587407112,0.4014276560997013,0.26052735308668934,0.4304229195088677,-0.054748586226012336,-642.0914192586727,644.0056793429637,1.0,-6.511958811338393,-0.29080227321497853,inf
15m,50,2,2.5,1,True,real,22404,2209,10.142145767315528,2.535536441828882,1.012026535067971,0.1389529869024546,0.03490006598354954,0.01307382620193595,0.21228352079985716,-0.3662517839931988,-8205.504968583626,8205.504968583653,0.25,-39.05410428419891,-3.714578980798382,inf
15m,50,2,2.5,1,False,real,22404,2209,10.142145767315528,2.535536441828882,0.9621886763148553,0.449451666180922,0.22034326862535716,0.1176884854454401,0.3939921442599536,-0.12143664794253788,-2720.6666605046184,2722.053006322729,0.25,-15.415513512728987,-1.2316281849273962,inf
15m,50,2,2.5,2,True,real,11283,2209,5.107741059302852,1.276935264825713,1.0403791261639908,0.21545560585631346,0.0648437816862662,0.02671865541954931,0.2728884162013649,-0.2657721345073923,-2998.706993646907,2998.884524363752,0.5,-21.762447119475468,-1.3574952438419678,inf
15m,50,2,2.5,2,False,real,11283,2209,5.107741059302852,1.276935264825713,0.9710801236998398,0.5452083633698154,0.3120625067705996,0.18671896822841852,0.4267482052645573,-0.08646003920731514,-975.5286223761367,979.5964432603973,0.5,-8.495920484933235,-0.44161549224813795,inf
15m,50,2,2.5,4,True,real,5779,2208,2.617300724637681,0.6543251811594203,1.0636274322590573,0.30570146688873867,0.10978378747461408,0.04945749723840098,0.3177020245717252,-0.18397097739526427,-1063.1682783672322,1065.3600193207917,1.0,-12.527178120084054,-0.48150737244892766,inf
15m,50,2,2.5,4,False,real,5779,2208,2.617300724637681,0.6543251811594203,1.0156087084660708,0.6549827454774836,0.4259680110172051,0.28336218609779473,0.449731787506489,-0.055536704259823516,-320.9466139175201,327.1557563287872,1.0,-4.479745615736108,-0.14535625630322468,inf
