sym,tf,rule,trades,pf_assumed,pf_measured,r_assumed,r_measured,assumed_bps_side,measured_bps_side
XAGUSD,15m,single,112,1.641,1.585,23.24,21.66,2.25,4.554
XAGUSD,15m,top10,1235,1.27,1.218,13.61,11.26,2.25,4.554
XAGUSD,1h,single,69,0.752,0.735,-6.46,-6.98,2.25,4.554
XAGUSD,1h,top10,724,1.03,1.006,0.7,0.14,2.25,4.554
XAGUSD,30m,single,96,1.383,1.343,13.56,12.31,2.25,4.554
XAGUSD,30m,top10,1030,1.222,1.178,8.4,6.91,2.25,4.554
XAGUSD,4h,single,67,1.301,1.23,7.17,5.7,2.25,4.554
XAGUSD,4h,top10,679,1.113,1.066,2.95,1.77,2.25,4.554
XAUUSD,15m,single,105,2.001,2.051,35.86,36.92,1.5,0.915
XAUUSD,15m,top10,1365,1.447,1.479,22.34,23.57,1.5,0.915
XAUUSD,1h,single,103,2.183,2.211,32.73,33.28,1.5,0.915
XAUUSD,1h,top10,1077,1.632,1.655,21.51,22.11,1.5,0.915
XAUUSD,30m,single,95,1.688,1.714,16.27,16.74,1.5,0.915
XAUUSD,30m,top10,1165,1.211,1.23,9.14,9.89,1.5,0.915
XAUUSD,4h,single,76,0.979,1.011,-0.55,0.28,1.5,0.915
XAUUSD,4h,top10,685,1.112,1.135,2.7,3.22,1.5,0.915
