symbol,tf,quarter,train_pf_2x,cfg,test_pf_2x,test_trades
XAUUSD,15m,2024-10-01,2.1774,428,1.991,14
XAUUSD,15m,2025-01-01,1.7594,584,1.3148,15
XAUUSD,15m,2025-04-01,1.4943,268,0.9485,13
XAUUSD,15m,2025-07-01,1.8607,422,3.5647,16
XAUUSD,15m,2025-10-01,2.3778,156,2.2287,16
XAUUSD,15m,2026-01-01,2.6819,152,2.5127,17
XAUUSD,15m,2026-04-01,4.1464,590,0.9446,14
XAUUSD,30m,2024-10-01,2.3195,588,1.3042,14
XAUUSD,30m,2025-01-01,2.277,644,2.3571,11
XAUUSD,30m,2025-04-01,2.2307,150,1.4676,16
XAUUSD,30m,2025-07-01,1.9646,150,2.2094,15
XAUUSD,30m,2025-10-01,2.603,428,0.9385,14
XAUUSD,30m,2026-01-01,4.6006,428,4.4204,12
XAUUSD,30m,2026-04-01,3.5703,428,0.5701,13
XAUUSD,1h,2024-10-01,2.1909,585,1.6196,13
XAUUSD,1h,2025-01-01,2.7386,160,1.4298,10
XAUUSD,1h,2025-04-01,3.0003,375,0.5214,13
XAUUSD,1h,2025-07-01,2.3157,416,4.9618,17
XAUUSD,1h,2025-10-01,2.4738,416,2.8114,14
XAUUSD,1h,2026-01-01,2.2701,364,2.3014,16
XAUUSD,1h,2026-04-01,3.2505,315,0.7774,20
XAUUSD,4h,2024-10-01,1.7905,639,0.4322,12
XAUUSD,4h,2025-01-01,1.7423,241,1.4664,7
XAUUSD,4h,2025-04-01,1.5584,641,0.427,11
XAUUSD,4h,2025-07-01,1.9252,0,1.2934,12
XAUUSD,4h,2025-10-01,2.2805,291,1.2904,8
XAUUSD,4h,2026-01-01,2.7133,229,0.9073,9
XAUUSD,4h,2026-04-01,2.6317,54,0.643,17
XAGUSD,30m,2024-10-01,2.1324,153,0.7129,13
XAGUSD,30m,2025-01-01,2.3321,103,0.2296,9
XAGUSD,30m,2025-04-01,1.5489,154,1.7281,13
XAGUSD,30m,2025-07-01,1.5908,48,2.9377,14
XAGUSD,30m,2025-10-01,1.7047,469,0.9669,16
XAGUSD,30m,2026-01-01,3.1058,416,2.0662,18
XAGUSD,30m,2026-04-01,3.8285,416,1.4664,13
XAGUSD,1h,2024-10-01,1.9129,153,1.0108,11
XAGUSD,1h,2025-01-01,3.5834,106,0.2847,7
