symbol,tf,quarter,train_pf_2x,cfg,test_pf_2x,test_trades
XAUUSD,15m,2024-10-01,1.555,533,0.93,22
XAUUSD,15m,2025-01-01,1.5147,533,0.9939,18
XAUUSD,15m,2025-04-01,1.5435,366,2.3484,18
XAUUSD,15m,2025-07-01,1.5546,215,0.4893,17
XAUUSD,15m,2025-10-01,1.6038,210,0.9587,43
XAUUSD,15m,2026-01-01,1.8192,640,0.8942,16
XAUUSD,15m,2026-04-01,2.2578,592,0.291,13
XAUUSD,30m,2024-10-01,1.86,428,0.5105,14
XAUUSD,30m,2025-01-01,1.7149,531,0.9828,27
XAUUSD,30m,2025-04-01,2.3208,428,0.6138,12
XAUUSD,30m,2025-07-01,1.4237,428,2.2806,12
XAUUSD,30m,2025-10-01,1.6026,261,0.9943,15
XAUUSD,30m,2026-01-01,1.9376,643,0.4362,14
XAUUSD,30m,2026-04-01,1.9574,320,0.2348,11
XAUUSD,1h,2024-10-01,1.6567,421,1.0492,14
XAUUSD,1h,2025-01-01,2.3674,372,0.4184,13
XAUUSD,1h,2025-04-01,1.8844,205,11.1625,11
XAUUSD,1h,2025-07-01,1.8415,205,0.6527,13
XAUUSD,1h,2025-10-01,1.6062,199,2.42,14
XAUUSD,1h,2026-01-01,1.7077,421,0.3928,13
XAUUSD,1h,2026-04-01,1.8467,208,1.5232,10
XAUUSD,4h,2024-10-01,2.2215,215,30.4062,9
XAUUSD,4h,2025-01-01,3.7301,203,0.5696,9
XAUUSD,4h,2025-04-01,2.4969,154,0.8193,10
XAUUSD,4h,2025-07-01,1.9994,154,1.199,10
XAUUSD,4h,2025-10-01,2.403,282,0.8743,13
XAUUSD,4h,2026-01-01,2.4477,433,0.484,11
XAUUSD,4h,2026-04-01,2.1609,433,3.2367,8
XAGUSD,30m,2024-10-01,1.849,154,0.8025,14
XAGUSD,30m,2025-01-01,1.5967,211,0.6251,9
XAGUSD,30m,2025-04-01,1.4879,630,1.3733,55
XAGUSD,30m,2025-07-01,2.1833,420,0.7468,33
XAGUSD,30m,2025-10-01,2.864,647,0.4533,14
XAGUSD,30m,2026-01-01,2.2407,154,1.0773,12
XAGUSD,30m,2026-04-01,2.1665,44,0.1396,9
XAGUSD,1h,2024-10-01,2.4184,323,0.3478,8
XAGUSD,1h,2025-01-01,2.0803,209,1.3474,11
XAGUSD,1h,2025-04-01,1.927,54,4.209,44
XAGUSD,1h,2025-07-01,2.317,54,1.7834,48
XAGUSD,1h,2025-10-01,2.4529,54,1.0458,47
XAGUSD,1h,2026-01-01,2.5913,523,0.3928,12
XAGUSD,1h,2026-04-01,2.0548,99,1.1067,12
XAGUSD,4h,2024-10-01,1.7478,423,1.2757,7
XAGUSD,4h,2025-01-01,1.7245,369,4.8006,7
XAGUSD,4h,2025-04-01,2.1316,369,1.6138,11
XAGUSD,4h,2025-07-01,3.2089,147,1.622,11
XAGUSD,4h,2025-10-01,2.9445,147,2.4737,11
XAGUSD,4h,2026-01-01,3.1395,197,1.77,9
XAGUSD,4h,2026-04-01,3.1788,197,0.3273,8
BTCUSDT,30m,2018-10-01,2.2717,481,0.6455,15
BTCUSDT,30m,2019-01-01,1.7157,425,1.5844,18
BTCUSDT,30m,2019-04-01,1.8041,425,1.1738,15
BTCUSDT,30m,2019-07-01,1.5422,425,2.9483,15
BTCUSDT,30m,2019-10-01,1.34,211,0.92,18
BTCUSDT,30m,2020-01-01,2.012,425,0.4865,16
BTCUSDT,30m,2020-04-01,1.4624,482,0.7902,14
