symbol,tf,rule,folds,r_per_day,days_to_target,trades,pf_2x,total_r,max_dd_r,q_above_1,q_scored
XAUUSD,15m,single,7,0.052,85.7,105,1.8815,33.15,-4.45,5,7
XAUUSD,15m,top10,7,0.0301,66.6,1365,1.3691,19.19,-2.0,6,7
XAUUSD,30m,single,7,0.0236,203.2,95,1.6228,15.07,-4.8,5,7
XAUUSD,30m,top10,7,0.0113,448.1,1165,1.1621,7.19,-5.05,5,7
XAUUSD,1h,single,7,0.0491,106.6,103,2.113,31.33,-5.24,5,7
XAUUSD,1h,top10,7,0.0313,75.2,1077,1.5747,19.98,-2.35,5,7
XAUUSD,4h,single,7,-0.0042,,76,0.9016,-2.66,-7.3,3,7
XAUUSD,4h,top10,7,0.0021,1078.1,685,1.0551,1.37,-2.32,3,7
XAGUSD,30m,single,7,0.0193,349.2,96,1.3436,12.34,-6.75,4,7
XAGUSD,30m,top10,7,0.0109,611.5,1030,1.1793,6.94,-6.65,3,7
XAGUSD,1h,single,7,-0.0109,,69,0.7358,-6.97,-8.82,3,7
XAGUSD,1h,top10,7,0.0002,17914.6,724,1.0068,0.16,-4.43,3,7
XAGUSD,4h,single,7,0.009,507.1,67,1.2313,5.73,-4.56,5,7
XAGUSD,4h,top10,7,0.0028,2148.9,679,1.0668,1.8,-6.05,4,7
BTCUSDT,30m,single,31,-0.0009,,520,0.9862,-2.44,-18.47,13,31
BTCUSDT,30m,top10,31,0.0046,3555.7,5647,1.0651,13.09,-16.45,16,31
BTCUSDT,1h,single,31,0.0085,1051.4,461,1.1851,24.12,-8.96,23,31
BTCUSDT,1h,top10,31,0.0035,1765.3,4632,1.0673,9.93,-6.2,19,31
BTCUSDT,4h,single,31,0.0053,3873.1,312,1.1221,14.96,-20.48,17,31
BTCUSDT,4h,top10,31,0.006,922.5,3176,1.1513,17.0,-5.54,17,31
ETHUSDT,1h,single,25,0.0001,128507.3,368,1.0029,0.33,-18.51,12,25
ETHUSDT,1h,top10,25,0.0034,2677.6,3543,1.0728,7.75,-9.1,13,25
ETHUSDT,4h,single,25,0.0017,7546.1,267,1.0397,3.87,-12.79,12,25
ETHUSDT,4h,top10,25,0.0029,2412.0,2628,1.0825,6.7,-7.08,12,25
SOLUSDT,1h,single,19,0.0053,2266.9,273,1.1178,9.12,-11.92,9,19
SOLUSDT,1h,top10,19,0.0065,1213.4,2696,1.1362,11.19,-7.83,9,19
SOLUSDT,4h,single,19,-0.0047,,234,0.8821,-8.18,-13.43,10,18
SOLUSDT,4h,top10,19,0.0019,2979.2,2261,1.0593,3.33,-5.73,11,19
EURUSD,1h,single,7,-0.0111,,96,0.7761,-7.11,-11.0,4,7
EURUSD,1h,top10,7,-0.0177,,1035,0.7586,-11.3,-11.5,4,7
AUDUSD,1h,single,7,-0.0128,,80,0.6527,-8.18,-13.96,3,7
AUDUSD,1h,top10,7,-0.0179,,950,0.6627,-11.4,-12.76,1,7
