symbol,tf,rule,folds,r_per_day,days_to_target,trades,pf_2x,total_r,max_dd_r,q_above_1,q_scored
XAUUSD,15m,single,7,-0.002,,110,0.9544,-2.17,-13.61,1,7
XAUUSD,15m,top10,7,-0.0088,,1780,0.8767,-9.62,-12.41,2,7
XAUUSD,30m,single,7,0.0083,1433.1,102,1.2437,9.07,-11.88,3,7
XAUUSD,30m,top10,7,0.0004,24325.3,982,1.0117,0.43,-9.51,3,7
XAUUSD,1h,single,7,-0.0076,,97,0.7717,-8.28,-10.64,2,7
XAUUSD,1h,top10,7,-0.0073,,870,0.7302,-7.97,-9.43,2,7
XAUUSD,4h,single,7,-0.0049,,84,0.8518,-5.39,-20.8,2,7
XAUUSD,4h,top10,7,-0.0061,,1273,0.8771,-6.68,-11.74,2,7
XAGUSD,30m,single,7,0.025,129.3,77,2.5489,27.19,-3.23,6,7
XAGUSD,30m,top10,7,0.0104,180.6,798,1.4556,11.27,-1.87,4,7
XAGUSD,1h,single,7,0.0181,297.5,79,2.0063,19.71,-5.38,5,7
XAGUSD,1h,top10,7,0.0058,625.2,866,1.2332,6.28,-3.6,5,7
XAGUSD,4h,single,7,0.0079,432.4,72,1.3897,8.59,-3.41,6,7
XAGUSD,4h,top10,7,0.0017,1500.0,746,1.0691,1.85,-2.55,5,7
BTCUSDT,30m,single,31,0.0056,1997.3,524,1.1094,18.38,-11.12,19,31
BTCUSDT,30m,top10,31,0.0071,990.6,5607,1.1173,23.44,-7.03,19,31
BTCUSDT,1h,single,31,-0.0013,,485,0.9734,-4.43,-24.06,15,31
BTCUSDT,1h,top10,31,-0.0051,,5087,0.911,-16.81,-28.05,11,31
BTCUSDT,4h,single,31,-0.0055,,337,0.8657,-18.23,-24.85,15,31
BTCUSDT,4h,top10,31,-0.0059,,3382,0.846,-19.56,-24.1,14,31
ETHUSDT,1h,single,25,-0.0008,,365,0.9801,-2.32,-21.74,11,25
ETHUSDT,1h,top10,25,0.0004,53917.9,3657,1.0087,1.0,-19.25,14,25
ETHUSDT,4h,single,25,-0.0011,,263,0.9522,-3.13,-9.5,14,24
ETHUSDT,4h,top10,25,-0.0011,,2442,0.9465,-2.94,-4.99,15,25
SOLUSDT,1h,single,19,-0.0016,,261,0.9527,-3.61,-10.93,8,19
SOLUSDT,1h,top10,19,-0.0009,,2601,0.9749,-1.89,-7.83,8,19
SOLUSDT,4h,single,19,0.0017,6195.6,193,1.0733,3.69,-10.35,11,19
SOLUSDT,4h,top10,19,0.0026,3335.5,1944,1.1095,5.73,-8.64,11,19
EURUSD,1h,single,7,-0.0067,,75,0.63,-7.31,-8.72,2,7
EURUSD,1h,top10,7,-0.0043,,803,0.7976,-4.7,-5.07,3,7
AUDUSD,1h,single,7,-0.0034,,85,0.8418,-3.74,-7.93,2,7
AUDUSD,1h,top10,7,-0.0026,,774,0.8666,-2.89,-3.31,2,7
