sym,tf,rule,trades,pf_assumed,pf_measured,r_assumed,r_measured,assumed_bps_side,measured_bps_side
XAGUSD,15m,single,113,1.261,1.216,11.14,9.4,2.25,4.554
XAGUSD,15m,top10,1165,1.183,1.142,9.15,7.25,2.25,4.554
XAGUSD,1h,single,72,1.031,1.003,0.59,0.06,2.25,4.554
XAGUSD,1h,top10,807,1.365,1.328,8.45,7.72,2.25,4.554
XAGUSD,30m,single,94,1.606,1.561,19.99,18.85,2.25,4.554
XAGUSD,30m,top10,1008,1.223,1.189,8.51,7.32,2.25,4.554
XAGUSD,4h,single,68,1.264,1.208,5.75,4.67,2.25,4.554
XAGUSD,4h,top10,675,1.288,1.244,5.18,4.48,2.25,4.554
XAUUSD,15m,single,122,1.486,1.507,23.09,23.86,1.5,0.915
XAUUSD,15m,top10,1369,1.283,1.303,14.63,15.54,1.5,0.915
XAUUSD,1h,single,110,2.024,2.052,30.64,31.23,1.5,0.915
XAUUSD,1h,top10,1062,1.587,1.61,19.5,20.08,1.5,0.915
XAUUSD,30m,single,103,1.92,1.947,23.93,24.43,1.5,0.915
XAUUSD,30m,top10,1150,1.406,1.428,15.29,15.95,1.5,0.915
XAUUSD,4h,single,72,1.026,1.058,0.51,1.09,1.5,0.915
XAUUSD,4h,top10,620,1.375,1.404,4.94,5.26,1.5,0.915
