mode,entry_thr,require_flip,squeeze_n,min_strength,trail_mode,trail_k,stop_k,trail_start_r,rr,max_hold_bars,flip_exit,dir_mode,min_risk_bps,kernel_trades,stream_trades,kernel_R,stream_R,matched,kernel_only,stream_only,entry_match,exit_bar_match,max_r_diff,tf
0,1.0,0,0.0,0.0,0,1.0,1.0,0.0,0.0,168,0,0,3.0,3057,3057,134.048,134.048,3057,0,0,1.0,1.0,0.0,1h
0,1.0,0,0.0,0.0,0,1.0,1.0,1.0,0.0,168,0,0,3.0,2567,2567,169.351,169.351,2567,0,0,1.0,1.0,0.0,1h
0,1.0,0,0.0,0.0,0,1.0,1.0,2.0,0.0,168,0,0,3.0,1968,1968,192.178,192.178,1968,0,0,1.0,1.0,0.0,1h
0,1.0,0,0.0,0.0,0,1.0,1.0,0.0,2.0,168,0,0,3.0,3547,3547,-98.762,-98.762,3547,0,0,1.0,1.0,0.0,1h
0,1.0,0,0.0,0.0,0,1.0,1.0,1.0,2.0,168,0,0,3.0,3010,3010,-33.093,-33.093,3010,0,0,1.0,1.0,0.0,1h
0,1.0,0,0.0,0.0,0,1.0,1.0,2.0,2.0,168,0,0,3.0,2403,2403,21.076,21.076,2403,0,0,1.0,1.0,0.0,1h
0,1.0,0,0.0,0.0,1,1.0,1.0,0.0,0.0,168,0,0,3.0,3151,3151,117.968,117.968,3151,0,0,1.0,1.0,0.0,1h
0,1.0,0,0.0,0.0,1,1.0,1.0,1.0,0.0,168,0,0,3.0,2615,2615,136.553,136.553,2615,0,0,1.0,1.0,0.0,1h
0,1.0,0,0.0,0.0,1,1.0,1.0,2.0,0.0,168,0,0,3.0,2005,2005,170.258,170.258,2005,0,0,1.0,1.0,0.0,1h
0,1.0,0,0.0,0.0,1,1.0,1.0,0.0,2.0,168,0,0,3.0,3636,3636,-100.953,-100.953,3636,0,0,1.0,1.0,0.0,1h
0,1.0,0,0.0,0.0,1,1.0,1.0,1.0,2.0,168,0,0,3.0,3039,3039,-46.324,-46.324,3039,0,0,1.0,1.0,0.0,1h
0,1.0,0,0.0,0.0,1,1.0,1.0,2.0,2.0,168,0,0,3.0,2403,2403,21.076,21.076,2403,0,0,1.0,1.0,0.0,1h
0,1.0,1,0.0,0.0,0,1.0,1.0,0.0,0.0,168,0,0,3.0,506,506,-28.742,-28.742,506,0,0,1.0,1.0,0.0,1h
0,1.0,1,0.0,0.0,0,1.0,1.0,1.0,0.0,168,0,0,3.0,504,504,-47.149,-47.149,504,0,0,1.0,1.0,0.0,1h
0,1.0,1,0.0,0.0,0,1.0,1.0,2.0,0.0,168,0,0,3.0,493,493,-12.017,-12.017,493,0,0,1.0,1.0,0.0,1h
0,1.0,1,0.0,0.0,0,1.0,1.0,0.0,2.0,168,0,0,3.0,509,509,-67.783,-67.783,509,0,0,1.0,1.0,0.0,1h
0,1.0,1,0.0,0.0,0,1.0,1.0,1.0,2.0,168,0,0,3.0,507,507,-93.799,-93.799,507,0,0,1.0,1.0,0.0,1h
0,1.0,1,0.0,0.0,0,1.0,1.0,2.0,2.0,168,0,0,3.0,501,501,-62.072,-62.072,501,0,0,1.0,1.0,0.0,1h
0,1.0,1,0.0,0.0,1,1.0,1.0,0.0,0.0,168,0,0,3.0,512,512,-24.978,-24.978,512,0,0,1.0,1.0,0.0,1h
0,1.0,1,0.0,0.0,1,1.0,1.0,1.0,0.0,168,0,0,3.0,508,508,-37.071,-37.071,508,0,0,1.0,1.0,0.0,1h
0,1.0,1,0.0,0.0,1,1.0,1.0,2.0,0.0,168,0,0,3.0,497,497,-1.185,-1.185,497,0,0,1.0,1.0,0.0,1h
0,1.0,1,0.0,0.0,1,1.0,1.0,0.0,2.0,168,0,0,3.0,512,512,-67.551,-67.551,512,0,0,1.0,1.0,0.0,1h
0,1.0,1,0.0,0.0,1,1.0,1.0,1.0,2.0,168,0,0,3.0,509,509,-88.546,-88.546,509,0,0,1.0,1.0,0.0,1h
0,1.0,1,0.0,0.0,1,1.0,1.0,2.0,2.0,168,0,0,3.0,501,501,-62.072,-62.072,501,0,0,1.0,1.0,0.0,1h
2,0.8,0,10.0,0.0,0,1.5,1.5,0.0,0.0,168,0,0,3.0,11,11,7.592,7.592,11,0,0,1.0,1.0,0.0,1h
2,0.8,0,10.0,0.0,1,1.5,1.5,0.0,0.0,168,0,0,3.0,11,11,7.015,7.015,11,0,0,1.0,1.0,0.0,1h
0,0.8,1,0.0,0.0,1,8.0,2.0,0.0,0.0,0,1,0,3.0,362,362,109.481,109.481,362,0,0,1.0,1.0,0.0,1h
0,1.0,0,0.0,0.0,0,1.0,1.0,0.0,0.0,336,0,0,3.0,5853,5853,-155.394,-155.394,5853,0,0,1.0,1.0,0.0,30m
0,1.0,0,0.0,0.0,0,1.0,1.0,1.0,0.0,336,0,0,3.0,4788,4788,-31.222,-31.222,4788,0,0,1.0,1.0,0.0,30m
0,1.0,0,0.0,0.0,0,1.0,1.0,2.0,0.0,336,0,0,3.0,3649,3649,32.431,32.431,3649,0,0,1.0,1.0,0.0,30m
0,1.0,0,0.0,0.0,0,1.0,1.0,0.0,2.0,336,0,0,3.0,6731,6731,-495.892,-495.892,6731,0,0,1.0,1.0,0.0,30m
0,1.0,0,0.0,0.0,0,1.0,1.0,1.0,2.0,336,0,0,3.0,5562,5562,-380.07,-380.07,5562,0,0,1.0,1.0,0.0,30m
0,1.0,0,0.0,0.0,0,1.0,1.0,2.0,2.0,336,0,0,3.0,4432,4432,-334.041,-334.041,4432,0,0,1.0,1.0,0.0,30m
0,1.0,0,0.0,0.0,1,1.0,1.0,0.0,0.0,336,0,0,3.0,6144,6144,-194.546,-194.546,6144,0,0,1.0,1.0,0.0,30m
0,1.0,0,0.0,0.0,1,1.0,1.0,1.0,0.0,336,0,0,3.0,4923,4923,-32.379,-32.379,4923,0,0,1.0,1.0,0.0,30m
0,1.0,0,0.0,0.0,1,1.0,1.0,2.0,0.0,336,0,0,3.0,3715,3715,7.821,7.821,3715,0,0,1.0,1.0,0.0,30m
0,1.0,0,0.0,0.0,1,1.0,1.0,0.0,2.0,336,0,0,3.0,6990,6990,-554.049,-554.049,6990,0,0,1.0,1.0,0.0,30m
0,1.0,0,0.0,0.0,1,1.0,1.0,1.0,2.0,336,0,0,3.0,5649,5649,-403.033,-403.033,5649,0,0,1.0,1.0,0.0,30m
0,1.0,0,0.0,0.0,1,1.0,1.0,2.0,2.0,336,0,0,3.0,4432,4432,-334.041,-334.041,4432,0,0,1.0,1.0,0.0,30m
0,1.0,1,0.0,0.0,0,1.0,1.0,0.0,0.0,336,0,0,3.0,1055,1055,3.137,3.137,1055,0,0,1.0,1.0,0.0,30m
0,1.0,1,0.0,0.0,0,1.0,1.0,1.0,0.0,336,0,0,3.0,1040,1040,12.873,12.873,1040,0,0,1.0,1.0,0.0,30m
0,1.0,1,0.0,0.0,0,1.0,1.0,2.0,0.0,336,0,0,3.0,1017,1017,-1.689,-1.689,1017,0,0,1.0,1.0,0.0,30m
0,1.0,1,0.0,0.0,0,1.0,1.0,0.0,2.0,336,0,0,3.0,1061,1061,-82.306,-82.306,1061,0,0,1.0,1.0,0.0,30m
0,1.0,1,0.0,0.0,0,1.0,1.0,1.0,2.0,336,0,0,3.0,1054,1054,-75.973,-75.973,1054,0,0,1.0,1.0,0.0,30m
0,1.0,1,0.0,0.0,0,1.0,1.0,2.0,2.0,336,0,0,3.0,1040,1040,-99.107,-99.107,1040,0,0,1.0,1.0,0.0,30m
0,1.0,1,0.0,0.0,1,1.0,1.0,0.0,0.0,336,0,0,3.0,1059,1059,-24.967,-24.967,1059,0,0,1.0,1.0,0.0,30m
