symbol,tf,horizon_bars,band,n,mean_bps,excess_bps,base_bps,median_bps,hit_up,share
BTCUSDT,15m,1,<=-0.8,76608,0.388,0.234,0.153,0.865,0.5171,0.2422
BTCUSDT,15m,1,-0.8..-0.4,41956,-0.226,-0.379,0.153,-0.137,0.4944,0.1326
BTCUSDT,15m,1,-0.4..-0.1,20335,-0.074,-0.228,0.153,0.0,0.4987,0.0643
BTCUSDT,15m,1,flat,11594,-0.073,-0.226,0.153,-0.03,0.4983,0.0367
BTCUSDT,15m,1,0.1..0.4,19092,0.294,0.141,0.153,0.012,0.5006,0.0604
BTCUSDT,15m,1,0.4..0.8,32086,-0.005,-0.158,0.153,0.22,0.507,0.1014
BTCUSDT,15m,1,>=0.8,114626,0.219,0.066,0.153,-0.089,0.4961,0.3624
BTCUSDT,15m,4,<=-0.8,76608,1.24,0.591,0.649,3.625,0.5403,0.2422
BTCUSDT,15m,4,-0.8..-0.4,41956,-0.388,-1.037,0.649,0.69,0.5089,0.1326
BTCUSDT,15m,4,-0.4..-0.1,20335,-0.137,-0.786,0.649,0.296,0.5048,0.0643
BTCUSDT,15m,4,flat,11594,-0.184,-0.833,0.649,0.145,0.5021,0.0367
BTCUSDT,15m,4,0.1..0.4,19089,0.325,-0.324,0.649,0.287,0.5047,0.0604
BTCUSDT,15m,4,0.4..0.8,32086,0.762,0.113,0.649,0.764,0.5108,0.1014
BTCUSDT,15m,4,>=0.8,114626,0.88,0.231,0.649,-0.908,0.4889,0.3624
BTCUSDT,15m,16,<=-0.8,76608,3.846,1.314,2.532,10.201,0.5619,0.2422
BTCUSDT,15m,16,-0.8..-0.4,41953,-1.43,-3.963,2.532,2.371,0.5163,0.1326
BTCUSDT,15m,16,-0.4..-0.1,20333,0.643,-1.89,2.532,2.717,0.5204,0.0643
BTCUSDT,15m,16,flat,11588,1.394,-1.139,2.532,2.988,0.5224,0.0366
BTCUSDT,15m,16,0.1..0.4,19088,-0.154,-2.686,2.532,1.182,0.5084,0.0604
BTCUSDT,15m,16,0.4..0.8,32086,2.185,-0.348,2.532,1.434,0.5116,0.1014
BTCUSDT,15m,16,>=0.8,114626,4.1,1.567,2.532,-3.289,0.4792,0.3624
BTCUSDT,1h,1,<=-0.8,20432,0.208,-0.446,0.653,1.345,0.5151,0.259
BTCUSDT,1h,1,-0.8..-0.4,9439,-0.207,-0.861,0.653,-0.482,0.4937,0.1197
BTCUSDT,1h,1,-0.4..-0.1,4562,0.306,-0.348,0.653,0.685,0.5077,0.0578
BTCUSDT,1h,1,flat,2700,-2.182,-2.835,0.653,0.321,0.5119,0.0342
BTCUSDT,1h,1,0.1..0.4,4419,1.004,0.351,0.653,0.759,0.5105,0.056
BTCUSDT,1h,1,0.4..0.8,7774,0.565,-0.088,0.653,0.997,0.512,0.0986
BTCUSDT,1h,1,>=0.8,29552,1.52,0.866,0.653,0.657,0.5075,0.3747
BTCUSDT,1h,4,<=-0.8,20429,0.055,-2.465,2.521,5.16,0.5315,0.259
BTCUSDT,1h,4,-0.8..-0.4,9439,-0.042,-2.563,2.521,0.004,0.5002,0.1197
BTCUSDT,1h,4,-0.4..-0.1,4562,1.538,-0.982,2.521,2.179,0.5153,0.0578
BTCUSDT,1h,4,flat,2700,-1.724,-4.245,2.521,0.69,0.5059,0.0342
BTCUSDT,1h,4,0.1..0.4,4419,0.749,-1.772,2.521,1.299,0.5089,0.056
BTCUSDT,1h,4,0.4..0.8,7774,2.352,-0.169,2.521,1.785,0.5135,0.0986
BTCUSDT,1h,4,>=0.8,29552,5.892,3.372,2.521,0.534,0.5035,0.3747
BTCUSDT,1h,16,<=-0.8,20417,6.015,-3.857,9.872,15.64,0.544,0.2589
BTCUSDT,1h,16,-0.8..-0.4,9439,-2.568,-12.44,9.872,1.504,0.5054,0.1197
BTCUSDT,1h,16,-0.4..-0.1,4562,0.845,-9.027,9.872,2.168,0.5081,0.0578
BTCUSDT,1h,16,flat,2700,4.094,-5.778,9.872,3.817,0.5111,0.0342
BTCUSDT,1h,16,0.1..0.4,4419,6.146,-3.726,9.872,2.537,0.5083,0.056
BTCUSDT,1h,16,0.4..0.8,7774,14.893,5.021,9.872,6.682,0.5193,0.0986
BTCUSDT,1h,16,>=0.8,29552,17.668,7.796,9.872,-0.394,0.4985,0.3747
BTCUSDT,4h,1,<=-0.8,5130,0.842,-1.647,2.49,1.772,0.5119,0.2627
BTCUSDT,4h,1,-0.8..-0.4,2259,0.717,-1.772,2.49,1.932,0.5135,0.1157
BTCUSDT,4h,1,-0.4..-0.1,1150,2.403,-0.086,2.49,1.036,0.5096,0.0589
BTCUSDT,4h,1,flat,646,1.545,-0.944,2.49,1.49,0.5077,0.0331
BTCUSDT,4h,1,0.1..0.4,994,-3.475,-5.964,2.49,-0.412,0.499,0.0509
BTCUSDT,4h,1,0.4..0.8,1657,-2.315,-4.805,2.49,-1.17,0.4925,0.0849
BTCUSDT,4h,1,>=0.8,7690,6.008,3.518,2.49,3.522,0.5212,0.3938
BTCUSDT,4h,4,<=-0.8,5130,2.801,-7.018,9.819,10.806,0.5322,0.2628
BTCUSDT,4h,4,-0.8..-0.4,2259,8.774,-1.045,9.819,1.499,0.5051,0.1157
BTCUSDT,4h,4,-0.4..-0.1,1150,-9.892,-19.712,9.819,-3.692,0.487,0.0589
BTCUSDT,4h,4,flat,646,10.919,1.1,9.819,5.607,0.5062,0.0331
BTCUSDT,4h,4,0.1..0.4,991,-16.957,-26.776,9.819,-2.664,0.4934,0.0508
BTCUSDT,4h,4,0.4..0.8,1657,2.709,-7.111,9.819,-1.763,0.4925,0.0849
BTCUSDT,4h,4,>=0.8,7690,22.646,12.827,9.819,6.448,0.5204,0.3939
BTCUSDT,4h,16,<=-0.8,5130,19.176,-20.57,39.746,32.173,0.5413,0.2629
BTCUSDT,4h,16,-0.8..-0.4,2259,17.711,-22.035,39.746,0.846,0.5015,0.1158
BTCUSDT,4h,16,-0.4..-0.1,1150,-31.887,-71.633,39.746,-39.345,0.4374,0.0589
BTCUSDT,4h,16,flat,646,0.563,-39.183,39.746,1.748,0.5031,0.0331
BTCUSDT,4h,16,0.1..0.4,991,4.787,-34.959,39.746,25.114,0.5257,0.0508
BTCUSDT,4h,16,0.4..0.8,1647,47.759,8.013,39.746,37.29,0.5501,0.0844
BTCUSDT,4h,16,>=0.8,7688,76.744,36.998,39.746,28.829,0.5313,0.394
ETHUSDT,15m,1,<=-0.8,67054,-0.015,-0.212,0.196,1.288,0.5183,0.2499
ETHUSDT,15m,1,-0.8..-0.4,34602,0.078,-0.118,0.196,0.0,0.4981,0.129
ETHUSDT,15m,1,-0.4..-0.1,17211,0.223,0.026,0.196,0.083,0.5011,0.0641
ETHUSDT,15m,1,flat,9567,-0.253,-0.45,0.196,0.0,0.4982,0.0357
ETHUSDT,15m,1,0.1..0.4,15614,0.167,-0.029,0.196,0.053,0.5009,0.0582
ETHUSDT,15m,1,0.4..0.8,27528,0.218,0.022,0.196,0.0,0.4986,0.1026
ETHUSDT,15m,1,>=0.8,96722,0.424,0.227,0.196,-0.302,0.494,0.3605
ETHUSDT,15m,4,<=-0.8,67051,0.069,-0.713,0.782,4.361,0.5383,0.2499
ETHUSDT,15m,4,-0.8..-0.4,34602,-0.254,-1.036,0.782,1.366,0.5128,0.129
ETHUSDT,15m,4,-0.4..-0.1,17211,1.859,1.077,0.782,0.884,0.5094,0.0641
ETHUSDT,15m,4,flat,9567,-1.066,-1.848,0.782,-0.191,0.4948,0.0357
ETHUSDT,15m,4,0.1..0.4,15614,0.613,-0.169,0.782,0.773,0.5058,0.0582
ETHUSDT,15m,4,0.4..0.8,27528,0.801,0.019,0.782,-0.291,0.4964,0.1026
ETHUSDT,15m,4,>=0.8,96722,1.659,0.878,0.782,-1.514,0.4847,0.3605
ETHUSDT,15m,16,<=-0.8,67044,0.841,-2.229,3.069,12.144,0.5549,0.2499
ETHUSDT,15m,16,-0.8..-0.4,34602,-1.677,-4.747,3.069,3.335,0.515,0.129
ETHUSDT,15m,16,-0.4..-0.1,17210,2.005,-1.065,3.069,2.016,0.5106,0.0641
ETHUSDT,15m,16,flat,9567,0.147,-2.923,3.069,1.208,0.5053,0.0357
ETHUSDT,15m,16,0.1..0.4,15614,3.494,0.424,3.069,0.648,0.5037,0.0582
ETHUSDT,15m,16,0.4..0.8,27527,6.224,3.154,3.069,1.451,0.5078,0.1026
ETHUSDT,15m,16,>=0.8,96719,5.825,2.755,3.069,-3.869,0.4819,0.3605
ETHUSDT,1h,1,<=-0.8,17109,-0.082,-0.877,0.795,2.096,0.5162,0.2558
ETHUSDT,1h,1,-0.8..-0.4,8297,0.337,-0.458,0.795,-0.122,0.4968,0.1241
ETHUSDT,1h,1,-0.4..-0.1,4076,0.545,-0.25,0.795,0.041,0.5002,0.061
ETHUSDT,1h,1,flat,2284,2.005,1.21,0.795,0.83,0.5096,0.0342
ETHUSDT,1h,1,0.1..0.4,3601,0.628,-0.167,0.795,-0.165,0.4971,0.0538
ETHUSDT,1h,1,0.4..0.8,6771,0.713,-0.082,0.795,1.564,0.5128,0.1013
ETHUSDT,1h,1,>=0.8,24734,1.532,0.736,0.795,0.0,0.4988,0.3699
ETHUSDT,1h,4,<=-0.8,17109,0.637,-2.52,3.157,8.611,0.5398,0.2559
ETHUSDT,1h,4,-0.8..-0.4,8297,1.88,-1.277,3.157,1.631,0.508,0.1241
ETHUSDT,1h,4,-0.4..-0.1,4076,0.22,-2.936,3.157,0.392,0.501,0.061
ETHUSDT,1h,4,flat,2284,5.494,2.337,3.157,2.09,0.5123,0.0342
ETHUSDT,1h,4,0.1..0.4,3601,0.281,-2.876,3.157,0.673,0.5043,0.0539
ETHUSDT,1h,4,0.4..0.8,6771,5.11,1.954,3.157,3.861,0.5181,0.1013
ETHUSDT,1h,4,>=0.8,24731,5.48,2.324,3.157,-1.647,0.4917,0.3698
ETHUSDT,1h,16,<=-0.8,17109,10.963,-1.723,12.686,26.521,0.5592,0.2559
ETHUSDT,1h,16,-0.8..-0.4,8297,2.172,-10.514,12.686,4.082,0.5101,0.1241
ETHUSDT,1h,16,-0.4..-0.1,4076,-4.48,-17.166,12.686,-5.625,0.4858,0.061
ETHUSDT,1h,16,flat,2284,15.136,2.45,12.686,-0.23,0.4982,0.0342
ETHUSDT,1h,16,0.1..0.4,3599,6.336,-6.35,12.686,4.352,0.5115,0.0538
ETHUSDT,1h,16,0.4..0.8,6770,21.32,8.634,12.686,18.613,0.544,0.1013
ETHUSDT,1h,16,>=0.8,24722,18.571,5.885,12.686,-6.96,0.4854,0.3698
ETHUSDT,4h,1,<=-0.8,4285,0.283,-2.897,3.18,2.309,0.5111,0.2594
ETHUSDT,4h,1,-0.8..-0.4,1993,1.841,-1.338,3.18,2.941,0.5108,0.1207
ETHUSDT,4h,1,-0.4..-0.1,1074,2.852,-0.327,3.18,-1.165,0.4953,0.065
ETHUSDT,4h,1,flat,598,4.488,1.309,3.18,6.77,0.5251,0.0362
ETHUSDT,4h,1,0.1..0.4,850,-2.714,-5.893,3.18,-0.193,0.4965,0.0515
ETHUSDT,4h,1,0.4..0.8,1538,6.489,3.31,3.18,4.164,0.5189,0.0931
ETHUSDT,4h,1,>=0.8,6180,5.537,2.357,3.18,2.604,0.5076,0.3741
ETHUSDT,4h,4,<=-0.8,4285,1.318,-11.467,12.785,15.829,0.5368,0.2595
ETHUSDT,4h,4,-0.8..-0.4,1993,10.416,-2.369,12.785,7.584,0.5173,0.1207
ETHUSDT,4h,4,-0.4..-0.1,1074,19.601,6.817,12.785,6.211,0.5168,0.065
ETHUSDT,4h,4,flat,598,-10.122,-22.907,12.785,-12.563,0.4716,0.0362
