variation,rule,trades,pf_2x,total_r,maxdd_r,ret_dd,r_per_day,tpd
A,agree>=0.0,2742,1.8719699860093602,1523.3978425475718,-52.40140596808982,29.071697875344316,0.7158824448061898,1.288533834586466
A-control,agree>=0.0,1102,1.6435807689557322,419.0384282336256,-28.226393684033816,14.845624025666927,0.19710180067433,0.5183443085606774
A,agree>=0.6,2358,1.845567396910182,1279.6521306109858,-41.37819823895373,30.92575764708653,0.6013402869412527,1.1080827067669172
A-control,agree>=0.6,732,1.5313597328385202,233.88731016088948,-44.442172628153145,5.262733487802686,0.11001284579533842,0.3443085606773283
A,agree>=1.0,1815,1.8277702845008974,950.816031824118,-36.47913228532252,26.06465593499551,0.4468120450301306,0.8529135338345865
A-control,agree>=1.0,339,1.621089806627195,128.500598318536,-20.56198104759399,6.249426940969395,0.0604993400746403,0.1596045197740113
D-base,BTCUSDT 1h,1021,1.2289,107.75,-12.22,8.817512274959084,0.0326,0.309
D,BTCUSDT 1h,937,1.1813,84.78,-14.91,5.686116700201207,0.0257,0.284
D-control,BTCUSDT 1h,84,1.7773,22.97,-6.67,3.443778110944528,0.007,0.025
D-base,BTCUSDT 4h,348,1.4982,52.02,-7.43,7.001345895020189,0.0157,0.105
D,BTCUSDT 4h,292,1.6188,52.68,-5.23,10.07265774378585,0.0159,0.088
D-control,BTCUSDT 4h,56,0.9057,-0.67,-5.14,-0.1303501945525292,-0.0002,0.017
D-base,ETHUSDT 1h,905,1.2015,84.79,-16.17,5.2436611008039575,0.0303,0.323
D,ETHUSDT 1h,852,1.2019,79.53,-15.14,5.252972258916777,0.0284,0.304
D-control,ETHUSDT 1h,53,1.1951,5.26,-4.18,1.2583732057416268,0.0019,0.019
D-base,ETHUSDT 4h,290,1.172,17.7,-9.59,1.8456725755995829,0.0063,0.104
D,ETHUSDT 4h,244,1.151,13.35,-7.16,1.8645251396648044,0.0048,0.087
D-control,ETHUSDT 4h,46,1.282,4.34,-4.41,0.9841269841269841,0.0016,0.016
D-base,SOLUSDT 1h,687,1.2019,56.73,-9.58,5.921711899791231,0.0256,0.311
D,SOLUSDT 1h,629,1.1688,45.78,-12.34,3.7098865478119936,0.0207,0.284
D-control,SOLUSDT 1h,58,1.5964,10.95,-3.64,3.0082417582417578,0.0049,0.026
D-base,SOLUSDT 4h,232,1.2475,17.06,-5.56,3.068345323741007,0.0077,0.105
D,SOLUSDT 4h,176,1.4654,22.67,-5.58,4.062724014336918,0.0102,0.08
D-control,SOLUSDT 4h,56,0.5736,-5.61,-5.75,-0.9756521739130435,-0.0025,0.025
