cut,real_clears,null_clears_per_seed,real_median,null_median,real_pf2x,random_side_pf2x,time_in_market,long_share,pf_long,pf_short,days_to_target
tf=5m,64.0,14.2,0.575,0.635,,,,,,,
tf=15m,276.0,78.8,0.749,0.746,,,,,,,
tf=30m,477.0,113.0,0.8,0.776,,,,,,,
tf=1h,837.0,243.2,0.855,0.794,,,,,,,
tf=4h,708.0,331.6,0.92,0.867,,,,,,,
sym=AUDUSD,4.0,65.6,0.718,0.748,,,,,,,
sym=BTCUSDT,282.0,12.4,0.993,0.82,,,,,,,
sym=ETHUSDT,312.0,22.2,0.978,0.839,,,,,,,
sym=EURUSD,9.0,60.0,0.738,0.747,,,,,,,
sym=GBPUSD,47.0,84.8,0.73,0.742,,,,,,,
sym=NZDUSD,3.0,25.4,0.711,0.677,,,,,,,
sym=SOLUSDT,450.0,28.6,1.004,0.854,,,,,,,
sym=USDCAD,37.0,33.2,0.707,0.619,,,,,,,
sym=USDCHF,29.0,30.8,0.74,0.675,,,,,,,
sym=USDJPY,34.0,45.0,0.845,0.783,,,,,,,
sym=XAGUSD,384.0,241.0,0.955,0.918,,,,,,,
sym=XAUUSD,771.0,131.8,0.997,0.852,,,,,,,
exposure XAUUSD 15m,,,,,1.3865,0.997,0.757,0.488,2.255,0.8908,249.2
exposure XAUUSD 1h,,,,,1.5008,1.083,0.802,0.539,2.519,0.8714,304.1
exposure XAUUSD 30m,,,,,1.6986,1.188,0.773,0.494,2.7789,0.9652,153.1
exposure XAGUSD 1h,,,,,1.3418,0.914,0.786,0.532,1.9875,0.7767,513.7
exposure BTCUSDT 4h,,,,,1.2518,0.954,0.612,0.433,2.0318,0.8317,1319.9
exposure ETHUSDT 4h,,,,,1.1746,0.868,0.604,0.459,1.5894,0.8721,1473.4
exposure SOLUSDT 1h,,,,,1.3064,1.116,0.829,0.471,1.6982,1.0398,445.3
exposure USDJPY 1h,,,,,0.9866,0.938,0.717,0.546,1.2437,0.8333,3725.2
