symbol,tf,quarter,train_pf_2x,cfg,test_pf_2x,test_trades
XAUUSD,15m,2024-10-01,1.3622,159,1.8996,21
XAUUSD,15m,2025-01-01,1.7949,591,0.6483,23
XAUUSD,15m,2025-04-01,2.5437,591,1.3542,17
XAUUSD,15m,2025-07-01,2.343,319,2.0725,15
XAUUSD,15m,2025-10-01,2.6512,319,1.2625,15
XAUUSD,15m,2026-01-01,2.7842,480,0.071,13
XAUUSD,15m,2026-04-01,1.8429,51,0.1301,17
XAUUSD,30m,2024-10-01,1.4938,638,0.7136,16
XAUUSD,30m,2025-01-01,1.3628,421,1.8242,15
XAUUSD,30m,2025-04-01,1.4865,642,2.3983,19
XAUUSD,30m,2025-07-01,1.5338,426,1.5159,24
XAUUSD,30m,2025-10-01,1.8119,426,1.0243,20
XAUUSD,30m,2026-01-01,2.0355,156,1.2138,12
XAUUSD,30m,2026-04-01,2.0509,211,0.9844,13
XAUUSD,1h,2024-10-01,2.3122,261,0.8937,11
XAUUSD,1h,2025-01-01,1.9274,261,1.2556,9
XAUUSD,1h,2025-04-01,2.0057,305,0.0462,10
XAUUSD,1h,2025-07-01,1.6491,216,1.2135,29
XAUUSD,1h,2025-10-01,1.4692,454,0.3768,18
XAUUSD,1h,2026-01-01,1.4182,521,0.9919,9
XAUUSD,1h,2026-04-01,2.1282,536,1.2726,9
XAUUSD,4h,2024-10-01,1.2427,55,2.65,7
XAUUSD,4h,2025-01-01,1.3648,56,0.174,7
XAUUSD,4h,2025-04-01,1.266,235,0.1475,7
XAUUSD,4h,2025-07-01,1.8457,647,1.6153,10
XAUUSD,4h,2025-10-01,1.9755,209,1.1515,9
XAUUSD,4h,2026-01-01,1.9934,358,0.6151,10
XAUUSD,4h,2026-04-01,2.0242,573,0.4909,12
XAGUSD,30m,2024-10-01,1.5702,373,0.4302,12
XAGUSD,30m,2025-01-01,1.6244,367,0.9068,10
XAGUSD,30m,2025-04-01,1.2998,580,1.3147,19
XAGUSD,30m,2025-07-01,1.4853,534,1.2429,20
XAGUSD,30m,2025-10-01,2.5517,106,0.4428,13
XAGUSD,30m,2026-01-01,2.1359,106,0.8861,10
XAGUSD,30m,2026-04-01,1.7891,202,1.1399,17
XAGUSD,1h,2024-10-01,2.6553,306,0.9359,17
XAGUSD,1h,2025-01-01,1.9464,306,1.9302,9
XAGUSD,1h,2025-04-01,1.9522,531,2.1236,11
XAGUSD,1h,2025-07-01,3.2863,193,2.857,20
XAGUSD,1h,2025-10-01,3.7338,312,1.9855,11
XAGUSD,1h,2026-01-01,3.9528,312,0.664,10
XAGUSD,1h,2026-04-01,3.7852,580,0.6499,13
XAGUSD,4h,2024-10-01,2.5999,585,18.7541,8
XAGUSD,4h,2025-01-01,4.8417,203,0.0928,8
XAGUSD,4h,2025-04-01,2.5255,153,0.1295,9
XAGUSD,4h,2025-07-01,1.4475,193,2.3738,10
XAGUSD,4h,2025-10-01,1.2468,645,0.5274,11
XAGUSD,4h,2026-01-01,1.3855,432,0.9217,9
XAGUSD,4h,2026-04-01,1.8808,235,0.0444,6
BTCUSDT,30m,2018-10-01,3.1336,214,1.4674,14
BTCUSDT,30m,2019-01-01,3.5859,211,2.6836,15
BTCUSDT,30m,2019-04-01,2.3855,427,0.2873,16
BTCUSDT,30m,2019-07-01,1.5604,591,0.8313,14
BTCUSDT,30m,2019-10-01,1.671,427,1.3376,17
BTCUSDT,30m,2020-01-01,1.752,215,1.2194,14
BTCUSDT,30m,2020-04-01,2.1563,589,1.7292,14
BTCUSDT,30m,2020-07-01,1.7974,259,0.8456,16
BTCUSDT,30m,2020-10-01,1.7264,262,2.2805,13
BTCUSDT,30m,2021-01-01,1.8165,262,0.657,14
BTCUSDT,30m,2021-04-01,1.488,262,3.4262,13
BTCUSDT,30m,2021-07-01,1.9093,51,1.4997,14
BTCUSDT,30m,2021-10-01,2.2768,44,0.1757,15
BTCUSDT,30m,2022-01-01,2.0,419,1.1319,15
BTCUSDT,30m,2022-04-01,2.2285,478,1.2487,15
BTCUSDT,30m,2022-07-01,2.0525,478,0.7198,15
BTCUSDT,30m,2022-10-01,1.939,208,0.9631,23
BTCUSDT,30m,2023-01-01,2.6287,265,0.2898,12
BTCUSDT,30m,2023-04-01,2.1914,101,0.2111,18
BTCUSDT,30m,2023-07-01,2.4099,643,1.4287,16
BTCUSDT,30m,2023-10-01,2.0933,646,0.1301,17
BTCUSDT,30m,2024-01-01,1.779,430,0.9516,14
BTCUSDT,30m,2024-04-01,2.2153,376,1.3028,15
BTCUSDT,30m,2024-07-01,2.0028,101,0.495,16
BTCUSDT,30m,2024-10-01,1.9535,484,1.0002,15
BTCUSDT,30m,2025-01-01,1.8642,539,0.6431,13
BTCUSDT,30m,2025-04-01,1.7967,318,0.3825,25
BTCUSDT,30m,2025-07-01,1.6204,475,0.9149,23
BTCUSDT,30m,2025-10-01,2.4236,535,0.8026,13
BTCUSDT,30m,2026-01-01,2.2064,211,1.5143,15
BTCUSDT,30m,2026-04-01,1.9245,356,0.9722,37
BTCUSDT,1h,2018-10-01,2.3834,641,0.9098,15
BTCUSDT,1h,2019-01-01,2.2459,641,0.6267,16
BTCUSDT,1h,2019-04-01,1.8447,592,0.3939,14
BTCUSDT,1h,2019-07-01,1.6557,104,0.5173,13
BTCUSDT,1h,2019-10-01,1.8452,539,1.2506,12
BTCUSDT,1h,2020-01-01,2.1632,484,1.256,10
BTCUSDT,1h,2020-04-01,2.1343,431,0.7084,13
BTCUSDT,1h,2020-07-01,2.0286,591,0.56,16
BTCUSDT,1h,2020-10-01,1.7976,206,1.0703,13
BTCUSDT,1h,2021-01-01,1.5722,477,0.473,12
BTCUSDT,1h,2021-04-01,1.6136,477,0.5946,13
BTCUSDT,1h,2021-07-01,1.6357,209,0.6162,13
BTCUSDT,1h,2021-10-01,1.4707,477,6.9963,12
BTCUSDT,1h,2022-01-01,2.022,267,0.3236,11
BTCUSDT,1h,2022-04-01,2.1317,268,0.0938,11
BTCUSDT,1h,2022-07-01,1.14,521,0.358,17
BTCUSDT,1h,2022-10-01,1.5189,208,0.1278,19
BTCUSDT,1h,2023-01-01,1.0755,440,0.867,41
BTCUSDT,1h,2023-04-01,1.1389,408,1.4861,40
BTCUSDT,1h,2023-07-01,1.5111,192,0.8314,48
BTCUSDT,1h,2023-10-01,1.3316,43,3.7353,12
BTCUSDT,1h,2024-01-01,2.104,152,0.6756,14
BTCUSDT,1h,2024-04-01,1.9593,152,1.7685,13
BTCUSDT,1h,2024-07-01,1.7251,206,1.3143,14
BTCUSDT,1h,2024-10-01,1.6177,154,1.9738,14
BTCUSDT,1h,2025-01-01,1.5187,208,1.08,14
BTCUSDT,1h,2025-04-01,1.8201,208,0.7523,15
BTCUSDT,1h,2025-07-01,1.6519,320,2.3109,11
BTCUSDT,1h,2025-10-01,1.6427,323,0.5116,13
BTCUSDT,1h,2026-01-01,1.6234,592,0.7942,13
BTCUSDT,1h,2026-04-01,1.8453,592,0.8078,14
BTCUSDT,4h,2018-10-01,1.4915,238,2.1895,10
BTCUSDT,4h,2019-01-01,1.993,99,0.4921,9
BTCUSDT,4h,2019-04-01,1.591,231,0.2538,9
BTCUSDT,4h,2019-07-01,1.3403,237,0.149,16
BTCUSDT,4h,2019-10-01,1.2225,358,0.8046,15
BTCUSDT,4h,2020-01-01,1.1316,0,0.4749,21
BTCUSDT,4h,2020-04-01,1.3589,580,0.2745,11
BTCUSDT,4h,2020-07-01,0.9594,623,1.7563,16
BTCUSDT,4h,2020-10-01,1.508,579,2.8838,13
BTCUSDT,4h,2021-01-01,1.6957,579,0.7814,13
BTCUSDT,4h,2021-04-01,1.7121,147,0.4909,12
BTCUSDT,4h,2021-07-01,4.5214,87,0.6607,10
BTCUSDT,4h,2021-10-01,2.3829,101,4.5125,7
BTCUSDT,4h,2022-01-01,2.2869,30,0.2065,11
BTCUSDT,4h,2022-04-01,1.5772,522,1.3702,6
BTCUSDT,4h,2022-07-01,1.6545,209,0.319,12
BTCUSDT,4h,2022-10-01,1.884,317,0.7326,8
BTCUSDT,4h,2023-01-01,1.6945,0,1.4694,18
BTCUSDT,4h,2023-04-01,1.9697,0,0.4208,19
BTCUSDT,4h,2023-07-01,1.6837,71,0.9119,17
BTCUSDT,4h,2023-10-01,1.7633,0,4.3865,12
BTCUSDT,4h,2024-01-01,1.4414,2,0.2337,18
BTCUSDT,4h,2024-04-01,1.3863,445,0.1818,12
BTCUSDT,4h,2024-07-01,1.6994,305,1.2988,9
BTCUSDT,4h,2024-10-01,1.734,0,1.3248,21
BTCUSDT,4h,2025-01-01,1.7653,270,0.5018,12
BTCUSDT,4h,2025-04-01,1.9534,270,0.7878,13
BTCUSDT,4h,2025-07-01,1.6648,270,1.6034,23
BTCUSDT,4h,2025-10-01,1.4957,270,0.8307,11
BTCUSDT,4h,2026-01-01,1.202,486,0.8738,12
BTCUSDT,4h,2026-04-01,1.3598,54,0.4661,16
ETHUSDT,1h,2020-04-01,2.1401,537,0.9968,12
ETHUSDT,1h,2020-07-01,1.3773,527,1.1243,15
ETHUSDT,1h,2020-10-01,1.7609,639,0.3792,19
ETHUSDT,1h,2021-01-01,1.4486,463,1.9827,11
ETHUSDT,1h,2021-04-01,1.4806,423,1.3512,14
ETHUSDT,1h,2021-07-01,1.4539,423,2.1695,15
ETHUSDT,1h,2021-10-01,1.2895,105,1.3108,13
ETHUSDT,1h,2022-01-01,1.9203,629,0.89,20
ETHUSDT,1h,2022-04-01,1.6946,647,0.4779,14
ETHUSDT,1h,2022-07-01,2.4198,431,0.4355,13
ETHUSDT,1h,2022-10-01,1.4374,632,1.3996,18
ETHUSDT,1h,2023-01-01,1.7338,522,1.0711,23
ETHUSDT,1h,2023-04-01,2.3549,538,0.8284,11
ETHUSDT,1h,2023-07-01,1.5104,91,1.2594,16
ETHUSDT,1h,2023-10-01,1.8521,262,2.2861,13
