symbol,tf,rule,folds,r_per_day,days_to_target,trades,pf_2x,total_r,max_dd_r,q_above_1,q_scored
XAUUSD,15m,single,7,0.0331,183.0,122,1.4354,21.1,-6.05,5,7
XAUUSD,15m,top10,7,0.0193,241.8,1369,1.2316,12.28,-4.65,6,7
XAUUSD,30m,single,7,0.0355,95.9,103,1.8528,22.64,-3.41,7,7
XAUUSD,30m,top10,7,0.0213,70.4,1150,1.353,13.6,-1.5,5,7
XAUUSD,1h,single,7,0.0457,122.9,110,1.9528,29.14,-5.61,5,7
XAUUSD,1h,top10,7,0.0282,97.9,1062,1.5308,18.01,-2.76,6,7
XAUUSD,4h,single,7,-0.0016,,72,0.9505,-1.0,-6.9,3,7
XAUUSD,4h,top10,7,0.0065,522.8,620,1.3042,4.14,-3.39,5,7
XAGUSD,30m,single,7,0.0296,173.5,94,1.5622,18.87,-5.13,5,7
XAGUSD,30m,top10,7,0.0115,408.3,1008,1.1896,7.35,-4.7,3,7
XAGUSD,1h,single,7,0.0001,50724.8,72,1.0038,0.07,-5.67,3,7
XAGUSD,1h,top10,7,0.0121,236.9,807,1.3289,7.74,-2.87,5,7
XAGUSD,4h,single,7,0.0074,619.6,68,1.2093,4.69,-4.56,3,7
XAGUSD,4h,top10,7,0.007,239.2,675,1.2447,4.49,-1.69,4,7
BTCUSDT,30m,single,31,-0.0009,,520,0.9862,-2.44,-18.47,13,31
BTCUSDT,30m,top10,31,0.0046,3555.7,5647,1.0651,13.09,-16.45,16,31
BTCUSDT,1h,single,31,0.0085,1051.4,461,1.1851,24.12,-8.96,23,31
BTCUSDT,1h,top10,31,0.0035,1765.3,4632,1.0673,9.93,-6.2,19,31
BTCUSDT,4h,single,31,0.0053,3873.1,312,1.1221,14.96,-20.48,17,31
BTCUSDT,4h,top10,31,0.006,922.5,3176,1.1513,17.0,-5.54,17,31
ETHUSDT,1h,single,25,0.0001,128507.3,368,1.0029,0.33,-18.51,12,25
ETHUSDT,1h,top10,25,0.0034,2677.6,3543,1.0728,7.75,-9.1,13,25
ETHUSDT,4h,single,25,0.0017,7546.1,267,1.0397,3.87,-12.79,12,25
ETHUSDT,4h,top10,25,0.0029,2412.0,2628,1.0825,6.7,-7.08,12,25
SOLUSDT,1h,single,19,0.0053,2266.9,273,1.1178,9.12,-11.92,9,19
SOLUSDT,1h,top10,19,0.0065,1213.4,2696,1.1362,11.19,-7.83,9,19
SOLUSDT,4h,single,19,-0.0047,,234,0.8821,-8.18,-13.43,10,18
SOLUSDT,4h,top10,19,0.0019,2979.2,2261,1.0593,3.33,-5.73,11,19
EURUSD,1h,single,7,-0.002,,95,0.9615,-1.25,-8.28,3,7
EURUSD,1h,top10,7,-0.0144,,1054,0.7904,-9.19,-10.63,2,7
AUDUSD,1h,single,7,-0.0099,,80,0.7563,-6.33,-8.22,3,7
AUDUSD,1h,top10,7,-0.0158,,860,0.6475,-10.11,-10.93,1,7
