symbol,tf,rule,folds,r_per_day,days_to_target,trades,pf_2x,total_r,max_dd_r,q_above_1,q_scored
XAUUSD,15m,single,7,0.0006,21289.4,121,1.0087,0.39,-13.02,4,7
XAUUSD,15m,top10,7,0.0069,1132.4,1358,1.0857,4.43,-7.86,4,7
XAUUSD,30m,single,7,0.0177,253.1,119,1.3023,11.26,-4.47,5,7
XAUUSD,30m,top10,7,0.0074,361.9,1325,1.107,4.69,-2.66,5,7
XAUUSD,1h,single,7,-0.014,,95,0.7996,-8.91,-18.62,3,7
XAUUSD,1h,top10,7,-0.0043,,1116,0.952,-2.74,-6.54,3,7
XAUUSD,4h,single,7,-0.0109,,62,0.6718,-6.97,-11.13,3,7
XAUUSD,4h,top10,7,-0.0071,,643,0.7784,-4.55,-8.69,3,7
XAGUSD,30m,single,7,-0.0049,,101,0.9245,-3.11,-10.41,3,7
XAGUSD,30m,top10,7,-0.0018,,1091,0.9755,-1.13,-5.12,5,7
XAGUSD,1h,single,7,0.0307,124.9,91,1.6993,19.59,-3.84,4,7
XAGUSD,1h,top10,7,0.0234,131.4,954,1.4462,14.96,-3.08,5,7
XAGUSD,4h,single,7,-0.0059,,61,0.778,-3.75,-6.61,2,7
XAGUSD,4h,top10,7,-0.0107,,618,0.6287,-6.83,-8.57,3,7
BTCUSDT,30m,single,31,-0.0091,,506,0.8798,-25.67,-49.07,14,31
BTCUSDT,30m,top10,31,0.0041,2645.5,4995,1.0655,11.66,-10.9,17,31
BTCUSDT,1h,single,31,-0.0098,,506,0.8566,-27.8,-53.08,11,31
BTCUSDT,1h,top10,31,-0.0073,,5055,0.8924,-20.8,-25.69,10,31
BTCUSDT,4h,single,31,-0.0096,,412,0.8334,-27.19,-32.23,10,31
BTCUSDT,4h,top10,31,-0.0052,,3950,0.9024,-14.75,-19.2,11,31
ETHUSDT,1h,single,25,0.0085,1008.1,351,1.2003,19.43,-8.59,17,25
ETHUSDT,1h,top10,25,0.0033,2088.0,3572,1.0696,7.45,-6.82,14,25
ETHUSDT,4h,single,25,-0.0034,,277,0.8863,-7.85,-16.65,8,25
ETHUSDT,4h,top10,25,-0.0051,,2663,0.8176,-11.52,-14.19,10,25
SOLUSDT,1h,single,19,0.0026,5413.2,288,1.0463,4.42,-13.81,8,19
SOLUSDT,1h,top10,19,0.0048,2032.5,2899,1.0829,8.39,-9.84,10,19
SOLUSDT,4h,single,19,0.0069,1779.1,275,1.1172,12.05,-12.36,11,19
SOLUSDT,4h,top10,19,0.0054,1746.7,2745,1.1006,9.32,-9.39,11,19
EURUSD,1h,single,7,0.0001,76549.3,84,1.002,0.05,-6.57,4,7
EURUSD,1h,top10,7,-0.0157,,866,0.6989,-10.0,-11.61,4,7
AUDUSD,1h,single,7,-0.0017,,77,0.9533,-1.07,-8.17,4,7
AUDUSD,1h,top10,7,-0.003,,765,0.9142,-1.94,-4.07,4,7
