leg,kind,window,days,trades,pf_2x,total_r,maxdd_r,risk_pct,capped_ret_pct,days_to_target,time_in_market,raw_ret_pct,maxdd_pct,leverage,sharpe
XAUUSD 1h single,strategy,2024-10-01..2026-07-01,638,103.0,2.113,31.33,-5.24,1.528,47.9,106.6,0.899,,,,
XAUUSD 1h single,buy_and_hold,2024-10-01..2026-07-01,638,,,,,,14.4,355.6,1.0,51.6,-28.76,0.278,0.969
XAUUSD 15m single,strategy,2024-10-01..2026-07-01,638,105.0,1.881,33.15,-4.45,1.797,59.6,85.7,0.947,,,,
XAUUSD 15m single,buy_and_hold,2024-10-01..2026-07-01,638,,,,,,14.3,357.4,1.0,52.04,-29.15,0.274,0.976
XAUUSD 1h top10,strategy,2024-10-01..2026-07-01,638,1077.0,1.575,19.98,-2.35,3.397,67.9,75.2,,,,,
XAUUSD 1h top10,buy_and_hold,2024-10-01..2026-07-01,638,,,,,,14.4,355.6,1.0,51.6,-28.76,0.278,0.969
XAUUSD 15m top10,strategy,2024-10-01..2026-07-01,638,1365.0,1.369,19.19,-2.0,3.991,76.6,66.6,,,,,
XAUUSD 15m top10,buy_and_hold,2024-10-01..2026-07-01,638,,,,,,14.3,357.4,1.0,52.04,-29.15,0.274,0.976
XAUUSD 30m single,strategy,2024-10-01..2026-07-01,638,95.0,1.623,15.07,-4.8,1.667,25.1,203.2,0.934,,,,
XAUUSD 30m single,buy_and_hold,2024-10-01..2026-07-01,638,,,,,,14.2,358.2,1.0,51.79,-29.07,0.275,0.972
XAGUSD 30m single,strategy,2024-10-01..2026-07-01,638,96.0,1.344,12.34,-6.75,1.185,14.6,349.2,0.876,,,,
XAGUSD 30m single,buy_and_hold,2024-10-01..2026-07-01,638,,,,,,12.9,395.2,1.0,86.62,-53.66,0.149,0.635
XAUUSD full-cache,buy_and_hold_full,2023-09-01..2026-08-30,1094,,,,,,36.1,242.2,,129.9,-28.76,0.278,1.286
XAGUSD full-cache,buy_and_hold_full,2023-09-01..2026-08-25,1089,,,,,,26.9,323.7,,181.55,-53.97,0.148,0.734
