stage,symbol,tf,best_pf_2x,real_clears,null_clears_per_seed,real_median,null_median,rule,trades,pf_2x,total_r,maxdd_r,risk_pct_at_cap,capped_return_pct,days_to_target,ret_at_1pct_risk,time_in_market,beats_hold,maxdd_pct,leverage_at_cap
grid_vs_null,XAGUSD,15m,2.862,60.0,24.3,0.915,0.915,,,,,,,,,,,,,
grid_vs_null,XAGUSD,30m,1.858,95.0,56.3,0.972,0.958,,,,,,,,,,,,,
grid_vs_null,XAGUSD,1h,1.609,127.0,71.3,1.034,0.966,,,,,,,,,,,,,
grid_vs_null,XAGUSD,4h,1.614,93.0,29.7,1.061,0.864,,,,,,,,,,,,,
grid_vs_null,SPX500,15m,1.335,4.0,18.3,0.727,0.761,,,,,,,,,,,,,
grid_vs_null,SPX500,30m,1.291,6.0,19.0,0.779,0.829,,,,,,,,,,,,,
grid_vs_null,SPX500,1h,2.581,6.0,27.7,0.873,0.845,,,,,,,,,,,,,
grid_vs_null,SPX500,4h,1.197,0.0,48.7,0.864,0.963,,,,,,,,,,,,,
grid_vs_null,US30,15m,1.151,0.0,2.3,0.71,0.721,,,,,,,,,,,,,
grid_vs_null,US30,30m,1.416,10.0,8.7,0.773,0.762,,,,,,,,,,,,,
grid_vs_null,US30,1h,1.426,15.0,28.3,0.81,0.849,,,,,,,,,,,,,
grid_vs_null,US30,4h,1.382,27.0,40.0,0.948,0.951,,,,,,,,,,,,,
grid_vs_null,NAS100,15m,2.279,5.0,16.3,0.811,0.854,,,,,,,,,,,,,
grid_vs_null,NAS100,30m,6.933,31.0,17.0,0.904,0.872,,,,,,,,,,,,,
grid_vs_null,NAS100,1h,2.159,42.0,77.3,0.942,0.876,,,,,,,,,,,,,
grid_vs_null,NAS100,4h,inf,21.0,15.7,0.894,0.925,,,,,,,,,,,,,
last2y,XAUUSD,15m,,,,,,top10,1568.0,1.356,21.16,-2.0,3.99,84.5,69.0,21.2,,True,,
last2y,XAUUSD,1h,,,,,,top10,1239.0,1.461,18.85,-2.35,3.4,64.0,91.0,18.8,,True,,
last2y,XAUUSD,15m,,,,,,single,120.0,1.87,36.29,-4.45,1.8,65.2,90.0,36.3,0.944,True,,
last2y,XAUUSD,,,,,,,buy_and_hold,,,,,,21.4,272.0,77.1,1.0,,-28.76,0.28
last2y,XAGUSD,15m,,,,,,top10,1400.0,1.211,12.21,-3.93,2.04,24.9,235.0,12.2,,True,,
last2y,XAGUSD,1h,,,,,,top10,826.0,1.11,2.86,-4.43,1.81,5.2,1129.0,2.9,,False,,
last2y,XAGUSD,15m,,,,,,single,126.0,1.471,19.81,-5.32,1.51,29.8,196.0,19.8,0.941,True,,
last2y,XAGUSD,,,,,,,buy_and_hold,,,,,,19.8,295.0,133.6,1.0,,-53.97,0.15
last2y,SPX500,15m,,,,,,top10,1670.0,0.761,-18.9,-19.53,0.41,-7.7,,-18.9,,False,,
last2y,SPX500,1h,,,,,,top10,1211.0,0.798,-11.05,-12.98,0.62,-6.8,,-11.0,,False,,
last2y,SPX500,15m,,,,,,single,129.0,0.815,-10.86,-14.54,0.55,-6.0,,-10.9,0.9,False,,
last2y,SPX500,,,,,,,buy_and_hold,,,,,,13.8,423.0,37.0,1.0,,-21.43,0.37
last2y,US30,15m,,,,,,top10,1701.0,0.838,-13.8,-20.1,0.4,-5.5,,-13.8,,False,,
last2y,US30,1h,,,,,,top10,1016.0,0.924,-2.9,-5.72,1.4,-4.1,,-2.9,,False,,
last2y,US30,15m,,,,,,single,126.0,0.909,-4.62,-18.88,0.42,-2.0,,-4.6,0.916,False,,
last2y,US30,,,,,,,buy_and_hold,,,,,,12.6,462.0,29.2,1.0,,-18.47,0.43
last2y,NAS100,15m,,,,,,top10,1883.0,0.871,-11.28,-11.95,0.67,-7.5,,-11.3,,False,,
last2y,NAS100,1h,,,,,,top10,1060.0,0.843,-6.17,-9.44,0.85,-5.2,,-6.2,,False,,
last2y,NAS100,15m,,,,,,single,158.0,0.853,-11.89,-18.35,0.44,-5.2,,-11.9,0.922,False,,
last2y,NAS100,,,,,,,buy_and_hold,,,,,,15.5,377.0,50.8,1.0,,-26.25,0.3
