sym,feature,horizon,n,q1,q5,spread,abs_spread,monotone,years_same_sign,years,null_1d,beats_1d,null_1w,beats_1w,null_1mo,beats_1mo,beats_all_nulls,clears_taker1x,clears_taker2x,clears_mixed,clears_maker2x
BTCUSDT,size_z,1h,537553,1.1841555421223764,-0.44477265420086265,-1.6289281963232392,1.6289281963232392,0.75,5,7,1.6999669061381,False,2.1707573366286144,False,1.7596259225060695,False,False,False,False,False,False
BTCUSDT,size_z,2h,537541,1.6483189240055083,-0.9085626099003448,-2.556881533905853,2.556881533905853,0.5,5,7,3.728322203695746,False,4.2908021940285614,False,2.6810583666773518,False,False,False,False,False,False
BTCUSDT,size_z,4h,537517,2.0396892317306254,-1.24394830142712,-3.283637533157745,3.283637533157745,0.75,5,7,4.594752539458298,False,7.840974976333632,False,5.876296085409114,False,False,False,False,False,False
BTCUSDT,size_z,8h,537469,3.1554151148646996,-0.6557767282593457,-3.8111918431240452,3.8111918431240452,0.5,4,7,15.24331454863686,False,13.544216402080039,False,9.249121536496947,False,False,False,False,False,False
BTCUSDT,size_z,24h,537277,9.463137006014474,4.465106167870246,-4.998030838144228,4.998030838144228,0.75,4,7,23.726409138372695,False,18.669469910918625,False,19.327034295513975,False,False,False,False,False,False
BTCUSDT,crowd_z,1h,624273,3.6024652950430194,-2.033802400120058,-5.6362676951630775,5.6362676951630775,1.0,7,7,1.8268257885350645,True,1.5957936704959534,True,1.9524268325589722,True,True,False,False,False,False
BTCUSDT,crowd_z,2h,624261,6.402180948249187,-3.441876133492196,-9.844057081741383,9.844057081741383,1.0,7,7,2.5300782407487765,True,4.469717476646345,True,4.107663324784758,True,True,False,False,True,True
BTCUSDT,crowd_z,4h,624237,10.381678182161645,-5.864788879066305,-16.24646706122795,16.24646706122795,1.0,7,7,6.759106544360267,True,5.282181793888319,True,6.728426934279107,True,True,True,False,True,True
BTCUSDT,crowd_z,8h,624189,15.424429806025104,-9.616001684031444,-25.040431490056548,25.040431490056548,1.0,6,7,10.414734703404516,True,14.739696916178818,True,13.384949500093624,True,True,True,False,True,True
BTCUSDT,crowd_z,24h,623997,29.74314044026333,-14.006416343298023,-43.74955678356135,43.74955678356135,1.0,5,7,26.20235765263983,True,24.089946310600663,True,32.57608574170861,True,True,True,True,True,True
BTCUSDT,disagree,1h,537551,-1.4160037623324748,2.4513274610573874,3.8673312233898622,3.8673312233898622,0.75,6,7,1.4256804546734025,True,1.7736933352342945,True,2.4328943671829246,True,True,False,False,False,False
BTCUSDT,disagree,2h,537539,-3.233149704681102,4.692596884760119,7.925746589441221,7.925746589441221,0.75,7,7,2.5781102187972533,True,6.3255063191810414,True,2.9043584182867668,True,True,False,False,False,False
BTCUSDT,disagree,4h,537515,-5.73230301557578,8.084825934206847,13.817128949782628,13.817128949782628,0.75,6,7,6.185309953331904,True,7.078601356856128,True,6.9529999965107825,True,True,False,False,True,True
BTCUSDT,disagree,8h,537467,-7.561456405549465,13.753239796457935,21.3146962020074,21.3146962020074,0.75,6,7,8.485208718606502,True,13.152749909024052,True,10.364551749955503,True,True,True,False,True,True
BTCUSDT,disagree,24h,537275,-9.136052837803955,29.464837568011706,38.60089040581566,38.60089040581566,0.75,6,7,32.07549899033778,True,23.94827507422331,True,24.850815364128874,True,True,True,True,True,True
BTCUSDT,dcrowd_4h,1h,624412,3.3136039003927893,-2.892964543148121,-6.20656844354091,6.20656844354091,1.0,7,7,1.5065937935659306,True,1.8783561492401222,True,1.9422538462996943,True,True,False,False,False,False
BTCUSDT,dcrowd_4h,2h,624400,5.8611800681005315,-5.151041249425813,-11.012221317526343,11.012221317526343,1.0,7,7,2.7190294994932174,True,4.314272467550328,True,4.154468370057707,True,True,False,False,True,True
BTCUSDT,dcrowd_4h,4h,624376,8.980534501143614,-8.272819209799593,-17.25335371094321,17.25335371094321,1.0,7,7,4.501507428448518,True,4.881106974807707,True,4.454558417441598,True,True,True,False,True,True
BTCUSDT,dcrowd_4h,8h,624328,14.427070766228999,-12.179333250862653,-26.606404017091652,26.606404017091652,1.0,7,7,7.407289043503449,True,8.735517828397661,True,9.807590706400617,True,True,True,False,True,True
BTCUSDT,dcrowd_4h,24h,624136,24.994499219952885,-13.146524628751363,-38.14102384870425,38.14102384870425,1.0,6,7,14.295005927502476,True,19.43272570215006,True,24.17522348859065,True,True,True,True,True,True
