sym,tf,thr,stop,hold,n,win,avg_r,pf,null_pf,tpd,days60,pass60,risk60
XAUUSD,1h,0.25,0.75,96,1733,6.5,0.3643,1.345,0.755,1.58,,,
XAUUSD,1h,0.25,0.75,192,1188,4.5,0.3885,1.358,0.742,1.08,,,
XAUUSD,1h,0.25,0.75,384,757,3.7,0.3509,1.323,0.893,0.69,,,
XAUUSD,1h,0.25,1.0,96,1379,8.6,0.3835,1.381,0.732,1.26,,,
XAUUSD,1h,0.25,1.0,192,914,6.0,0.052,1.05,1.07,0.83,,,
XAUUSD,1h,0.25,1.0,384,609,4.6,0.1772,1.171,0.888,0.56,,,
XAUUSD,1h,0.25,1.25,96,1087,11.2,0.5226,1.544,0.797,0.99,33.2,63.3,0.25
XAUUSD,1h,0.25,1.25,192,664,8.3,0.5307,1.537,0.817,0.61,,,
XAUUSD,1h,0.25,1.25,384,460,6.3,0.8019,1.796,0.926,0.42,,,
XAUUSD,1h,0.25,1.5,96,917,14.2,0.4014,1.437,0.834,0.84,51.8,61.8,0.25
XAUUSD,1h,0.25,1.5,192,569,10.0,0.3551,1.369,0.962,0.52,,,
XAUUSD,1h,0.25,1.5,384,404,7.2,0.1668,1.169,0.923,0.37,,,
XAUUSD,1h,0.25,2.0,96,776,17.1,0.2471,1.282,0.833,0.71,84.8,61.3,0.25
XAUUSD,1h,0.25,2.0,192,495,12.9,0.2767,1.3,0.901,0.45,,,
XAUUSD,1h,0.25,2.0,384,327,10.4,0.2321,1.246,0.764,0.3,106.7,62.8,0.25
XAUUSD,1h,0.5,0.75,96,1626,6.9,0.3457,1.329,0.768,1.48,,,
XAUUSD,1h,0.5,0.75,192,1210,4.5,0.3706,1.341,0.706,1.1,,,
XAUUSD,1h,0.5,0.75,384,683,4.2,0.3208,1.297,0.743,0.62,,,
XAUUSD,1h,0.5,1.0,96,1330,8.6,0.502,1.5,0.762,1.21,,,
XAUUSD,1h,0.5,1.0,192,951,6.1,0.0332,1.032,1.234,0.87,,,
XAUUSD,1h,0.5,1.0,384,579,5.2,0.743,1.716,0.704,0.53,,,
XAUUSD,1h,0.5,1.25,96,1074,11.2,0.588,1.613,0.754,0.98,30.6,65.3,0.25
XAUUSD,1h,0.5,1.25,192,747,7.4,0.2974,1.297,0.972,0.68,,,
XAUUSD,1h,0.5,1.25,384,445,6.5,0.738,1.738,1.02,0.41,23.3,60.1,1.0
XAUUSD,1h,0.5,1.5,96,905,13.8,0.4992,1.541,0.825,0.83,42.5,61.1,0.25
XAUUSD,1h,0.5,1.5,192,594,9.6,0.2344,1.242,1.013,0.54,,,
XAUUSD,1h,0.5,1.5,384,430,6.3,0.3374,1.338,0.797,0.39,,,
XAUUSD,1h,0.5,2.0,96,763,17.0,0.267,1.304,0.866,0.7,83.9,63.2,0.25
XAUUSD,1h,0.5,2.0,192,484,13.4,0.3199,1.35,1.083,0.44,,,
XAUUSD,1h,0.5,2.0,384,312,10.6,0.3584,1.382,1.201,0.28,,,
XAUUSD,1h,0.75,0.75,96,1597,6.8,0.3884,1.371,0.661,1.46,16.2,61.9,0.25
XAUUSD,1h,0.75,0.75,192,1276,3.9,0.3354,1.31,0.831,1.16,,,
XAUUSD,1h,0.75,0.75,384,783,3.6,0.2664,1.246,0.61,0.71,,,
XAUUSD,1h,0.75,1.0,96,1323,8.8,0.5284,1.528,0.806,1.21,,,
XAUUSD,1h,0.75,1.0,192,1052,5.1,0.1205,1.115,1.056,0.96,,,
XAUUSD,1h,0.75,1.0,384,660,4.4,0.5861,1.562,0.985,0.6,,,
XAUUSD,1h,0.75,1.25,96,1052,11.4,0.6844,1.713,0.783,0.96,12.9,61.9,0.5
XAUUSD,1h,0.75,1.25,192,759,7.0,0.3498,1.346,0.994,0.69,,,
XAUUSD,1h,0.75,1.25,384,478,6.1,0.6533,1.648,0.97,0.44,,,
XAUUSD,1h,0.75,1.5,96,903,13.6,0.553,1.595,0.72,0.82,16.4,60.9,0.5
XAUUSD,1h,0.75,1.5,192,635,8.7,0.1649,1.169,1.017,0.58,,,
XAUUSD,1h,0.75,1.5,384,433,6.7,0.4732,1.473,0.796,0.4,,,
XAUUSD,1h,0.75,2.0,96,736,17.7,0.3363,1.384,0.969,0.67,71.6,68.5,0.25
XAUUSD,1h,0.75,2.0,192,486,12.8,0.346,1.376,1.049,0.44,,,
