sym,tf,thr,stop_sig,rr,hold,n,win,avg_r,pf,null_pf,tpd,r_per_day
ETHUSDT,4h,1.0,1.0,2.0,24,2649,24.9,-0.5594,0.444,0.411,2.42,-1.3521
ETHUSDT,4h,1.0,1.0,2.0,48,2641,25.0,-0.557,0.446,0.411,2.41,-1.3422
ETHUSDT,4h,1.0,1.0,2.0,96,2618,25.1,-0.5536,0.449,0.411,2.39,-1.3224
ETHUSDT,4h,1.0,1.0,4.0,24,2035,17.9,-0.4358,0.6,0.552,1.86,-0.8092
ETHUSDT,4h,1.0,1.0,4.0,48,1949,18.1,-0.4116,0.621,0.549,1.78,-0.7319
ETHUSDT,4h,1.0,1.0,4.0,96,1919,18.0,-0.4039,0.628,0.557,1.75,-0.7072
ETHUSDT,4h,1.0,1.0,6.0,24,1828,13.8,-0.4098,0.644,0.583,1.67,-0.6835
ETHUSDT,4h,1.0,1.0,6.0,48,1681,13.4,-0.3953,0.655,0.56,1.53,-0.6063
ETHUSDT,4h,1.0,1.0,6.0,96,1595,13.3,-0.3842,0.665,0.565,1.46,-0.5591
ETHUSDT,4h,1.0,1.0,8.0,24,1665,11.7,-0.3924,0.667,0.575,1.52,-0.5961
ETHUSDT,4h,1.0,1.0,8.0,48,1504,11.0,-0.3831,0.675,0.574,1.37,-0.5257
ETHUSDT,4h,1.0,1.0,8.0,96,1343,10.9,-0.3558,0.699,0.581,1.23,-0.436
ETHUSDT,4h,1.0,1.0,0.0,24,1343,6.6,-0.2888,0.771,0.534,1.23,-0.3539
ETHUSDT,4h,1.0,1.0,0.0,48,907,6.2,-0.0177,0.986,0.557,0.83,-0.0146
ETHUSDT,4h,1.0,1.0,0.0,96,663,4.5,0.2067,1.16,0.728,0.6,0.125
ETHUSDT,4h,1.0,1.5,2.0,24,1905,29.0,-0.3505,0.603,0.576,1.74,-0.6092
ETHUSDT,4h,1.0,1.5,2.0,48,1826,29.0,-0.3513,0.604,0.568,1.67,-0.5853
ETHUSDT,4h,1.0,1.5,2.0,96,1804,28.8,-0.349,0.606,0.566,1.65,-0.5744
ETHUSDT,4h,1.0,1.5,4.0,24,1440,20.4,-0.2648,0.73,0.586,1.31,-0.3479
ETHUSDT,4h,1.0,1.5,4.0,48,1277,19.7,-0.2705,0.728,0.578,1.17,-0.3152
ETHUSDT,4h,1.0,1.5,4.0,96,1168,19.4,-0.2565,0.742,0.578,1.07,-0.2734
ETHUSDT,4h,1.0,1.5,6.0,24,1281,15.8,-0.2818,0.728,0.644,1.17,-0.3294
ETHUSDT,4h,1.0,1.5,6.0,48,1045,15.0,-0.2523,0.757,0.615,0.95,-0.2406
ETHUSDT,4h,1.0,1.5,6.0,96,897,14.4,-0.2571,0.756,0.612,0.82,-0.2104
ETHUSDT,4h,1.0,1.5,8.0,24,1184,14.4,-0.2304,0.782,0.607,1.08,-0.2489
ETHUSDT,4h,1.0,1.5,8.0,48,977,13.1,-0.2254,0.792,0.59,0.89,-0.2009
ETHUSDT,4h,1.0,1.5,8.0,96,765,13.2,-0.1466,0.863,0.582,0.7,-0.1023
ETHUSDT,4h,1.0,1.5,0.0,24,1058,9.5,-0.2042,0.82,0.466,0.97,-0.1971
