sym,tf,dirn,thr,hold,n,avg_r,pf,win,total_r,null_pf
BTCUSDT,4h,fade,1.0,1,2366,-0.8853,0.791,49.0,-2094.5,0.85
BTCUSDT,4h,follow,1.0,1,2366,-0.7056,0.83,42.4,-1669.4,0.788
BTCUSDT,4h,fade,1.0,2,1778,-1.2407,0.783,51.2,-2206.0,0.861
BTCUSDT,4h,follow,1.0,2,1778,-0.4147,0.922,42.7,-737.4,0.86
BTCUSDT,4h,fade,1.0,4,1090,-0.6153,0.936,48.7,-670.7,0.826
BTCUSDT,4h,follow,1.0,4,1090,-1.8519,0.822,45.6,-2018.6,0.97
BTCUSDT,4h,fade,1.0,8,678,0.38,1.042,51.8,257.7,0.857
BTCUSDT,4h,follow,1.0,8,678,-1.9659,0.807,43.7,-1332.9,0.997
BTCUSDT,4h,fade,1.0,12,476,0.791,1.083,51.1,376.5,0.54
BTCUSDT,4h,follow,1.0,12,476,-2.2397,0.797,44.7,-1066.1,1.609
BTCUSDT,4h,fade,1.5,1,1756,-1.2679,0.755,49.3,-2226.4,0.894
BTCUSDT,4h,follow,1.5,1,1756,-0.6263,0.871,42.6,-1099.8,0.746
BTCUSDT,4h,fade,1.5,2,1385,-1.2123,0.822,50.0,-1679.0,0.775
BTCUSDT,4h,follow,1.5,2,1385,-0.7761,0.883,44.3,-1074.9,0.948
BTCUSDT,4h,fade,1.5,4,992,-0.6224,0.934,50.1,-617.4,0.828
BTCUSDT,4h,follow,1.5,4,992,-1.6538,0.836,43.6,-1640.6,0.964
BTCUSDT,4h,fade,1.5,8,613,-1.3938,0.886,53.0,-854.4,0.84
BTCUSDT,4h,follow,1.5,8,613,-0.4141,0.965,44.0,-253.8,0.999
BTCUSDT,4h,fade,1.5,12,442,1.9834,1.151,52.7,876.7,0.796
BTCUSDT,4h,follow,1.5,12,442,-3.685,0.769,44.1,-1628.8,1.096
BTCUSDT,4h,fade,2.0,1,1058,-1.6681,0.77,48.9,-1764.8,0.843
BTCUSDT,4h,follow,2.0,1,1058,-0.9703,0.86,44.0,-1026.6,0.79
