symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,tpd
ETHUSDT,4h,30,1,25,21,272,2.781,2.384,0.117
BTCUSDT,4h,30,1,27,22,350,2.789,2.346,0.129
SOLUSDT,4h,30,1,17,12,156,2.683,2.3,0.091
ETHUSDT,1h,100,1,26,24,1011,2.835,2.232,0.427
ETHUSDT,1h,30,1,26,22,457,2.792,2.197,0.193
ETHUSDT,4h,30,10,26,23,2850,2.606,2.185,1.211
ETHUSDT,1h,100,10,26,26,10052,2.672,2.122,4.241
XAUUSD,4h,30,1,7,6,99,2.284,2.077,0.159
BTCUSDT,4h,30,10,27,21,3665,2.391,2.025,1.35
ETHUSDT,30m,30,10,26,25,4427,2.506,1.904,1.868
ETHUSDT,30m,30,1,26,19,467,2.521,1.897,0.198
ETHUSDT,30m,100,10,26,25,11144,2.4,1.843,4.702
ETHUSDT,1h,30,10,26,24,5254,2.308,1.825,2.217
ETHUSDT,30m,100,1,26,23,917,2.371,1.813,0.387
SOLUSDT,4h,30,10,19,13,1795,1.872,1.628,1.047
BTCUSDT,1h,100,10,30,29,10771,2.022,1.569,3.942
BTCUSDT,1h,100,1,30,28,1077,2.059,1.554,0.399
XAUUSD,5m,100,10,7,7,2320,1.728,1.533,3.657
BTCUSDT,30m,100,10,30,29,13209,2.026,1.51,4.835
EURUSD,1h,30,1,7,5,68,1.775,1.508,0.113
XAUUSD,5m,30,10,7,5,1481,1.723,1.507,2.339
XAUUSD,5m,100,1,7,6,223,1.686,1.502,0.353
BTCUSDT,30m,100,1,30,28,1246,1.946,1.452,0.458
BTCUSDT,1h,30,10,30,24,3920,1.858,1.437,1.437
XAUUSD,5m,30,1,7,6,128,1.642,1.426,0.203
BTCUSDT,30m,30,10,30,28,3951,1.848,1.386,1.451
SOLUSDT,1h,100,10,19,18,6780,1.655,1.374,3.912
BTCUSDT,4h,100,1,27,23,763,1.621,1.364,0.283
BTCUSDT,1h,30,1,29,20,379,1.728,1.362,0.139
ETHUSDT,15m,100,10,26,24,14655,1.796,1.354,6.182
SOLUSDT,4h,100,10,19,16,4633,1.509,1.342,2.705
XAUUSD,15m,30,10,7,5,1362,1.531,1.339,2.15
EURUSD,30m,100,1,7,6,218,1.553,1.332,0.346
XAUUSD,30m,100,1,7,5,182,1.645,1.33,0.289
SOLUSDT,4h,100,1,19,15,469,1.506,1.326,0.274
ETHUSDT,15m,100,1,26,21,1238,1.715,1.324,0.523
SOLUSDT,1h,30,10,19,16,4071,1.564,1.314,2.356
BTCUSDT,30m,30,1,30,24,342,1.747,1.302,0.126
SOLUSDT,30m,100,10,19,18,9204,1.671,1.3,5.311
EURUSD,1h,100,1,7,6,190,1.459,1.298,0.3
XAUUSD,15m,100,10,7,6,2621,1.472,1.295,4.131
BTCUSDT,4h,100,10,29,23,7686,1.483,1.258,2.808
EURUSD,15m,100,1,7,6,190,1.462,1.254,0.299
USDJPY,15m,30,1,7,6,80,1.594,1.243,0.129
SOLUSDT,15m,100,1,19,14,688,1.569,1.239,0.397
XAUUSD,1h,100,10,7,6,1943,1.411,1.238,3.075
BTCUSDT,15m,100,10,30,25,13466,1.685,1.237,4.922
XAUUSD,4h,100,10,7,6,1979,1.4,1.236,3.116
SOLUSDT,30m,30,1,19,15,308,1.573,1.228,0.18
SOLUSDT,15m,30,10,19,16,3653,1.504,1.226,2.113
ETHUSDT,15m,30,1,26,16,427,1.591,1.216,0.18
ETHUSDT,15m,30,10,26,18,5696,1.594,1.212,2.404
SOLUSDT,30m,100,1,19,15,790,1.55,1.195,0.461
XAUUSD,30m,100,10,7,6,2092,1.436,1.189,3.291
SOLUSDT,15m,100,10,19,17,9337,1.53,1.189,5.387
XAUUSD,4h,100,1,7,6,219,1.341,1.186,0.347
BTCUSDT,15m,100,1,30,22,1319,1.623,1.179,0.483
SOLUSDT,30m,30,10,19,17,3390,1.502,1.175,1.983
XAGUSD,1h,30,10,14,10,806,1.341,1.16,1.276
EURUSD,1h,30,10,7,5,731,1.327,1.147,1.151
XAUUSD,15m,30,1,7,5,145,1.3,1.139,0.23
XAGUSD,4h,30,1,14,12,194,1.29,1.131,0.357
SOLUSDT,1h,100,1,19,14,640,1.385,1.128,0.371
SOLUSDT,15m,30,1,19,12,291,1.348,1.097,0.168
BTCUSDT,15m,30,10,30,20,6090,1.474,1.092,2.229
BTCUSDT,15m,30,1,30,19,571,1.494,1.08,0.209
USDJPY,15m,30,10,7,6,907,1.307,1.071,1.425
XAUUSD,15m,100,1,7,5,266,1.239,1.071,0.421
USDCAD,30m,30,1,7,5,57,1.334,1.067,0.091
XAUUSD,4h,30,10,7,5,756,1.188,1.062,1.2
USDCHF,1h,30,1,7,5,96,1.299,1.054,0.154
USDJPY,1h,30,10,7,4,746,1.266,1.054,1.178
XAGUSD,4h,30,10,14,8,1796,1.187,1.044,2.868
XAUUSD,30m,30,1,7,5,78,1.312,1.04,0.125
AUDUSD,1h,30,1,7,4,73,1.174,1.035,0.118
EURUSD,4h,100,10,7,5,1808,1.171,1.03,2.851
SOLUSDT,1h,30,1,19,8,384,1.222,1.03,0.233
XAGUSD,15m,100,1,14,8,842,1.15,1.021,1.328
ETHUSDT,4h,100,10,26,20,6446,1.193,1.014,2.725
XAUUSD,30m,30,10,7,3,802,1.236,1.012,1.285
XAGUSD,30m,100,1,14,10,426,1.174,1.012,0.674
GBPUSD,4h,100,1,7,4,185,1.118,1.011,0.293
NZDUSD,4h,30,1,7,4,71,1.129,1.009,0.115
EURUSD,30m,100,10,7,6,2490,1.169,0.996,3.919
USDCHF,15m,30,1,7,4,108,1.156,0.979,0.172
USDCHF,4h,100,1,7,2,185,1.09,0.959,0.294
XAUUSD,1h,100,1,7,4,221,1.132,0.95,0.35
XAGUSD,15m,30,1,14,8,212,1.047,0.949,0.349
USDCHF,30m,100,1,7,2,238,1.222,0.949,0.375
EURUSD,1h,100,10,7,4,2428,1.097,0.945,3.822
EURUSD,4h,30,10,7,4,795,1.07,0.945,1.258
USDCHF,30m,30,1,7,4,76,1.218,0.938,0.122
EURUSD,5m,100,10,7,5,2568,1.118,0.937,4.041
EURUSD,30m,30,10,7,5,949,1.09,0.919,1.499
NZDUSD,4h,100,1,7,3,197,1.077,0.916,0.313
AUDUSD,4h,30,1,7,4,81,1.118,0.913,0.13
XAUUSD,1h,30,1,7,3,60,1.027,0.91,0.097
EURUSD,4h,30,1,6,5,71,1.032,0.907,0.113
AUDUSD,15m,100,1,7,4,238,1.037,0.901,0.375
GBPUSD,15m,30,1,7,4,129,1.118,0.9,0.204
XAGUSD,1h,100,1,14,8,370,1.124,0.898,0.582
AUDUSD,5m,100,1,7,2,227,1.009,0.897,0.357
GBPUSD,15m,30,10,7,5,1361,1.067,0.891,2.153
EURUSD,5m,30,10,7,3,1795,1.062,0.889,2.836
USDCHF,30m,100,10,7,3,2664,1.124,0.887,4.193
ETHUSDT,4h,100,1,26,20,558,1.079,0.885,0.236
EURUSD,15m,30,10,7,3,1444,1.029,0.884,2.273
AUDUSD,1h,30,10,7,4,774,0.992,0.879,1.224
XAGUSD,5m,100,1,14,6,528,1.004,0.875,0.838
GBPUSD,4h,100,10,7,3,1953,0.982,0.869,3.084
XAGUSD,5m,100,10,14,6,4790,0.977,0.86,7.571
USDJPY,4h,30,1,7,3,76,0.96,0.858,0.121
USDCHF,1h,30,10,7,3,1006,1.063,0.856,1.613
XAGUSD,4h,100,10,14,2,3886,0.926,0.85,6.11
GBPUSD,5m,30,10,7,3,1643,1.001,0.832,2.598
USDCHF,15m,30,10,7,4,1349,1.015,0.831,2.13
AUDUSD,15m,100,10,7,2,2789,0.964,0.826,4.386
AUDUSD,1h,100,10,7,2,2511,0.925,0.818,3.949
USDCHF,15m,100,1,7,3,285,0.975,0.813,0.45
NZDUSD,15m,30,10,7,4,1260,0.999,0.809,1.995
USDJPY,5m,100,10,7,2,2696,0.956,0.806,4.233
XAUUSD,1h,30,10,7,3,644,0.92,0.805,1.027
XAGUSD,15m,30,10,14,6,2812,0.892,0.799,4.435
EURUSD,4h,100,1,7,3,148,0.904,0.796,0.254
AUDUSD,4h,100,10,7,3,1976,0.918,0.794,3.106
AUDUSD,5m,30,10,7,3,1196,0.943,0.794,1.891
EURUSD,15m,100,10,7,3,2885,0.946,0.793,4.54
XAGUSD,1h,100,10,14,8,4132,0.947,0.792,6.504
USDCAD,1h,30,1,7,3,58,0.954,0.789,0.092
AUDUSD,5m,30,1,7,2,96,0.94,0.788,0.161
USDJPY,30m,30,1,7,4,78,0.98,0.783,0.125
NZDUSD,1h,100,1,7,2,214,0.91,0.782,0.339
USDCHF,1h,100,10,7,3,2438,0.959,0.777,3.843
AUDUSD,5m,100,10,7,2,2739,0.9,0.776,4.308
NZDUSD,4h,100,10,7,3,2210,0.898,0.775,3.475
AUDUSD,4h,30,10,7,3,789,0.916,0.775,1.263
NZDUSD,4h,30,10,7,2,754,0.899,0.773,1.204
USDJPY,1h,100,1,7,3,120,0.872,0.771,0.195
XAGUSD,5m,30,10,14,6,2898,0.857,0.769,4.552
XAGUSD,30m,100,10,14,6,4798,0.879,0.765,7.584
AUDUSD,15m,30,10,7,3,1155,0.894,0.764,1.831
XAGUSD,1h,30,1,14,8,70,1.012,0.76,0.13
GBPUSD,30m,30,10,7,5,814,0.934,0.759,1.288
GBPUSD,30m,30,1,7,3,80,0.896,0.753,0.127
EURUSD,5m,100,1,7,4,204,0.952,0.75,0.327
AUDUSD,30m,100,1,7,3,227,0.901,0.75,0.362
USDJPY,15m,100,1,7,1,273,0.911,0.749,0.431
XAGUSD,15m,100,10,14,4,4736,0.844,0.748,7.437
USDJPY,1h,100,10,7,2,2307,0.862,0.745,3.627
GBPUSD,1h,100,1,7,4,225,0.869,0.745,0.357
EURUSD,15m,30,1,7,2,127,0.854,0.742,0.202
USDCAD,30m,30,10,7,4,782,0.952,0.742,1.233
USDCHF,15m,100,10,7,4,2595,0.882,0.734,4.077
USDJPY,30m,30,10,7,4,993,0.917,0.734,1.568
GBPUSD,1h,100,10,7,1,2327,0.859,0.73,3.665
USDJPY,30m,100,10,7,2,2362,0.863,0.728,3.711
USDCAD,30m,100,1,7,3,215,0.903,0.728,0.34
GBPUSD,5m,30,1,7,3,163,0.887,0.72,0.258
USDCHF,30m,30,10,7,3,1059,0.935,0.72,1.678
XAGUSD,4h,100,1,14,6,470,0.785,0.716,0.747
USDJPY,4h,30,10,7,3,790,0.834,0.715,1.252
NZDUSD,1h,100,10,7,3,2410,0.831,0.707,3.791
GBPUSD,4h,30,10,7,2,617,0.82,0.706,0.99
GBPUSD,5m,100,10,7,2,3053,0.853,0.7,4.809
AUDUSD,15m,30,1,7,2,89,0.84,0.699,0.142
USDJPY,30m,100,1,7,4,192,0.841,0.692,0.308
NZDUSD,15m,100,10,7,2,2744,0.835,0.691,4.315
USDCHF,5m,100,10,7,0,2628,0.85,0.69,4.148
EURUSD,5m,30,1,7,2,111,0.849,0.683,0.176
NZDUSD,1h,30,10,7,2,1009,0.801,0.681,1.587
USDCHF,4h,100,10,7,2,2192,0.799,0.68,3.454
USDCHF,4h,30,1,7,2,62,0.8,0.673,0.105
USDCAD,4h,100,10,7,2,1956,0.824,0.671,3.075
GBPUSD,15m,100,10,7,0,2763,0.805,0.669,4.362
USDJPY,5m,100,1,7,2,231,0.769,0.668,0.365
USDCHF,5m,100,1,7,2,212,0.81,0.662,0.335
AUDUSD,1h,100,1,7,3,234,0.738,0.662,0.37
USDJPY,5m,30,10,7,1,1131,0.77,0.653,1.776
GBPUSD,1h,30,10,7,3,1096,0.82,0.651,1.735
USDJPY,4h,100,10,7,2,1731,0.763,0.644,2.726
USDCHF,1h,100,1,7,3,233,0.846,0.638,0.368
USDCAD,30m,100,10,7,2,2288,0.812,0.636,3.614
GBPUSD,15m,100,1,7,1,259,0.742,0.631,0.41
GBPUSD,30m,100,10,7,0,2505,0.794,0.626,3.949
GBPUSD,5m,100,1,7,1,294,0.762,0.625,0.465
USDCHF,4h,30,10,7,1,646,0.738,0.624,1.024
USDCAD,15m,100,1,7,1,245,0.782,0.622,0.388
AUDUSD,30m,100,10,7,1,2508,0.745,0.621,3.947
USDJPY,15m,100,10,7,0,3076,0.76,0.619,4.834
XAGUSD,30m,30,10,14,2,1962,0.724,0.617,3.086
USDJPY,4h,100,1,7,3,192,0.721,0.611,0.304
USDCHF,5m,30,10,7,1,1591,0.763,0.607,2.512
USDCAD,4h,100,1,6,3,179,0.772,0.597,0.283
NZDUSD,5m,100,10,7,2,2886,0.75,0.596,4.538
NZDUSD,5m,30,10,7,1,1457,0.736,0.592,2.33
USDCAD,5m,100,10,7,0,2966,0.755,0.591,4.659
USDJPY,1h,30,1,7,2,89,0.737,0.591,0.143
GBPUSD,4h,30,1,7,2,69,0.698,0.59,0.113
NZDUSD,30m,30,10,7,3,870,0.72,0.578,1.377
NZDUSD,30m,100,10,7,1,2315,0.703,0.574,3.641
USDCAD,15m,100,10,7,1,2756,0.731,0.57,4.334
USDJPY,5m,30,1,7,1,86,0.641,0.552,0.138
NZDUSD,30m,100,1,7,1,219,0.677,0.55,0.347
USDCHF,5m,30,1,7,2,117,0.677,0.548,0.186
NZDUSD,15m,30,1,7,3,83,0.668,0.547,0.132
GBPUSD,30m,100,1,7,2,268,0.703,0.544,0.426
AUDUSD,4h,100,1,7,2,213,0.626,0.542,0.339
USDCAD,15m,30,10,7,2,1049,0.712,0.538,1.654
USDCAD,15m,30,1,7,1,104,0.697,0.537,0.164
EURUSD,30m,30,1,7,0,90,0.646,0.534,0.142
USDCAD,1h,100,10,7,0,2325,0.692,0.533,3.663
GBPUSD,1h,30,1,7,2,110,0.681,0.524,0.177
USDCAD,5m,100,1,7,1,270,0.679,0.524,0.424
USDCAD,1h,100,1,7,0,224,0.671,0.515,0.354
NZDUSD,15m,100,1,7,2,260,0.636,0.51,0.412
NZDUSD,1h,30,1,7,3,78,0.624,0.497,0.123
USDCAD,5m,30,10,7,0,1781,0.634,0.489,2.801
AUDUSD,30m,30,10,7,1,1020,0.571,0.484,1.618
XAGUSD,5m,30,1,14,2,214,0.543,0.469,0.34
NZDUSD,5m,30,1,7,2,118,0.573,0.467,0.19
USDCAD,1h,30,10,7,0,1043,0.579,0.445,1.644
XAGUSD,30m,30,1,14,0,176,0.502,0.418,0.28
AUDUSD,30m,30,1,7,1,98,0.48,0.411,0.156
NZDUSD,5m,100,1,7,0,283,0.497,0.396,0.448
USDCAD,5m,30,1,7,1,133,0.511,0.387,0.211
USDCAD,4h,30,10,7,1,894,0.479,0.366,1.408
NZDUSD,30m,30,1,7,2,72,0.373,0.303,0.114
USDCAD,4h,30,1,7,2,97,0.376,0.269,0.153
